x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.02286 0.03233 0.04142 0.05730 0.00000 0.930 0.051 1231.257 0.01282
0.02290 0.03239 0.04150 0.05741 0.00110 0.986 0.052 1231.287 0.01285
0.02294 0.03245 0.04158 0.05752 0.00220 1.127 0.056 1231.316 0.01287
0.02299 0.03252 0.04166 0.05763 0.00331 0.851 0.049 1231.346 0.01290
0.02303 0.03258 0.04174 0.05774 0.00441 0.995 0.053 1231.376 0.01292
0.02308 0.03264 0.04182 0.05785 0.00551 0.898 0.050 1231.406 0.01294
0.02312 0.03270 0.04190 0.05797 0.00661 0.995 0.053 1231.436 0.01297
0.02317 0.03277 0.04198 0.05808 0.00771 1.039 0.054 1231.466 0.01299
0.02321 0.03283 0.04206 0.05819 0.00882 0.963 0.052 1231.496 0.01302
0.02325 0.03289 0.04214 0.05830 0.00992 0.994 0.053 1231.526 0.01304
0.02330 0.03295 0.04222 0.05841 0.01102 0.974 0.052 1231.556 0.01307
0.02334 0.03302 0.04230 0.05852 0.01212 0.940 0.051 1231.585 0.01309
0.02339 0.03308 0.04238 0.05863 0.01323 0.935 0.051 1231.615 0.01312
0.02343 0.03314 0.04246 0.05874 0.01433 0.862 0.049 1231.645 0.01314
0.02348 0.03320 0.04254 0.05885 0.01543 0.939 0.051 1231.675 0.01317
0.02352 0.03327 0.04262 0.05896 0.01653 0.931 0.051 1231.705 0.01319
0.02356 0.03333 0.04271 0.05908 0.01764 0.906 0.050 1231.735 0.01321
0.02361 0.03339 0.04279 0.05919 0.01874 1.056 0.054 1231.765 0.01324
0.02365 0.03346 0.04287 0.05930 0.01984 1.018 0.053 1231.795 0.01326
0.02370 0.03352 0.04295 0.05941 0.02095 0.974 0.052 1231.825 0.01329
0.02374 0.03358 0.04303 0.05952 0.02205 0.993 0.052 1231.855 0.01331
0.02379 0.03364 0.04311 0.05963 0.02315 0.983 0.052 1231.884 0.01334
0.02383 0.03371 0.04319 0.05974 0.02425 0.989 0.052 1231.914 0.01336
0.02387 0.03377 0.04327 0.05985 0.02536 1.067 0.054 1231.944 0.01339
0.02392 0.03383 0.04335 0.05996 0.02646 0.934 0.051 1231.974 0.01341
0.02396 0.03389 0.04343 0.06007 0.02756 1.038 0.054 1232.004 0.01344
0.02401 0.03396 0.04351 0.06019 0.02867 1.070 0.054 1232.034 0.01346
