x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.04057 0.02264 0.03347 0.05726 0.00000 0.845 0.031 1231.245 0.01281
-0.04064 0.02269 0.03353 0.05737 0.00110 0.882 0.032 1231.275 0.01284
-0.04072 0.02273 0.03360 0.05748 0.00220 0.900 0.032 1231.305 0.01286
-0.04080 0.02277 0.03366 0.05759 0.00330 0.953 0.033 1231.335 0.01289
-0.04088 0.02282 0.03373 0.05770 0.00440 0.933 0.032 1231.365 0.01291
-0.04096 0.02286 0.03379 0.05781 0.00550 0.965 0.033 1231.395 0.01293
-0.04104 0.02290 0.03386 0.05792 0.00661 0.978 0.033 1231.425 0.01296
-0.04112 0.02295 0.03392 0.05803 0.00771 1.022 0.034 1231.454 0.01298
-0.04119 0.02299 0.03399 0.05814 0.00881 1.020 0.034 1231.484 0.01301
-0.04127 0.02304 0.03405 0.05826 0.00991 0.939 0.033 1231.514 0.01303
-0.04135 0.02308 0.03412 0.05837 0.01101 0.982 0.033 1231.544 0.01306
-0.04143 0.02312 0.03418 0.05848 0.01211 0.973 0.033 1231.574 0.01308
-0.04151 0.02317 0.03425 0.05859 0.01321 0.981 0.033 1231.604 0.01311
-0.04159 0.02321 0.03431 0.05870 0.01431 0.985 0.033 1231.634 0.01313
-0.04167 0.02326 0.03438 0.05881 0.01541 1.061 0.035 1231.664 0.01316
-0.04174 0.02330 0.03444 0.05892 0.01652 1.043 0.034 1231.693 0.01318
-0.04182 0.02334 0.03451 0.05903 0.01762 1.037 0.034 1231.723 0.01321
-0.04190 0.02339 0.03457 0.05914 0.01872 1.045 0.034 1231.753 0.01323
-0.04198 0.02343 0.03464 0.05925 0.01982 1.044 0.036 1231.783 0.01325
-0.04206 0.02348 0.03470 0.05936 0.02092 1.047 0.037 1231.813 0.01328
-0.04214 0.02352 0.03477 0.05948 0.02202 1.083 0.038 1231.843 0.01330
-0.04222 0.02356 0.03483 0.05959 0.02312 1.010 0.036 1231.873 0.01333
-0.04230 0.02361 0.03489 0.05970 0.02423 1.016 0.036 1231.903 0.01335
-0.04237 0.02365 0.03496 0.05981 0.02533 1.033 0.037 1231.932 0.01338
-0.04245 0.02369 0.03502 0.05992 0.02643 1.056 0.037 1231.962 0.01340
-0.04253 0.02374 0.03509 0.06003 0.02753 1.047 0.037 1231.992 0.01343
-0.04261 0.02378 0.03515 0.06014 0.02863 1.060 0.037 1232.022 0.01345
-0.04269 0.02383 0.03522 0.06025 0.02973 1.034 0.037 1232.052 0.01348
-0.04277 0.02387 0.03528 0.06036 0.03084 1.047 0.037 1232.082 0.01350
-0.04285 0.02391 0.03535 0.06047 0.03194 1.008 0.036 1232.112 0.01352
-0.04292 0.02396 0.03541 0.06059 0.03304 1.029 0.037 1232.142 0.01355
