x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.02884 0.03586 0.03408 0.05726 0.00000 1.022 0.049 1231.247 0.01281
-0.02890 0.03593 0.03414 0.05737 0.00110 0.991 0.049 1231.277 0.01284
-0.02896 0.03600 0.03421 0.05748 0.00220 1.033 0.050 1231.306 0.01286
-0.02901 0.03607 0.03428 0.05760 0.00330 1.053 0.050 1231.336 0.01289
-0.02907 0.03614 0.03434 0.05771 0.00440 0.955 0.048 1231.366 0.01291
-0.02912 0.03620 0.03441 0.05782 0.00550 1.079 0.051 1231.396 0.01294
-0.02918 0.03627 0.03447 0.05793 0.00661 1.005 0.049 1231.426 0.01296
-0.02923 0.03634 0.03454 0.05804 0.00771 1.005 0.049 1231.456 0.01299
-0.02929 0.03641 0.03461 0.05815 0.00881 1.043 0.050 1231.486 0.01301
-0.02935 0.03648 0.03467 0.05826 0.00991 0.882 0.046 1231.516 0.01303
-0.02940 0.03655 0.03474 0.05837 0.01101 1.049 0.050 1231.546 0.01306
-0.02946 0.03662 0.03480 0.05848 0.01211 0.911 0.047 1231.576 0.01308
-0.02951 0.03669 0.03487 0.05859 0.01321 0.954 0.048 1231.605 0.01311
-0.02957 0.03676 0.03494 0.05871 0.01431 1.061 0.050 1231.635 0.01313
-0.02963 0.03683 0.03500 0.05882 0.01541 0.993 0.049 1231.665 0.01316
-0.02968 0.03690 0.03507 0.05893 0.01652 1.078 0.051 1231.695 0.01318
-0.02974 0.03697 0.03513 0.05904 0.01762 0.833 0.045 1231.725 0.01321
-0.02979 0.03704 0.03520 0.05915 0.01872 0.974 0.048 1231.755 0.01323
-0.02985 0.03711 0.03527 0.05926 0.01982 1.038 0.050 1231.785 0.01326
-0.02991 0.03718 0.03533 0.05937 0.02092 0.995 0.049 1231.815 0.01328
-0.02996 0.03725 0.03540 0.05948 0.02202 0.969 0.048 1231.845 0.01331
-0.03002 0.03732 0.03547 0.05959 0.02312 1.020 0.049 1231.874 0.01333
-0.03007 0.03739 0.03553 0.05970 0.02423 0.986 0.049 1231.904 0.01335
-0.03013 0.03746 0.03560 0.05982 0.02533 1.020 0.049 1231.934 0.01338
-0.03019 0.03753 0.03566 0.05993 0.02643 1.078 0.051 1231.964 0.01340
-0.03024 0.03760 0.03573 0.06004 0.02753 1.014 0.049 1231.994 0.01343
-0.03030 0.03766 0.03580 0.06015 0.02863 0.971 0.048 1232.024 0.01345
-0.03035 0.03773 0.03586 0.06026 0.02973 0.915 0.047 1232.054 0.01348
-0.03041 0.03780 0.03593 0.06037 0.03084 1.122 0.052 1232.084 0.01350
-0.03046 0.03787 0.03599 0.06048 0.03194 0.982 0.048 1232.114 0.01353
-0.03052 0.03794 0.03606 0.06059 0.03304 1.038 0.050 1232.143 0.01355
-0.03058 0.03801 0.03613 0.06070 0.03414 1.030 0.050 1232.173 0.01358
-0.03063 0.03808 0.03619 0.06081 0.03524 1.025 0.049 1232.203 0.01360
-0.03069 0.03815 0.03626 0.06093 0.03635 0.820 0.044 1232.233 0.01362
-0.03074 0.03822 0.03632 0.06104 0.03745 0.985 0.049 1232.263 0.01365
-0.03080 0.03829 0.03639 0.06115 0.03855 0.990 0.049 1232.293 0.01367
-0.03086 0.03836 0.03646 0.06126 0.03965 0.921 0.047 1232.323 0.01370
-0.03091 0.03843 0.03652 0.06137 0.04075 0.990 0.049 1232.353 0.01372
-0.03097 0.03850 0.03659 0.06148 0.04186 0.994 0.049 1232.383 0.01375
-0.03102 0.03857 0.03665 0.06159 0.04296 0.972 0.048 1232.413 0.01377
-0.03108 0.03864 0.03672 0.06170 0.04406 0.982 0.048 1232.442 0.01380
-0.03114 0.03871 0.03679 0.06181 0.04516 1.068 0.051 1232.472 0.01382
-0.03119 0.03878 0.03685 0.06193 0.04627 1.018 0.049 1232.502 0.01385
-0.03125 0.03885 0.03692 0.06204 0.04737 0.971 0.048 1232.532 0.01387
-0.03130 0.03892 0.03699 0.06215 0.04847 0.893 0.046 1232.562 0.01390
-0.03136 0.03899 0.03705 0.06226 0.04957 0.944 0.048 1232.592 0.01392
-0.03142 0.03906 0.03712 0.06237 0.05068 0.987 0.049 1232.622 0.01394
-0.03147 0.03913 0.03718 0.06248 0.05178 0.999 0.049 1232.652 0.01397
-0.03153 0.03920 0.03725 0.06259 0.05288 0.964 0.048 1232.682 0.01399
-0.03158 0.03926 0.03732 0.06270 0.05398 1.000 0.049 1232.711 0.01402
-0.03164 0.03933 0.03738 0.06281 0.05509 1.019 0.049 1232.741 0.01404
-0.03170 0.03940 0.03745 0.06293 0.05619 0.990 0.049 1232.771 0.01407
-0.03175 0.03947 0.03751 0.06304 0.05729 0.990 0.049 1232.801 0.01409
-0.03181 0.03954 0.03758 0.06315 0.05840 1.004 0.049 1232.831 0.01412
-0.03186 0.03961 0.03765 0.06326 0.05950 0.923 0.047 1232.861 0.01414
-0.03192 0.03968 0.03771 0.06337 0.06060 0.928 0.047 1232.891 0.01417
-0.03198 0.03975 0.03778 0.06348 0.06170 0.950 0.048 1232.921 0.01419
-0.03203 0.03982 0.03785 0.06359 0.06281 1.072 0.051 1232.951 0.01421
-0.03209 0.03989 0.03791 0.06370 0.06391 0.995 0.049 1232.980 0.01424
-0.03214 0.03996 0.03798 0.06382 0.06501 1.079 0.051 1233.010 0.01426
-0.03220 0.04003 0.03804 0.06393 0.06612 1.012 0.049 1233.040 0.01429
-0.03226 0.04010 0.03811 0.06404 0.06722 1.003 0.049 1233.070 0.01431
-0.03231 0.04017 0.03818 0.06415 0.06832 1.008 0.049 1233.100 0.01434
-0.03237 0.04024 0.03824 0.06426 0.06943 0.906 0.047 1233.130 0.01436
-0.03242 0.04031 0.03831 0.06437 0.07053 0.911 0.047 1233.160 0.01439
-0.03248 0.04038 0.03837 0.06448 0.07163 0.935 0.047 1233.190 0.01441
-0.03254 0.04045 0.03844 0.06459 0.07274 1.025 0.050 1233.220 0.01444
-0.03259 0.04052 0.03851 0.06471 0.07384 0.907 0.047 1233.249 0.01446
-0.03265 0.04059 0.03857 0.06482 0.07494 0.900 0.046 1233.279 0.01449
