x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.03218 0.02440 0.04059 0.05726 0.00000 0.992 0.067 1231.245 0.01281
0.03224 0.02444 0.04067 0.05737 0.00110 1.035 0.069 1231.275 0.01284
0.03230 0.02449 0.04075 0.05748 0.00220 1.097 0.071 1231.305 0.01286
0.03236 0.02454 0.04083 0.05759 0.00330 0.858 0.063 1231.335 0.01289
0.03243 0.02459 0.04091 0.05770 0.00440 1.063 0.070 1231.365 0.01291
0.03249 0.02463 0.04099 0.05781 0.00550 1.054 0.069 1231.395 0.01293
0.03255 0.02468 0.04106 0.05792 0.00661 0.991 0.067 1231.425 0.01296
0.03261 0.02473 0.04114 0.05803 0.00771 1.186 0.074 1231.454 0.01298
0.03268 0.02477 0.04122 0.05814 0.00881 0.957 0.066 1231.484 0.01301
0.03274 0.02482 0.04130 0.05826 0.00991 1.049 0.069 1231.514 0.01303
0.03280 0.02487 0.04138 0.05837 0.01101 1.081 0.070 1231.544 0.01306
0.03286 0.02492 0.04146 0.05848 0.01211 0.901 0.064 1231.574 0.01308
0.03293 0.02496 0.04154 0.05859 0.01321 0.800 0.060 1231.604 0.01311
0.03299 0.02501 0.04162 0.05870 0.01431 1.025 0.068 1231.634 0.01313
0.03305 0.02506 0.04169 0.05881 0.01541 0.835 0.066 1231.664 0.01316
0.03311 0.02511 0.04177 0.05892 0.01652 0.929 0.072 1231.693 0.01318
0.03317 0.02515 0.04185 0.05903 0.01762 0.954 0.073 1231.723 0.01321
0.03324 0.02520 0.04193 0.05914 0.01872 1.005 0.075 1231.753 0.01323
0.03330 0.02525 0.04201 0.05925 0.01982 1.033 0.076 1231.783 0.01325
0.03336 0.02529 0.04209 0.05936 0.02092 0.966 0.074 1231.813 0.01328
0.03342 0.02534 0.04217 0.05948 0.02202 0.933 0.072 1231.843 0.01330
0.03349 0.02539 0.04224 0.05959 0.02312 0.910 0.067 1231.873 0.01333
0.03355 0.02544 0.04232 0.05970 0.02423 0.882 0.064 1231.903 0.01335
0.03361 0.02548 0.04240 0.05981 0.02533 0.941 0.066 1231.932 0.01338
0.03367 0.02553 0.04248 0.05992 0.02643 0.990 0.067 1231.962 0.01340
0.03374 0.02558 0.04256 0.06003 0.02753 1.058 0.070 1231.992 0.01343
0.03380 0.02563 0.04264 0.06014 0.02863 0.952 0.066 1232.022 0.01345
0.03386 0.02567 0.04272 0.06025 0.02973 1.078 0.070 1232.052 0.01348
0.03392 0.02572 0.04280 0.06036 0.03084 0.952 0.066 1232.082 0.01350
0.03399 0.02577 0.04287 0.06047 0.03194 0.958 0.066 1232.112 0.01352
0.03405 0.02582 0.04295 0.06059 0.03304 1.049 0.069 1232.142 0.01355
0.03411 0.02586 0.04303 0.06070 0.03414 1.087 0.070 1232.171 0.01357
0.03417 0.02591 0.04311 0.06081 0.03524 1.062 0.070 1232.201 0.01360
0.03424 0.02596 0.04319 0.06092 0.03635 0.912 0.065 1232.231 0.01362
0.03430 0.02600 0.04327 0.06103 0.03745 0.876 0.063 1232.261 0.01365
0.03436 0.02605 0.04335 0.06114 0.03855 0.902 0.064 1232.291 0.01367
0.03442 0.02610 0.04343 0.06125 0.03965 1.086 0.070 1232.321 0.01370
0.03448 0.02615 0.04350 0.06136 0.04075 1.048 0.069 1232.351 0.01372
0.03455 0.02619 0.04358 0.06147 0.04186 0.954 0.066 1232.381 0.01375
0.03461 0.02624 0.04366 0.06159 0.04296 0.965 0.066 1232.411 0.01377
0.03467 0.02629 0.04374 0.06170 0.04406 0.897 0.064 1232.440 0.01380
0.03473 0.02634 0.04382 0.06181 0.04516 1.054 0.069 1232.470 0.01382
0.03480 0.02638 0.04390 0.06192 0.04627 0.930 0.065 1232.500 0.01384
0.03486 0.02643 0.04398 0.06203 0.04737 0.887 0.064 1232.530 0.01387
0.03492 0.02648 0.04406 0.06214 0.04847 0.977 0.067 1232.560 0.01389
0.03498 0.02652 0.04413 0.06225 0.04957 0.887 0.064 1232.590 0.01392
0.03505 0.02657 0.04421 0.06236 0.05068 0.968 0.066 1232.620 0.01394
0.03511 0.02662 0.04429 0.06247 0.05178 0.920 0.065 1232.650 0.01397
0.03517 0.02667 0.04437 0.06258 0.05288 1.071 0.070 1232.679 0.01399
0.03523 0.02671 0.04445 0.06270 0.05398 1.071 0.070 1232.709 0.01402
0.03530 0.02676 0.04453 0.06281 0.05509 1.138 0.072 1232.739 0.01404
0.03536 0.02681 0.04461 0.06292 0.05619 1.146 0.072 1232.769 0.01407
0.03542 0.02686 0.04469 0.06303 0.05729 0.953 0.066 1232.799 0.01409
0.03548 0.02690 0.04476 0.06314 0.05840 0.894 0.064 1232.829 0.01411
0.03555 0.02695 0.04484 0.06325 0.05950 0.985 0.067 1232.859 0.01414
0.03561 0.02700 0.04492 0.06336 0.06060 0.965 0.066 1232.889 0.01416
0.03567 0.02705 0.04500 0.06347 0.06170 1.051 0.069 1232.918 0.01419
0.03573 0.02709 0.04508 0.06358 0.06281 0.908 0.064 1232.948 0.01421
0.03580 0.02714 0.04516 0.06370 0.06391 0.982 0.067 1232.978 0.01424
0.03586 0.02719 0.04524 0.06381 0.06501 0.840 0.062 1233.008 0.01426
0.03592 0.02724 0.04532 0.06392 0.06612 0.982 0.067 1233.038 0.01429
0.03598 0.02728 0.04539 0.06403 0.06722 1.148 0.072 1233.068 0.01431
0.03605 0.02733 0.04547 0.06414 0.06832 0.992 0.067 1233.098 0.01434
0.03611 0.02738 0.04555 0.06425 0.06943 1.043 0.069 1233.128 0.01436
0.03617 0.02742 0.04563 0.06436 0.07053 0.977 0.067 1233.157 0.01439
0.03623 0.02747 0.04571 0.06447 0.07163 0.930 0.065 1233.187 0.01441
0.03630 0.02752 0.04579 0.06459 0.07274 0.983 0.067 1233.217 0.01443
0.03636 0.02757 0.04587 0.06470 0.07384 1.029 0.068 1233.247 0.01446
0.03642 0.02761 0.04595 0.06481 0.07494 0.949 0.066 1233.277 0.01448
0.03648 0.02766 0.04602 0.06492 0.07605 1.053 0.069 1233.307 0.01451
0.03655 0.02771 0.04610 0.06503 0.07715 0.907 0.064 1233.337 0.01453
0.03661 0.02776 0.04618 0.06514 0.07825 1.014 0.068 1233.367 0.01456
0.03667 0.02780 0.04626 0.06525 0.07936 1.019 0.068 1233.397 0.01458
0.03673 0.02785 0.04634 0.06536 0.08046 0.966 0.066 1233.426 0.01461
0.03680 0.02790 0.04642 0.06547 0.08156 0.971 0.066 1233.456 0.01463
0.03686 0.02795 0.04650 0.06559 0.08267 0.999 0.067 1233.486 0.01466
0.03692 0.02799 0.04658 0.06570 0.08377 1.031 0.068 1233.516 0.01468
0.03698 0.02804 0.04666 0.06581 0.08488 1.121 0.071 1233.546 0.01470
0.03705 0.02809 0.04673 0.06592 0.08598 0.999 0.067 1233.576 0.01473
0.03711 0.02814 0.04681 0.06603 0.08708 0.919 0.065 1233.606 0.01475
0.03717 0.02818 0.04689 0.06614 0.08819 1.004 0.068 1233.636 0.01478
0.03723 0.02823 0.04697 0.06625 0.08929 1.089 0.070 1233.665 0.01480
0.03730 0.02828 0.04705 0.06636 0.09040 1.013 0.068 1233.695 0.01483
0.03736 0.02832 0.04713 0.06648 0.09150 0.962 0.066 1233.725 0.01485
0.03742 0.02837 0.04721 0.06659 0.09260 1.027 0.068 1233.755 0.01488
0.03748 0.02842 0.04729 0.06670 0.09371 0.994 0.067 1233.785 0.01490
0.03755 0.02847 0.04737 0.06681 0.09481 0.960 0.066 1233.815 0.01493
0.03761 0.02851 0.04744 0.06692 0.09592 1.074 0.070 1233.845 0.01495
0.03767 0.02856 0.04752 0.06703 0.09702 0.871 0.063 1233.875 0.01497
0.03773 0.02861 0.04760 0.06714 0.09813 1.013 0.068 1233.904 0.01500
0.03780 0.02866 0.04768 0.06725 0.09923 1.106 0.071 1233.934 0.01502
0.03786 0.02870 0.04776 0.06737 0.10033 0.975 0.067 1233.964 0.01505
0.03792 0.02875 0.04784 0.06748 0.10144 1.018 0.068 1233.994 0.01507
0.03798 0.02880 0.04792 0.06759 0.10254 0.933 0.065 1234.024 0.01510
0.03805 0.02885 0.04800 0.06770 0.10365 0.974 0.067 1234.054 0.01512
0.03811 0.02889 0.04808 0.06781 0.10475 1.045 0.069 1234.084 0.01515
0.03817 0.02894 0.04815 0.06792 0.10586 1.068 0.070 1234.114 0.01517
0.03823 0.02899 0.04823 0.06803 0.10696 1.049 0.069 1234.143 0.01520
0.03830 0.02904 0.04831 0.06814 0.10807 0.972 0.066 1234.173 0.01522
0.03836 0.02908 0.04839 0.06826 0.10917 1.011 0.068 1234.203 0.01525
0.03842 0.02913 0.04847 0.06837 0.11028 1.024 0.068 1234.233 0.01527
0.03848 0.02918 0.04855 0.06848 0.11138 1.004 0.067 1234.263 0.01529
0.03855 0.02923 0.04863 0.06859 0.11248 1.008 0.068 1234.293 0.01532
0.03861 0.02927 0.04871 0.06870 0.11359 0.934 0.065 1234.323 0.01534
0.03867 0.02932 0.04879 0.06881 0.11469 0.899 0.064 1234.353 0.01537
0.03873 0.02937 0.04886 0.06892 0.11580 0.890 0.064 1234.383 0.01539
0.03880 0.02942 0.04894 0.06904 0.11690 1.017 0.068 1234.412 0.01542
0.03886 0.02946 0.04902 0.06915 0.11801 1.017 0.068 1234.442 0.01544
0.03892 0.02951 0.04910 0.06926 0.11911 0.919 0.065 1234.472 0.01547
0.03898 0.02956 0.04918 0.06937 0.12022 0.866 0.063 1234.502 0.01549
