x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.04752 0.00370 0.03166 0.05723 0.00000 1.006 0.092 1231.237 0.01281
-0.04762 0.00370 0.03172 0.05734 0.00110 0.938 0.089 1231.267 0.01283
-0.04771 0.00371 0.03178 0.05745 0.00220 0.999 0.102 1231.297 0.01285
-0.04780 0.00372 0.03185 0.05756 0.00330 0.864 0.112 1231.326 0.01288
-0.04789 0.00373 0.03191 0.05767 0.00440 0.909 0.114 1231.356 0.01290
-0.04799 0.00373 0.03197 0.05778 0.00550 0.751 0.112 1231.386 0.01293
-0.04808 0.00374 0.03203 0.05789 0.00661 1.008 0.120 1231.416 0.01295
-0.04817 0.00375 0.03209 0.05800 0.00771 0.918 0.115 1231.446 0.01298
-0.04826 0.00376 0.03215 0.05811 0.00881 0.828 0.117 1231.476 0.01300
-0.04835 0.00376 0.03221 0.05822 0.00991 0.995 0.118 1231.506 0.01303
-0.04845 0.00377 0.03228 0.05834 0.01101 1.040 0.121 1231.536 0.01305
-0.04854 0.00378 0.03234 0.05845 0.01211 0.928 0.115 1231.566 0.01308
-0.04863 0.00378 0.03240 0.05856 0.01321 0.951 0.109 1231.595 0.01310
-0.04872 0.00379 0.03246 0.05867 0.01431 0.806 0.115 1231.625 0.01312
-0.04882 0.00380 0.03252 0.05878 0.01541 1.037 0.121 1231.655 0.01315
-0.04891 0.00381 0.03258 0.05889 0.01652 0.927 0.115 1231.685 0.01317
-0.04900 0.00381 0.03264 0.05900 0.01762 0.993 0.119 1231.715 0.01320
-0.04909 0.00382 0.03271 0.05911 0.01872 1.016 0.113 1231.745 0.01322
-0.04918 0.00383 0.03277 0.05922 0.01982 1.027 0.114 1231.775 0.01325
-0.04928 0.00383 0.03283 0.05933 0.02092 0.783 0.114 1231.805 0.01327
-0.04937 0.00384 0.03289 0.05945 0.02202 0.939 0.116 1231.835 0.01330
-0.04946 0.00385 0.03295 0.05956 0.02312 1.158 0.113 1231.864 0.01332
-0.04955 0.00386 0.03301 0.05967 0.02423 0.837 0.117 1231.894 0.01335
-0.04965 0.00386 0.03307 0.05978 0.02533 1.002 0.112 1231.924 0.01337
-0.04974 0.00387 0.03314 0.05989 0.02643 1.194 0.171 1231.954 0.01340
-0.04983 0.00388 0.03320 0.06000 0.02753 0.978 0.158 1231.984 0.01342
-0.04992 0.00388 0.03326 0.06011 0.02863 1.177 0.170 1232.014 0.01344
-0.05001 0.00389 0.03332 0.06022 0.02973 0.894 0.153 1232.044 0.01347
-0.05011 0.00390 0.03338 0.06033 0.03084 0.844 0.149 1232.074 0.01349
-0.05020 0.00391 0.03344 0.06044 0.03194 0.811 0.147 1232.104 0.01352
-0.05029 0.00391 0.03350 0.06056 0.03304 1.143 0.168 1232.134 0.01354
-0.05038 0.00392 0.03357 0.06067 0.03414 0.894 0.153 1232.163 0.01357
-0.05048 0.00393 0.03363 0.06078 0.03524 0.794 0.145 1232.193 0.01359
-0.05057 0.00393 0.03369 0.06089 0.03635 0.744 0.142 1232.223 0.01362
-0.05066 0.00394 0.03375 0.06100 0.03745 0.926 0.155 1232.253 0.01364
-0.05075 0.00395 0.03381 0.06111 0.03855 0.926 0.155 1232.283 0.01367
-0.05084 0.00396 0.03387 0.06122 0.03965 1.058 0.163 1232.313 0.01369
-0.05094 0.00396 0.03393 0.06133 0.04075 1.025 0.161 1232.343 0.01371
-0.05103 0.00397 0.03400 0.06144 0.04186 0.892 0.152 1232.373 0.01374
-0.05112 0.00398 0.03406 0.06156 0.04296 0.875 0.151 1232.403 0.01376
-0.05121 0.00398 0.03412 0.06167 0.04406 0.759 0.143 1232.432 0.01379
-0.05131 0.00399 0.03418 0.06178 0.04516 0.808 0.146 1232.462 0.01381
-0.05140 0.00400 0.03424 0.06189 0.04627 0.658 0.135 1232.492 0.01384
-0.05149 0.00401 0.03430 0.06200 0.04737 0.806 0.098 1232.522 0.01386
-0.05158 0.00401 0.03436 0.06211 0.04847 0.965 0.089 1232.552 0.01389
-0.05167 0.00402 0.03443 0.06222 0.04957 0.900 0.091 1232.582 0.01391
-0.05177 0.00403 0.03449 0.06233 0.05068 0.982 0.090 1232.612 0.01394
-0.05186 0.00403 0.03455 0.06244 0.05178 0.990 0.090 1232.642 0.01396
-0.05195 0.00404 0.03461 0.06256 0.05288 0.917 0.087 1232.672 0.01399
-0.05204 0.00405 0.03467 0.06267 0.05398 0.932 0.088 1232.701 0.01401
-0.05214 0.00406 0.03473 0.06278 0.05509 0.792 0.091 1232.731 0.01403
-0.05223 0.00406 0.03480 0.06289 0.05619 0.891 0.090 1232.761 0.01406
-0.05232 0.00407 0.03486 0.06300 0.05729 0.997 0.090 1232.791 0.01408
-0.05241 0.00408 0.03492 0.06311 0.05840 0.750 0.084 1232.821 0.01411
-0.05251 0.00409 0.03498 0.06322 0.05950 1.038 0.092 1232.851 0.01413
-0.05260 0.00409 0.03504 0.06333 0.06060 0.948 0.088 1232.881 0.01416
-0.05269 0.00410 0.03510 0.06344 0.06170 1.118 0.096 1232.911 0.01418
-0.05278 0.00411 0.03516 0.06356 0.06281 0.945 0.088 1232.941 0.01421
-0.05287 0.00411 0.03523 0.06367 0.06391 0.946 0.088 1232.970 0.01423
-0.05297 0.00412 0.03529 0.06378 0.06501 0.888 0.085 1233.000 0.01426
-0.05306 0.00413 0.03535 0.06389 0.06612 0.985 0.090 1233.030 0.01428
-0.05315 0.00414 0.03541 0.06400 0.06722 0.903 0.091 1233.060 0.01431
-0.05324 0.00414 0.03547 0.06411 0.06832 0.870 0.089 1233.090 0.01433
-0.05334 0.00415 0.03553 0.06422 0.06943 0.853 0.088 1233.120 0.01435
-0.05343 0.00416 0.03559 0.06433 0.07053 0.947 0.088 1233.150 0.01438
-0.05352 0.00416 0.03566 0.06445 0.07163 1.099 0.095 1233.180 0.01440
-0.05361 0.00417 0.03572 0.06456 0.07274 0.934 0.087 1233.210 0.01443
-0.05371 0.00418 0.03578 0.06467 0.07384 0.960 0.089 1233.240 0.01445
-0.05380 0.00419 0.03584 0.06478 0.07494 1.129 0.096 1233.269 0.01448
-0.05389 0.00419 0.03590 0.06489 0.07605 0.866 0.084 1233.299 0.01450
-0.05398 0.00420 0.03596 0.06500 0.07715 1.070 0.094 1233.329 0.01453
-0.05408 0.00421 0.03603 0.06511 0.07825 0.978 0.089 1233.359 0.01455
-0.05417 0.00421 0.03609 0.06522 0.07936 0.777 0.089 1233.389 0.01458
-0.05426 0.00422 0.03615 0.06534 0.08046 0.936 0.087 1233.419 0.01460
-0.05435 0.00423 0.03621 0.06545 0.08156 0.831 0.087 1233.449 0.01462
-0.05445 0.00424 0.03627 0.06556 0.08267 1.050 0.093 1233.479 0.01465
-0.05454 0.00424 0.03633 0.06567 0.08377 0.875 0.089 1233.509 0.01467
-0.05463 0.00425 0.03639 0.06578 0.08488 0.972 0.089 1233.538 0.01470
-0.05472 0.00426 0.03646 0.06589 0.08598 0.982 0.089 1233.568 0.01472
-0.05481 0.00426 0.03652 0.06600 0.08708 0.897 0.085 1233.598 0.01475
