x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.03361 0.02594 0.03841 0.05726 0.00000 1.051 0.053 1231.245 0.01281
0.03368 0.02599 0.03848 0.05737 0.00110 0.982 0.051 1231.275 0.01284
0.03374 0.02604 0.03856 0.05748 0.00220 1.056 0.053 1231.305 0.01286
0.03381 0.02610 0.03863 0.05759 0.00330 1.120 0.055 1231.335 0.01289
0.03387 0.02615 0.03871 0.05770 0.00440 0.971 0.051 1231.365 0.01291
0.03394 0.02620 0.03878 0.05781 0.00550 0.979 0.051 1231.395 0.01293
0.03400 0.02625 0.03886 0.05792 0.00661 0.946 0.050 1231.425 0.01296
0.03407 0.02630 0.03893 0.05803 0.00771 1.080 0.053 1231.454 0.01298
0.03414 0.02635 0.03901 0.05814 0.00881 0.998 0.051 1231.484 0.01301
0.03420 0.02640 0.03908 0.05826 0.00991 1.005 0.052 1231.514 0.01303
0.03427 0.02645 0.03915 0.05837 0.01101 1.007 0.052 1231.544 0.01306
0.03433 0.02650 0.03923 0.05848 0.01211 1.048 0.053 1231.574 0.01308
0.03440 0.02655 0.03930 0.05859 0.01321 1.062 0.053 1231.604 0.01311
0.03446 0.02660 0.03938 0.05870 0.01431 0.930 0.050 1231.634 0.01313
0.03453 0.02665 0.03945 0.05881 0.01541 1.003 0.051 1231.664 0.01316
0.03459 0.02670 0.03953 0.05892 0.01652 1.052 0.053 1231.693 0.01318
0.03466 0.02675 0.03960 0.05903 0.01762 1.053 0.053 1231.723 0.01321
0.03472 0.02680 0.03968 0.05914 0.01872 1.003 0.051 1231.753 0.01323
0.03479 0.02685 0.03975 0.05925 0.01982 1.055 0.053 1231.783 0.01325
0.03485 0.02690 0.03982 0.05936 0.02092 1.042 0.052 1231.813 0.01328
0.03492 0.02695 0.03990 0.05948 0.02202 0.836 0.047 1231.843 0.01330
0.03498 0.02700 0.03997 0.05959 0.02312 0.924 0.049 1231.873 0.01333
0.03505 0.02705 0.04005 0.05970 0.02423 1.067 0.053 1231.903 0.01335
0.03511 0.02710 0.04012 0.05981 0.02533 1.018 0.052 1231.932 0.01338
0.03518 0.02715 0.04020 0.05992 0.02643 1.011 0.051 1231.962 0.01340
0.03524 0.02720 0.04027 0.06003 0.02753 1.085 0.053 1231.992 0.01343
0.03531 0.02725 0.04035 0.06014 0.02863 0.901 0.048 1232.022 0.01345
0.03537 0.02730 0.04042 0.06025 0.02973 0.926 0.049 1232.052 0.01348
0.03544 0.02735 0.04049 0.06036 0.03084 0.920 0.049 1232.082 0.01350
0.03550 0.02740 0.04057 0.06047 0.03194 1.091 0.053 1232.112 0.01352
0.03557 0.02745 0.04064 0.06059 0.03304 0.993 0.051 1232.142 0.01355
0.03563 0.02750 0.04072 0.06070 0.03414 0.941 0.049 1232.171 0.01357
0.03570 0.02755 0.04079 0.06081 0.03524 0.981 0.050 1232.201 0.01360
0.03576 0.02760 0.04087 0.06092 0.03635 1.045 0.052 1232.231 0.01362
0.03583 0.02765 0.04094 0.06103 0.03745 0.947 0.050 1232.261 0.01365
0.03589 0.02770 0.04102 0.06114 0.03855 1.016 0.051 1232.291 0.01367
0.03596 0.02775 0.04109 0.06125 0.03965 0.934 0.049 1232.321 0.01370
0.03602 0.02781 0.04116 0.06136 0.04075 1.019 0.051 1232.351 0.01372
0.03609 0.02786 0.04124 0.06147 0.04186 1.019 0.051 1232.381 0.01375
0.03616 0.02791 0.04131 0.06159 0.04296 0.965 0.050 1232.411 0.01377
0.03622 0.02796 0.04139 0.06170 0.04406 1.003 0.051 1232.440 0.01380
0.03629 0.02801 0.04146 0.06181 0.04516 1.004 0.051 1232.470 0.01382
0.03635 0.02806 0.04154 0.06192 0.04627 0.987 0.050 1232.500 0.01384
0.03642 0.02811 0.04161 0.06203 0.04737 1.061 0.052 1232.530 0.01387
0.03648 0.02816 0.04169 0.06214 0.04847 0.914 0.049 1232.560 0.01389
0.03655 0.02821 0.04176 0.06225 0.04957 1.004 0.051 1232.590 0.01392
0.03661 0.02826 0.04184 0.06236 0.05068 1.064 0.052 1232.620 0.01394
0.03668 0.02831 0.04191 0.06247 0.05178 0.987 0.050 1232.650 0.01397
0.03674 0.02836 0.04198 0.06258 0.05288 1.009 0.051 1232.679 0.01399
0.03681 0.02841 0.04206 0.06270 0.05398 1.042 0.052 1232.709 0.01402
0.03687 0.02846 0.04213 0.06281 0.05509 0.966 0.050 1232.739 0.01404
0.03694 0.02851 0.04221 0.06292 0.05619 1.047 0.052 1232.769 0.01407
0.03700 0.02856 0.04228 0.06303 0.05729 1.060 0.052 1232.799 0.01409
0.03707 0.02861 0.04236 0.06314 0.05840 0.978 0.050 1232.829 0.01411
0.03713 0.02866 0.04243 0.06325 0.05950 0.990 0.050 1232.859 0.01414
0.03720 0.02871 0.04251 0.06336 0.06060 0.966 0.050 1232.889 0.01416
0.03726 0.02876 0.04258 0.06347 0.06170 1.025 0.051 1232.918 0.01419
0.03733 0.02881 0.04266 0.06358 0.06281 0.997 0.050 1232.948 0.01421
0.03739 0.02886 0.04273 0.06370 0.06391 0.964 0.050 1232.978 0.01424
0.03746 0.02891 0.04280 0.06381 0.06501 1.040 0.052 1233.008 0.01426
0.03752 0.02896 0.04288 0.06392 0.06612 0.957 0.049 1233.038 0.01429
0.03759 0.02901 0.04295 0.06403 0.06722 0.960 0.049 1233.068 0.01431
0.03766 0.02906 0.04303 0.06414 0.06832 0.956 0.049 1233.098 0.01434
0.03772 0.02911 0.04310 0.06425 0.06943 1.061 0.052 1233.128 0.01436
0.03779 0.02916 0.04318 0.06436 0.07053 0.922 0.048 1233.157 0.01439
0.03785 0.02921 0.04325 0.06447 0.07163 0.927 0.049 1233.187 0.01441
0.03792 0.02927 0.04333 0.06459 0.07274 0.961 0.049 1233.217 0.01443
0.03798 0.02932 0.04340 0.06470 0.07384 0.999 0.050 1233.247 0.01446
0.03805 0.02937 0.04348 0.06481 0.07494 1.012 0.051 1233.277 0.01448
0.03811 0.02942 0.04355 0.06492 0.07605 0.964 0.049 1233.307 0.01451
0.03818 0.02947 0.04362 0.06503 0.07715 1.013 0.051 1233.337 0.01453
0.03824 0.02952 0.04370 0.06514 0.07825 0.920 0.048 1233.367 0.01456
0.03831 0.02957 0.04377 0.06525 0.07936 1.061 0.052 1233.397 0.01458
0.03837 0.02962 0.04385 0.06536 0.08046 0.939 0.049 1233.426 0.01461
0.03844 0.02967 0.04392 0.06547 0.08156 0.938 0.049 1233.456 0.01463
0.03850 0.02972 0.04400 0.06559 0.08267 0.958 0.049 1233.486 0.01466
0.03857 0.02977 0.04407 0.06570 0.08377 0.923 0.048 1233.516 0.01468
0.03863 0.02982 0.04415 0.06581 0.08488 0.945 0.049 1233.546 0.01470
0.03870 0.02987 0.04422 0.06592 0.08598 1.027 0.051 1233.576 0.01473
0.03877 0.02992 0.04430 0.06603 0.08708 0.989 0.050 1233.606 0.01475
0.03883 0.02997 0.04437 0.06614 0.08819 0.956 0.049 1233.636 0.01478
0.03890 0.03002 0.04444 0.06625 0.08929 0.997 0.050 1233.665 0.01480
0.03896 0.03007 0.04452 0.06636 0.09040 0.916 0.048 1233.695 0.01483
0.03903 0.03012 0.04459 0.06648 0.09150 0.984 0.050 1233.725 0.01485
0.03909 0.03017 0.04467 0.06659 0.09260 1.006 0.050 1233.755 0.01488
0.03916 0.03022 0.04474 0.06670 0.09371 1.048 0.051 1233.785 0.01490
0.03922 0.03027 0.04482 0.06681 0.09481 1.053 0.051 1233.815 0.01493
0.03929 0.03032 0.04489 0.06692 0.09592 0.998 0.050 1233.845 0.01495
0.03935 0.03037 0.04497 0.06703 0.09702 1.041 0.051 1233.875 0.01497
0.03942 0.03042 0.04504 0.06714 0.09813 0.961 0.049 1233.904 0.01500
0.03948 0.03047 0.04512 0.06725 0.09923 0.958 0.049 1233.934 0.01502
0.03955 0.03052 0.04519 0.06737 0.10033 0.912 0.048 1233.964 0.01505
0.03961 0.03058 0.04527 0.06748 0.10144 0.930 0.048 1233.994 0.01507
0.03968 0.03063 0.04534 0.06759 0.10254 0.942 0.049 1234.024 0.01510
0.03974 0.03068 0.04542 0.06770 0.10365 1.018 0.050 1234.054 0.01512
0.03981 0.03073 0.04549 0.06781 0.10475 1.036 0.051 1234.084 0.01515
0.03988 0.03078 0.04556 0.06792 0.10586 0.973 0.049 1234.114 0.01517
0.03994 0.03083 0.04564 0.06803 0.10696 0.835 0.046 1234.143 0.01520
0.04001 0.03088 0.04571 0.06814 0.10807 0.868 0.047 1234.173 0.01522
0.04007 0.03093 0.04579 0.06826 0.10917 0.960 0.049 1234.203 0.01525
0.04014 0.03098 0.04586 0.06837 0.11028 0.832 0.046 1234.233 0.01527
0.04020 0.03103 0.04594 0.06848 0.11138 0.896 0.047 1234.263 0.01529
0.04027 0.03108 0.04601 0.06859 0.11248 1.017 0.050 1234.293 0.01532
0.04033 0.03113 0.04609 0.06870 0.11359 0.937 0.048 1234.323 0.01534
0.04040 0.03118 0.04616 0.06881 0.11469 0.997 0.050 1234.353 0.01537
0.04046 0.03123 0.04624 0.06892 0.11580 1.010 0.050 1234.383 0.01539
0.04053 0.03128 0.04631 0.06904 0.11690 1.043 0.051 1234.412 0.01542
0.04059 0.03133 0.04639 0.06915 0.11801 1.056 0.051 1234.442 0.01544
0.04066 0.03138 0.04646 0.06926 0.11911 0.946 0.049 1234.472 0.01547
0.04072 0.03143 0.04654 0.06937 0.12022 0.963 0.049 1234.502 0.01549
0.04079 0.03148 0.04661 0.06948 0.12132 0.958 0.049 1234.532 0.01552
0.04086 0.03153 0.04668 0.06959 0.12243 0.995 0.052 1234.562 0.01554
0.04092 0.03158 0.04676 0.06970 0.12354 0.947 0.049 1234.592 0.01556
0.04099 0.03163 0.04683 0.06981 0.12464 1.011 0.050 1234.622 0.01559
0.04105 0.03169 0.04691 0.06993 0.12575 0.941 0.048 1234.651 0.01561
0.04112 0.03174 0.04698 0.07004 0.12685 0.985 0.049 1234.681 0.01564
0.04118 0.03179 0.04706 0.07015 0.12796 0.970 0.049 1234.711 0.01566
0.04125 0.03184 0.04713 0.07026 0.12906 0.917 0.048 1234.741 0.01569
0.04131 0.03189 0.04721 0.07037 0.13017 0.883 0.047 1234.771 0.01571
0.04138 0.03194 0.04728 0.07048 0.13127 0.943 0.048 1234.801 0.01574
0.04144 0.03199 0.04736 0.07059 0.13238 0.937 0.048 1234.831 0.01576
0.04151 0.03204 0.04743 0.07071 0.13348 0.929 0.048 1234.861 0.01579
0.04157 0.03209 0.04751 0.07082 0.13459 0.927 0.048 1234.890 0.01581
0.04164 0.03214 0.04758 0.07093 0.13570 1.036 0.051 1234.920 0.01584
0.04171 0.03219 0.04766 0.07104 0.13680 0.913 0.048 1234.950 0.01586
0.04177 0.03224 0.04773 0.07115 0.13791 0.942 0.048 1234.980 0.01588
0.04184 0.03229 0.04781 0.07126 0.13901 0.877 0.047 1235.010 0.01591
0.04190 0.03234 0.04788 0.07137 0.14012 0.991 0.049 1235.040 0.01593
