x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.00165 0.00161 0.05721 0.05726 0.00000 0.788 0.100 1231.245 0.01281
0.00165 0.00162 0.05732 0.05737 0.00110 0.885 0.099 1231.275 0.01284
0.00165 0.00162 0.05743 0.05748 0.00220 0.835 0.096 1231.305 0.01286
0.00166 0.00162 0.05754 0.05759 0.00330 0.846 0.103 1231.335 0.01289
0.00166 0.00163 0.05765 0.05770 0.00440 1.076 0.102 1231.365 0.01291
0.00166 0.00163 0.05776 0.05781 0.00550 1.028 0.106 1231.395 0.01293
0.00167 0.00163 0.05788 0.05792 0.00661 0.980 0.104 1231.425 0.01296
0.00167 0.00164 0.05799 0.05803 0.00771 0.883 0.099 1231.454 0.01298
0.00167 0.00164 0.05810 0.05814 0.00881 0.912 0.100 1231.484 0.01301
0.00168 0.00164 0.05821 0.05826 0.00991 1.056 0.101 1231.514 0.01303
0.00168 0.00165 0.05832 0.05837 0.01101 1.065 0.102 1231.544 0.01306
0.00168 0.00165 0.05843 0.05848 0.01211 1.043 0.101 1231.574 0.01308
0.00169 0.00165 0.05854 0.05859 0.01321 1.023 0.105 1231.604 0.01311
0.00169 0.00165 0.05865 0.05870 0.01431 0.903 0.100 1231.634 0.01313
0.00169 0.00166 0.05876 0.05881 0.01541 0.894 0.104 1231.664 0.01316
0.00170 0.00166 0.05887 0.05892 0.01652 1.038 0.100 1231.693 0.01318
0.00170 0.00166 0.05898 0.05903 0.01762 0.927 0.095 1231.723 0.01321
0.00170 0.00167 0.05909 0.05914 0.01872 1.097 0.108 1231.753 0.01323
0.00171 0.00167 0.05921 0.05925 0.01982 0.989 0.098 1231.783 0.01325
0.00171 0.00167 0.05932 0.05936 0.02092 0.849 0.096 1231.813 0.01328
0.00171 0.00168 0.05943 0.05948 0.02202 1.011 0.110 1231.843 0.01330
0.00171 0.00168 0.05954 0.05959 0.02312 0.754 0.097 1231.873 0.01333
0.00172 0.00168 0.05965 0.05970 0.02423 0.906 0.099 1231.903 0.01335
0.00172 0.00169 0.05976 0.05981 0.02533 0.834 0.107 1231.932 0.01338
0.00172 0.00169 0.05987 0.05992 0.02643 0.635 0.089 1231.962 0.01340
0.00173 0.00169 0.05998 0.06003 0.02753 0.734 0.102 1231.992 0.01343
0.00173 0.00170 0.06009 0.06014 0.02863 0.739 0.095 1232.022 0.01345
0.00173 0.00170 0.06020 0.06025 0.02973 0.898 0.099 1232.052 0.01348
0.00174 0.00170 0.06031 0.06036 0.03084 0.736 0.103 1232.082 0.01350
0.00174 0.00170 0.06043 0.06047 0.03194 0.886 0.105 1232.112 0.01352
0.00174 0.00171 0.06054 0.06059 0.03304 1.023 0.105 1232.142 0.01355
0.00175 0.00171 0.06065 0.06070 0.03414 0.821 0.101 1232.171 0.01357
0.00175 0.00171 0.06076 0.06081 0.03524 0.886 0.098 1232.201 0.01360
0.00175 0.00172 0.06087 0.06092 0.03635 0.758 0.103 1232.231 0.01362
0.00176 0.00172 0.06098 0.06103 0.03745 0.758 0.097 1232.261 0.01365
0.00176 0.00172 0.06109 0.06114 0.03855 0.950 0.101 1232.291 0.01367
0.00176 0.00173 0.06120 0.06125 0.03965 0.911 0.099 1232.321 0.01370
0.00177 0.00173 0.06131 0.06136 0.04075 0.815 0.094 1232.351 0.01372
0.00177 0.00173 0.06142 0.06147 0.04186 0.854 0.096 1232.381 0.01375
0.00177 0.00174 0.06154 0.06159 0.04296 0.856 0.103 1232.411 0.01377
0.00178 0.00174 0.06165 0.06170 0.04406 0.972 0.103 1232.440 0.01380
0.00178 0.00174 0.06176 0.06181 0.04516 0.815 0.100 1232.470 0.01382
0.00178 0.00175 0.06187 0.06192 0.04627 1.005 0.098 1232.500 0.01384
0.00178 0.00175 0.06198 0.06203 0.04737 0.899 0.105 1232.530 0.01387
0.00179 0.00175 0.06209 0.06214 0.04847 1.012 0.099 1232.560 0.01389
0.00179 0.00176 0.06220 0.06225 0.04957 0.871 0.103 1232.590 0.01392
0.00179 0.00176 0.06231 0.06236 0.05068 0.746 0.096 1232.620 0.01394
0.00180 0.00176 0.06242 0.06247 0.05178 0.746 0.096 1232.650 0.01397
0.00180 0.00176 0.06253 0.06258 0.05288 0.959 0.096 1232.679 0.01399
0.00180 0.00177 0.06265 0.06270 0.05398 0.840 0.096 1232.709 0.01402
0.00181 0.00177 0.06276 0.06281 0.05509 0.771 0.097 1232.739 0.01404
0.00181 0.00177 0.06287 0.06292 0.05619 0.943 0.095 1232.769 0.01407
0.00181 0.00178 0.06298 0.06303 0.05729 0.940 0.101 1232.799 0.01409
0.00182 0.00178 0.06309 0.06314 0.05840 0.882 0.103 1232.829 0.01411
0.00182 0.00178 0.06320 0.06325 0.05950 0.981 0.102 1232.859 0.01414
0.00182 0.00179 0.06331 0.06336 0.06060 0.871 0.097 1232.889 0.01416
0.00183 0.00179 0.06342 0.06347 0.06170 1.004 0.098 1232.918 0.01419
0.00183 0.00179 0.06353 0.06358 0.06281 1.158 0.105 1232.948 0.01421
0.00183 0.00180 0.06364 0.06370 0.06391 0.884 0.098 1232.978 0.01424
0.00184 0.00180 0.06376 0.06381 0.06501 0.990 0.097 1233.008 0.01426
0.00184 0.00180 0.06387 0.06392 0.06612 0.867 0.097 1233.038 0.01429
0.00184 0.00181 0.06398 0.06403 0.06722 0.953 0.095 1233.068 0.01431
0.00185 0.00181 0.06409 0.06414 0.06832 1.052 0.106 1233.098 0.01434
0.00185 0.00181 0.06420 0.06425 0.06943 1.094 0.102 1233.128 0.01436
0.00185 0.00181 0.06431 0.06436 0.07053 0.866 0.096 1233.157 0.01439
0.00186 0.00182 0.06442 0.06447 0.07163 0.961 0.096 1233.187 0.01441
0.00186 0.00182 0.06453 0.06459 0.07274 0.950 0.101 1233.217 0.01443
0.00186 0.00182 0.06464 0.06470 0.07384 1.017 0.104 1233.247 0.01446
0.00186 0.00183 0.06475 0.06481 0.07494 1.139 0.110 1233.277 0.01448
0.00187 0.00183 0.06487 0.06492 0.07605 1.130 0.104 1233.307 0.01451
0.00187 0.00183 0.06498 0.06503 0.07715 0.808 0.094 1233.337 0.01453
0.00187 0.00184 0.06509 0.06514 0.07825 1.120 0.103 1233.367 0.01456
0.00188 0.00184 0.06520 0.06525 0.07936 1.044 0.105 1233.397 0.01458
0.00188 0.00184 0.06531 0.06536 0.08046 1.024 0.099 1233.426 0.01461
0.00188 0.00185 0.06542 0.06547 0.08156 0.997 0.103 1233.456 0.01463
0.00189 0.00185 0.06553 0.06559 0.08267 1.052 0.100 1233.486 0.01466
0.00189 0.00185 0.06564 0.06570 0.08377 1.099 0.102 1233.516 0.01468
0.00189 0.00186 0.06575 0.06581 0.08488 0.978 0.096 1233.546 0.01470
0.00190 0.00186 0.06587 0.06592 0.08598 1.015 0.098 1233.576 0.01473
0.00190 0.00186 0.06598 0.06603 0.08708 0.996 0.097 1233.606 0.01475
0.00190 0.00186 0.06609 0.06614 0.08819 0.986 0.097 1233.636 0.01478
0.00191 0.00187 0.06620 0.06625 0.08929 1.093 0.102 1233.665 0.01480
0.00191 0.00187 0.06631 0.06636 0.09040 0.987 0.102 1233.695 0.01483
0.00191 0.00187 0.06642 0.06648 0.09150 0.954 0.100 1233.725 0.01485
0.00192 0.00188 0.06653 0.06659 0.09260 0.955 0.101 1233.755 0.01488
0.00192 0.00188 0.06664 0.06670 0.09371 1.091 0.102 1233.785 0.01490
0.00192 0.00188 0.06676 0.06681 0.09481 0.874 0.102 1233.815 0.01493
0.00193 0.00189 0.06687 0.06692 0.09592 0.855 0.096 1233.845 0.01495
0.00193 0.00189 0.06698 0.06703 0.09702 0.898 0.098 1233.875 0.01497
0.00193 0.00189 0.06709 0.06714 0.09813 0.984 0.096 1233.904 0.01500
0.00194 0.00190 0.06720 0.06725 0.09923 1.040 0.104 1233.934 0.01502
0.00194 0.00190 0.06731 0.06737 0.10033 0.925 0.099 1233.964 0.01505
0.00194 0.00190 0.06742 0.06748 0.10144 1.128 0.103 1233.994 0.01507
0.00194 0.00191 0.06753 0.06759 0.10254 1.051 0.105 1234.024 0.01510
0.00195 0.00191 0.06764 0.06770 0.10365 1.007 0.098 1234.054 0.01512
0.00195 0.00191 0.06776 0.06781 0.10475 0.923 0.093 1234.084 0.01515
0.00195 0.00191 0.06787 0.06792 0.10586 1.013 0.098 1234.114 0.01517
0.00196 0.00192 0.06798 0.06803 0.10696 0.871 0.097 1234.143 0.01520
0.00196 0.00192 0.06809 0.06814 0.10807 1.038 0.105 1234.173 0.01522
0.00196 0.00192 0.06820 0.06826 0.10917 0.849 0.102 1234.203 0.01525
0.00197 0.00193 0.06831 0.06837 0.11028 0.943 0.100 1234.233 0.01527
0.00197 0.00193 0.06842 0.06848 0.11138 0.971 0.096 1234.263 0.01529
0.00197 0.00193 0.06853 0.06859 0.11248 0.887 0.097 1234.293 0.01532
0.00198 0.00194 0.06865 0.06870 0.11359 0.981 0.096 1234.323 0.01534
0.00198 0.00194 0.06876 0.06881 0.11469 0.924 0.105 1234.353 0.01537
0.00198 0.00194 0.06887 0.06892 0.11580 0.961 0.101 1234.383 0.01539
0.00199 0.00195 0.06898 0.06904 0.11690 1.055 0.100 1234.412 0.01542
0.00199 0.00195 0.06909 0.06915 0.11801 0.736 0.095 1234.442 0.01544
0.00199 0.00195 0.06920 0.06926 0.11911 0.969 0.096 1234.472 0.01547
0.00200 0.00196 0.06931 0.06937 0.12022 0.820 0.099 1234.502 0.01549
0.00200 0.00196 0.06942 0.06948 0.12132 0.941 0.100 1234.532 0.01552
0.00200 0.00196 0.06954 0.06959 0.12243 1.053 0.105 1234.562 0.01554
0.00201 0.00197 0.06965 0.06970 0.12354 0.819 0.100 1234.592 0.01556
0.00201 0.00197 0.06976 0.06981 0.12464 0.753 0.102 1234.622 0.01559
0.00201 0.00197 0.06987 0.06993 0.12575 1.042 0.105 1234.651 0.01561
0.00202 0.00197 0.06998 0.07004 0.12685 0.926 0.110 1234.681 0.01564
0.00202 0.00198 0.07009 0.07015 0.12796 1.041 0.099 1234.711 0.01566
0.00202 0.00198 0.07020 0.07026 0.12906 0.947 0.111 1234.741 0.01569
0.00202 0.00198 0.07031 0.07037 0.13017 0.958 0.101 1234.771 0.01571
0.00203 0.00199 0.07043 0.07048 0.13127 0.874 0.097 1234.801 0.01574
0.00203 0.00199 0.07054 0.07059 0.13238 0.958 0.101 1234.831 0.01576
0.00203 0.00199 0.07065 0.07071 0.13348 1.144 0.104 1234.861 0.01579
0.00204 0.00200 0.07076 0.07082 0.13459 1.106 0.102 1234.890 0.01581
0.00204 0.00200 0.07087 0.07093 0.13570 1.068 0.100 1234.920 0.01584
0.00204 0.00200 0.07098 0.07104 0.13680 0.984 0.096 1234.950 0.01586
0.00205 0.00201 0.07109 0.07115 0.13791 1.003 0.097 1234.980 0.01588
0.00205 0.00201 0.07120 0.07126 0.13901 1.012 0.097 1235.010 0.01591
0.00205 0.00201 0.07132 0.07137 0.14012 1.050 0.099 1235.040 0.01593
0.00206 0.00202 0.07143 0.07149 0.14122 0.919 0.099 1235.070 0.01596
0.00206 0.00202 0.07154 0.07160 0.14233 1.002 0.097 1235.100 0.01598
0.00206 0.00202 0.07165 0.07171 0.14344 0.927 0.099 1235.129 0.01601
0.00207 0.00202 0.07176 0.07182 0.14454 0.927 0.104 1235.159 0.01603
0.00207 0.00203 0.07187 0.07193 0.14565 0.946 0.100 1235.189 0.01606
0.00207 0.00203 0.07198 0.07204 0.14675 1.076 0.100 1235.219 0.01608
0.00208 0.00203 0.07210 0.07215 0.14786 1.215 0.107 1235.249 0.01611
0.00208 0.00204 0.07221 0.07227 0.14897 0.972 0.095 1235.279 0.01613
0.00208 0.00204 0.07232 0.07238 0.15007 0.937 0.099 1235.309 0.01615
0.00209 0.00204 0.07243 0.07249 0.15118 0.963 0.095 1235.339 0.01618
0.00209 0.00205 0.07254 0.07260 0.15228 0.925 0.099 1235.369 0.01620
0.00209 0.00205 0.07265 0.07271 0.15339 0.958 0.100 1235.398 0.01623
0.00210 0.00205 0.07276 0.07282 0.15450 1.051 0.099 1235.428 0.01625
0.00210 0.00206 0.07287 0.07293 0.15560 0.883 0.097 1235.458 0.01628
0.00210 0.00206 0.07299 0.07305 0.15671 0.926 0.093 1235.488 0.01630
0.00211 0.00206 0.07310 0.07316 0.15782 0.920 0.098 1235.518 0.01633
0.00211 0.00207 0.07321 0.07327 0.15892 0.884 0.091 1235.548 0.01635
0.00211 0.00207 0.07332 0.07338 0.16003 1.076 0.100 1235.578 0.01638
0.00211 0.00207 0.07343 0.07349 0.16114 0.830 0.099 1235.608 0.01640
0.00212 0.00208 0.07354 0.07360 0.16224 1.037 0.104 1235.637 0.01643
0.00212 0.00208 0.07365 0.07371 0.16335 1.014 0.097 1235.667 0.01645
0.00212 0.00208 0.07377 0.07383 0.16446 1.179 0.105 1235.697 0.01647
0.00213 0.00208 0.07388 0.07394 0.16556 0.954 0.100 1235.727 0.01650
0.00213 0.00209 0.07399 0.07405 0.16667 0.902 0.103 1235.757 0.01652
0.00213 0.00209 0.07410 0.07416 0.16778 0.868 0.095 1235.787 0.01655
0.00214 0.00209 0.07421 0.07427 0.16888 0.921 0.093 1235.817 0.01657
0.00214 0.00210 0.07432 0.07438 0.16999 0.820 0.099 1235.847 0.01660
0.00214 0.00210 0.07443 0.07450 0.17110 1.023 0.103 1235.876 0.01662
0.00215 0.00210 0.07455 0.07461 0.17220 1.179 0.105 1235.906 0.01665
0.00215 0.00211 0.07466 0.07472 0.17331 1.088 0.101 1235.936 0.01667
0.00215 0.00211 0.07477 0.07483 0.17442 0.893 0.097 1235.966 0.01670
0.00216 0.00211 0.07488 0.07494 0.17553 1.096 0.106 1235.996 0.01672
0.00216 0.00212 0.07499 0.07505 0.17663 0.800 0.098 1236.026 0.01674
0.00216 0.00212 0.07510 0.07516 0.17774 0.929 0.099 1236.056 0.01677
0.00217 0.00212 0.07521 0.07528 0.17885 0.910 0.098 1236.086 0.01679
0.00217 0.00213 0.07533 0.07539 0.17995 0.984 0.096 1236.115 0.01682
0.00217 0.00213 0.07544 0.07550 0.18106 0.974 0.095 1236.145 0.01684
0.00218 0.00213 0.07555 0.07561 0.18217 1.002 0.097 1236.175 0.01687
0.00218 0.00213 0.07566 0.07572 0.18328 1.103 0.101 1236.205 0.01689
0.00218 0.00214 0.07577 0.07583 0.18438 1.001 0.096 1236.235 0.01692
0.00219 0.00214 0.07588 0.07595 0.18549 0.881 0.096 1236.265 0.01694
0.00219 0.00214 0.07600 0.07606 0.18660 0.807 0.092 1236.295 0.01697
0.00219 0.00215 0.07611 0.07617 0.18771 0.872 0.096 1236.325 0.01699
0.00219 0.00215 0.07622 0.07628 0.18881 0.853 0.095 1236.355 0.01701
0.00220 0.00215 0.07633 0.07639 0.18992 0.964 0.100 1236.384 0.01704
0.00220 0.00216 0.07644 0.07650 0.19103 0.863 0.095 1236.414 0.01706
0.00220 0.00216 0.07655 0.07661 0.19214 1.057 0.099 1236.444 0.01709
0.00221 0.00216 0.07666 0.07673 0.19324 1.000 0.096 1236.474 0.01711
0.00221 0.00217 0.07678 0.07684 0.19435 1.174 0.104 1236.504 0.01714
0.00221 0.00217 0.07689 0.07695 0.19546 0.961 0.094 1236.534 0.01716
0.00222 0.00217 0.07700 0.07706 0.19657 1.109 0.101 1236.564 0.01719
0.00222 0.00218 0.07711 0.07717 0.19768 0.870 0.101 1236.594 0.01721
0.00222 0.00218 0.07722 0.07728 0.19878 0.707 0.092 1236.623 0.01724
0.00223 0.00218 0.07733 0.07740 0.19989 1.056 0.099 1236.653 0.01726
0.00223 0.00219 0.07744 0.07751 0.20100 0.964 0.095 1236.683 0.01729
0.00223 0.00219 0.07756 0.07762 0.20211 0.975 0.100 1236.713 0.01731
0.00224 0.00219 0.07767 0.07773 0.20322 0.813 0.098 1236.743 0.01733
0.00224 0.00219 0.07778 0.07784 0.20432 1.085 0.100 1236.773 0.01736
0.00224 0.00220 0.07789 0.07795 0.20543 0.931 0.098 1236.803 0.01738
0.00225 0.00220 0.07800 0.07807 0.20654 0.838 0.094 1236.833 0.01741
0.00225 0.00220 0.07811 0.07818 0.20765 0.969 0.095 1236.862 0.01743
0.00225 0.00221 0.07823 0.07829 0.20876 0.891 0.096 1236.892 0.01746
0.00226 0.00221 0.07834 0.07840 0.20987 0.890 0.096 1236.922 0.01748
0.00226 0.00221 0.07845 0.07851 0.21097 0.929 0.093 1236.952 0.01751
0.00226 0.00222 0.07856 0.07862 0.21208 0.976 0.100 1236.982 0.01753
0.00227 0.00222 0.07867 0.07874 0.21319 0.823 0.098 1237.012 0.01756
