x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.00923 0.02919 0.04839 0.05726 0.00000 1.108 0.497 1231.245 0.01281
0.00925 0.02925 0.04848 0.05737 0.00110 0.931 0.476 1231.275 0.01284
0.00927 0.02930 0.04857 0.05748 0.00220 1.013 0.486 1231.305 0.01286
0.00928 0.02936 0.04867 0.05759 0.00330 1.010 0.487 1231.335 0.01289
0.00930 0.02942 0.04876 0.05770 0.00440 1.443 0.539 1231.365 0.01291
0.00932 0.02947 0.04885 0.05781 0.00550 0.927 0.472 1231.395 0.01293
0.00934 0.02953 0.04895 0.05792 0.00661 0.842 0.461 1231.425 0.01296
0.00936 0.02959 0.04904 0.05803 0.00771 0.755 0.445 1231.454 0.01298
0.00937 0.02964 0.04914 0.05814 0.00881 0.929 0.475 1231.484 0.01301
0.00939 0.02970 0.04923 0.05826 0.00991 1.099 0.496 1231.514 0.01303
0.00941 0.02975 0.04932 0.05837 0.01101 1.358 0.528 1231.544 0.01306
0.00943 0.02981 0.04942 0.05848 0.01211 0.753 0.451 1231.574 0.01308
0.00945 0.02987 0.04951 0.05859 0.01321 1.270 0.517 1231.604 0.01311
0.00946 0.02992 0.04960 0.05870 0.01431 1.019 0.484 1231.634 0.01313
0.00948 0.02998 0.04970 0.05881 0.01541 1.394 0.528 1231.664 0.01316
0.00950 0.03004 0.04979 0.05892 0.01652 1.609 0.546 1231.693 0.01318
0.00952 0.03009 0.04989 0.05903 0.01762 0.849 0.462 1231.723 0.01321
0.00953 0.03015 0.04998 0.05914 0.01872 1.108 0.484 1231.753 0.01323
0.00955 0.03021 0.05007 0.05925 0.01982 1.015 0.485 1231.783 0.01325
0.00957 0.03026 0.05017 0.05936 0.02092 1.344 0.527 1231.813 0.01328
0.00959 0.03032 0.05026 0.05948 0.02202 0.956 0.473 1231.843 0.01330
0.00961 0.03038 0.05035 0.05959 0.02312 1.149 0.491 1231.873 0.01333
0.00962 0.03043 0.05045 0.05970 0.02423 0.656 0.434 1231.903 0.01335
0.00964 0.03049 0.05054 0.05981 0.02533 0.675 0.434 1231.932 0.01338
0.00966 0.03055 0.05064 0.05992 0.02643 1.511 0.536 1231.962 0.01340
0.00968 0.03060 0.05073 0.06003 0.02753 0.937 0.472 1231.992 0.01343
0.00970 0.03066 0.05082 0.06014 0.02863 0.912 0.469 1232.022 0.01345
0.00971 0.03072 0.05092 0.06025 0.02973 0.863 0.460 1232.052 0.01348
0.00973 0.03077 0.05101 0.06036 0.03084 0.937 0.471 1232.082 0.01350
0.00975 0.03083 0.05110 0.06047 0.03194 0.599 0.422 1232.112 0.01352
0.00977 0.03089 0.05120 0.06059 0.03304 1.031 0.478 1232.142 0.01355
0.00979 0.03094 0.05129 0.06070 0.03414 0.664 0.435 1232.171 0.01357
0.00980 0.03100 0.05139 0.06081 0.03524 1.430 0.534 1232.201 0.01360
0.00982 0.03106 0.05148 0.06092 0.03635 1.682 0.562 1232.231 0.01362
0.00984 0.03111 0.05157 0.06103 0.03745 1.597 0.551 1232.261 0.01365
0.00986 0.03117 0.05167 0.06114 0.03855 1.002 0.483 1232.291 0.01367
0.00988 0.03123 0.05176 0.06125 0.03965 0.747 0.445 1232.321 0.01370
0.00989 0.03128 0.05186 0.06136 0.04075 1.005 0.482 1232.351 0.01372
0.00991 0.03134 0.05195 0.06147 0.04186 0.999 0.482 1232.381 0.01375
0.00993 0.03140 0.05204 0.06159 0.04296 0.737 0.447 1232.411 0.01377
0.00995 0.03145 0.05214 0.06170 0.04406 0.994 0.482 1232.440 0.01380
0.00996 0.03151 0.05223 0.06181 0.04516 0.566 0.419 1232.470 0.01382
0.00998 0.03157 0.05232 0.06192 0.04627 1.168 0.502 1232.500 0.01384
0.01000 0.03162 0.05242 0.06203 0.04737 0.998 0.480 1232.530 0.01387
0.01002 0.03168 0.05251 0.06214 0.04847 0.569 0.421 1232.560 0.01389
0.01004 0.03174 0.05261 0.06225 0.04957 0.910 0.469 1232.590 0.01392
0.01005 0.03179 0.05270 0.06236 0.05068 1.341 0.522 1232.620 0.01394
0.01007 0.03185 0.05279 0.06247 0.05178 1.679 0.551 1232.650 0.01397
0.01009 0.03191 0.05289 0.06258 0.05288 0.996 0.480 1232.679 0.01399
0.01011 0.03196 0.05298 0.06270 0.05398 1.083 0.491 1232.709 0.01402
0.01013 0.03202 0.05308 0.06281 0.05509 0.743 0.445 1232.739 0.01404
0.01014 0.03208 0.05317 0.06292 0.05619 1.374 0.519 1232.769 0.01407
0.01016 0.03213 0.05326 0.06303 0.05729 0.924 0.469 1232.799 0.01409
0.01018 0.03219 0.05336 0.06314 0.05840 1.633 0.549 1232.829 0.01411
0.01020 0.03225 0.05345 0.06325 0.05950 0.591 0.419 1232.859 0.01414
0.01022 0.03230 0.05354 0.06336 0.06060 1.100 0.491 1232.889 0.01416
0.01023 0.03236 0.05364 0.06347 0.06170 1.423 0.519 1232.918 0.01419
0.01025 0.03242 0.05373 0.06358 0.06281 0.600 0.417 1232.948 0.01421
0.01027 0.03247 0.05383 0.06370 0.06391 0.876 0.457 1232.978 0.01424
0.01029 0.03253 0.05392 0.06381 0.06501 0.661 0.433 1233.008 0.01426
0.01030 0.03259 0.05401 0.06392 0.06612 1.335 0.499 1233.038 0.01429
0.01032 0.03264 0.05411 0.06403 0.06722 1.402 0.519 1233.068 0.01431
0.01034 0.03270 0.05420 0.06414 0.06832 0.418 0.355 1233.098 0.01434
0.01036 0.03276 0.05430 0.06425 0.06943 1.012 0.468 1233.128 0.01436
0.01038 0.03281 0.05439 0.06436 0.07053 0.787 0.431 1233.157 0.01439
0.01039 0.03287 0.05448 0.06447 0.07163 1.227 0.500 1233.187 0.01441
0.01041 0.03293 0.05458 0.06459 0.07274 1.038 0.479 1233.217 0.01443
0.01043 0.03298 0.05467 0.06470 0.07384 0.885 0.457 1233.247 0.01446
0.01045 0.03304 0.05477 0.06481 0.07494 0.839 0.426 1233.277 0.01448
0.01047 0.03310 0.05486 0.06492 0.07605 1.139 0.475 1233.307 0.01451
0.01048 0.03315 0.05495 0.06503 0.07715 0.894 0.455 1233.337 0.01453
0.01050 0.03321 0.05505 0.06514 0.07825 1.122 0.489 1233.367 0.01456
0.01052 0.03327 0.05514 0.06525 0.07936 1.345 0.510 1233.397 0.01458
0.01054 0.03332 0.05524 0.06536 0.08046 1.004 0.477 1233.426 0.01461
0.01056 0.03338 0.05533 0.06547 0.08156 0.857 0.456 1233.456 0.01463
0.01057 0.03344 0.05542 0.06559 0.08267 0.579 0.404 1233.486 0.01466
