x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.04634 -0.00003 0.03370 0.05730 0.00000 0.993 0.106 1231.257 0.01282
-0.04643 -0.00003 0.03376 0.05741 0.00110 0.741 0.098 1231.287 0.01285
-0.04652 -0.00003 0.03383 0.05752 0.00220 0.852 0.105 1231.316 0.01287
-0.04661 -0.00003 0.03389 0.05763 0.00331 0.841 0.103 1231.346 0.01290
-0.04670 -0.00003 0.03396 0.05774 0.00441 1.002 0.106 1231.376 0.01292
-0.04679 -0.00003 0.03402 0.05785 0.00551 0.981 0.105 1231.406 0.01294
-0.04688 -0.00003 0.03409 0.05797 0.00661 0.861 0.099 1231.436 0.01297
-0.04697 -0.00003 0.03415 0.05808 0.00771 0.991 0.106 1231.466 0.01299
-0.04706 -0.00003 0.03422 0.05819 0.00882 0.900 0.107 1231.496 0.01302
-0.04715 -0.00003 0.03428 0.05830 0.00992 0.799 0.108 1231.526 0.01304
-0.04724 -0.00003 0.03435 0.05841 0.01102 0.970 0.104 1231.556 0.01307
-0.04733 -0.00003 0.03441 0.05852 0.01212 1.040 0.108 1231.585 0.01309
-0.04742 -0.00003 0.03448 0.05863 0.01323 0.909 0.107 1231.615 0.01312
-0.04751 -0.00003 0.03455 0.05874 0.01433 1.019 0.101 1231.645 0.01314
-0.04760 -0.00003 0.03461 0.05885 0.01543 0.859 0.105 1231.675 0.01317
-0.04769 -0.00003 0.03468 0.05896 0.01653 0.778 0.100 1231.705 0.01319
-0.04778 -0.00003 0.03474 0.05908 0.01764 0.928 0.108 1231.735 0.01321
-0.04787 -0.00003 0.03481 0.05919 0.01874 0.878 0.099 1231.765 0.01324
-0.04796 -0.00003 0.03487 0.05930 0.01984 1.017 0.107 1231.795 0.01326
-0.04805 -0.00003 0.03494 0.05941 0.02095 0.976 0.099 1231.825 0.01329
-0.04814 -0.00003 0.03500 0.05952 0.02205 1.036 0.102 1231.855 0.01331
-0.04823 -0.00003 0.03507 0.05963 0.02315 1.077 0.104 1231.884 0.01334
