x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.02462 -0.00186 0.05166 0.05726 0.00000 1.092 0.065 1231.245 0.01281
0.02466 -0.00186 0.05176 0.05737 0.00110 1.208 0.068 1231.275 0.01284
0.02471 -0.00187 0.05186 0.05748 0.00220 0.953 0.060 1231.305 0.01286
0.02476 -0.00187 0.05196 0.05759 0.00330 1.062 0.064 1231.335 0.01289
0.02481 -0.00188 0.05206 0.05770 0.00440 0.898 0.059 1231.365 0.01291
0.02485 -0.00188 0.05216 0.05781 0.00550 1.068 0.065 1231.395 0.01293
0.02490 -0.00188 0.05226 0.05792 0.00661 1.003 0.063 1231.425 0.01296
0.02495 -0.00189 0.05236 0.05803 0.00771 0.996 0.062 1231.454 0.01298
0.02500 -0.00189 0.05246 0.05814 0.00881 0.947 0.060 1231.484 0.01301
0.02505 -0.00189 0.05256 0.05826 0.00991 1.210 0.068 1231.514 0.01303
0.02509 -0.00190 0.05266 0.05837 0.01101 1.138 0.066 1231.544 0.01306
0.02514 -0.00190 0.05276 0.05848 0.01211 0.949 0.060 1231.574 0.01308
0.02519 -0.00190 0.05286 0.05859 0.01321 1.054 0.063 1231.604 0.01311
0.02524 -0.00191 0.05296 0.05870 0.01431 1.051 0.063 1231.634 0.01313
0.02528 -0.00191 0.05306 0.05881 0.01541 1.044 0.063 1231.664 0.01316
0.02533 -0.00191 0.05316 0.05892 0.01652 1.043 0.063 1231.693 0.01318
0.02538 -0.00192 0.05326 0.05903 0.01762 1.063 0.063 1231.723 0.01321
0.02543 -0.00192 0.05336 0.05914 0.01872 0.946 0.060 1231.753 0.01323
0.02548 -0.00193 0.05346 0.05925 0.01982 1.047 0.063 1231.783 0.01325
0.02552 -0.00193 0.05356 0.05936 0.02092 1.109 0.065 1231.813 0.01328
0.02557 -0.00193 0.05366 0.05948 0.02202 0.890 0.058 1231.843 0.01330
0.02562 -0.00194 0.05376 0.05959 0.02312 0.873 0.057 1231.873 0.01333
0.02567 -0.00194 0.05386 0.05970 0.02423 0.883 0.058 1231.903 0.01335
0.02571 -0.00194 0.05396 0.05981 0.02533 0.854 0.057 1231.932 0.01338
0.02576 -0.00195 0.05406 0.05992 0.02643 0.863 0.057 1231.962 0.01340
0.02581 -0.00195 0.05416 0.06003 0.02753 0.933 0.059 1231.992 0.01343
0.02586 -0.00195 0.05426 0.06014 0.02863 0.909 0.058 1232.022 0.01345
0.02590 -0.00196 0.05436 0.06025 0.02973 1.000 0.061 1232.052 0.01348
0.02595 -0.00196 0.05446 0.06036 0.03084 0.914 0.058 1232.082 0.01350
0.02600 -0.00197 0.05456 0.06047 0.03194 0.983 0.060 1232.112 0.01352
0.02605 -0.00197 0.05467 0.06059 0.03304 0.917 0.058 1232.142 0.01355
0.02610 -0.00197 0.05477 0.06070 0.03414 0.970 0.060 1232.171 0.01357
0.02614 -0.00198 0.05487 0.06081 0.03524 0.921 0.058 1232.201 0.01360
0.02619 -0.00198 0.05497 0.06092 0.03635 1.016 0.061 1232.231 0.01362
0.02624 -0.00198 0.05507 0.06103 0.03745 1.025 0.062 1232.261 0.01365
0.02629 -0.00199 0.05517 0.06114 0.03855 0.886 0.057 1232.291 0.01367
0.02633 -0.00199 0.05527 0.06125 0.03965 0.944 0.059 1232.321 0.01370
0.02638 -0.00199 0.05537 0.06136 0.04075 0.888 0.057 1232.351 0.01372
0.02643 -0.00200 0.05547 0.06147 0.04186 1.011 0.061 1232.381 0.01375
0.02648 -0.00200 0.05557 0.06159 0.04296 0.854 0.056 1232.411 0.01377
0.02653 -0.00200 0.05567 0.06170 0.04406 0.838 0.056 1232.440 0.01380
0.02657 -0.00201 0.05577 0.06181 0.04516 0.806 0.054 1232.470 0.01382
0.02662 -0.00201 0.05587 0.06192 0.04627 0.739 0.052 1232.500 0.01384
0.02667 -0.00202 0.05597 0.06203 0.04737 0.629 0.048 1232.530 0.01387
0.02672 -0.00202 0.05607 0.06214 0.04847 0.602 0.047 1232.560 0.01389
0.02676 -0.00202 0.05617 0.06225 0.04957 0.546 0.045 1232.590 0.01392
0.02681 -0.00203 0.05627 0.06236 0.05068 0.378 0.037 1232.620 0.01394
0.02686 -0.00203 0.05637 0.06247 0.05178 0.419 0.039 1232.650 0.01397
0.02691 -0.00203 0.05647 0.06258 0.05288 0.526 0.044 1232.679 0.01399
0.02695 -0.00204 0.05657 0.06270 0.05398 0.700 0.051 1232.709 0.01402
0.02700 -0.00204 0.05667 0.06281 0.05509 0.712 0.051 1232.739 0.01404
0.02705 -0.00204 0.05677 0.06292 0.05619 0.761 0.053 1232.769 0.01407
0.02710 -0.00205 0.05687 0.06303 0.05729 0.915 0.058 1232.799 0.01409
0.02715 -0.00205 0.05697 0.06314 0.05840 0.948 0.059 1232.829 0.01411
0.02719 -0.00206 0.05707 0.06325 0.05950 1.022 0.061 1232.859 0.01414
0.02724 -0.00206 0.05717 0.06336 0.06060 0.926 0.058 1232.889 0.01416
