x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.00504 -0.02518 0.05118 0.05726 0.00000 1.099 0.174 1231.245 0.01281
0.00505 -0.02523 0.05128 0.05737 0.00110 1.065 0.171 1231.275 0.01284
0.00506 -0.02528 0.05137 0.05748 0.00220 0.693 0.146 1231.305 0.01286
0.00507 -0.02532 0.05147 0.05759 0.00330 1.207 0.180 1231.335 0.01289
0.00508 -0.02537 0.05157 0.05770 0.00440 0.942 0.163 1231.365 0.01291
0.00509 -0.02542 0.05167 0.05781 0.00550 0.942 0.163 1231.395 0.01293
0.00510 -0.02547 0.05177 0.05792 0.00661 1.102 0.174 1231.425 0.01296
0.00511 -0.02552 0.05187 0.05803 0.00771 0.907 0.161 1231.454 0.01298
0.00512 -0.02557 0.05197 0.05814 0.00881 0.908 0.161 1231.484 0.01301
0.00513 -0.02562 0.05207 0.05826 0.00991 0.926 0.162 1231.514 0.01303
0.00514 -0.02567 0.05217 0.05837 0.01101 0.944 0.164 1231.544 0.01306
0.00515 -0.02571 0.05227 0.05848 0.01211 1.049 0.170 1231.574 0.01308
0.00516 -0.02576 0.05237 0.05859 0.01321 0.784 0.152 1231.604 0.01311
0.00517 -0.02581 0.05246 0.05870 0.01431 0.838 0.156 1231.634 0.01313
0.00518 -0.02586 0.05256 0.05881 0.01541 0.944 0.163 1231.664 0.01316
0.00519 -0.02591 0.05266 0.05892 0.01652 0.995 0.167 1231.693 0.01318
0.00520 -0.02596 0.05276 0.05903 0.01762 1.103 0.174 1231.723 0.01321
0.00521 -0.02601 0.05286 0.05914 0.01872 0.996 0.167 1231.753 0.01323
0.00522 -0.02606 0.05296 0.05925 0.01982 0.891 0.160 1231.783 0.01325
0.00523 -0.02611 0.05306 0.05936 0.02092 0.856 0.157 1231.813 0.01328
0.00524 -0.02615 0.05316 0.05948 0.02202 1.014 0.168 1231.843 0.01330
0.00525 -0.02620 0.05326 0.05959 0.02312 0.908 0.161 1231.873 0.01333
0.00526 -0.02625 0.05336 0.05970 0.02423 1.086 0.173 1231.903 0.01335
0.00527 -0.02630 0.05346 0.05981 0.02533 0.927 0.162 1231.932 0.01338
0.00528 -0.02635 0.05356 0.05992 0.02643 1.139 0.176 1231.962 0.01340
0.00529 -0.02640 0.05366 0.06003 0.02753 0.925 0.163 1231.992 0.01343
0.00530 -0.02645 0.05375 0.06014 0.02863 0.942 0.164 1232.022 0.01345
0.00531 -0.02650 0.05385 0.06025 0.02973 1.103 0.174 1232.052 0.01348
