x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.00243 0.00061 0.05720 0.05726 0.00000 0.850 0.174 1231.245 0.01281
0.00243 0.00061 0.05731 0.05737 0.00110 0.892 0.177 1231.275 0.01284
0.00243 0.00061 0.05742 0.05748 0.00220 0.681 0.160 1231.305 0.01286
0.00244 0.00061 0.05753 0.05759 0.00330 0.745 0.166 1231.335 0.01289
0.00244 0.00061 0.05765 0.05770 0.00440 0.598 0.154 1231.365 0.01291
0.00245 0.00062 0.05776 0.05781 0.00550 0.829 0.173 1231.395 0.01293
0.00245 0.00062 0.05787 0.05792 0.00661 0.787 0.169 1231.425 0.01296
0.00246 0.00062 0.05798 0.05803 0.00771 0.766 0.168 1231.454 0.01298
0.00246 0.00062 0.05809 0.05814 0.00881 0.767 0.168 1231.484 0.01301
0.00247 0.00062 0.05820 0.05826 0.00991 0.766 0.168 1231.514 0.01303
0.00247 0.00062 0.05831 0.05837 0.01101 0.744 0.166 1231.544 0.01306
0.00248 0.00062 0.05842 0.05848 0.01211 0.892 0.178 1231.574 0.01308
0.00248 0.00062 0.05853 0.05859 0.01321 1.019 0.187 1231.604 0.01311
0.00249 0.00063 0.05864 0.05870 0.01431 0.851 0.175 1231.634 0.01313
0.00249 0.00063 0.05875 0.05881 0.01541 0.956 0.183 1231.664 0.01316
0.00250 0.00063 0.05886 0.05892 0.01652 0.957 0.183 1231.693 0.01318
0.00250 0.00063 0.05898 0.05903 0.01762 0.956 0.183 1231.723 0.01321
0.00250 0.00063 0.05909 0.05914 0.01872 0.852 0.175 1231.753 0.01323
0.00251 0.00063 0.05920 0.05925 0.01982 1.168 0.197 1231.783 0.01325
0.00251 0.00063 0.05931 0.05936 0.02092 1.231 0.201 1231.813 0.01328
0.00252 0.00063 0.05942 0.05948 0.02202 1.148 0.196 1231.843 0.01330
0.00252 0.00063 0.05953 0.05959 0.02312 1.295 0.206 1231.873 0.01333
0.00253 0.00064 0.05964 0.05970 0.02423 0.979 0.185 1231.903 0.01335
0.00253 0.00064 0.05975 0.05981 0.02533 0.958 0.183 1231.932 0.01338
0.00254 0.00064 0.05986 0.05992 0.02643 1.148 0.196 1231.962 0.01340
0.00254 0.00064 0.05997 0.06003 0.02753 0.810 0.171 1231.992 0.01343
0.00255 0.00064 0.06008 0.06014 0.02863 0.895 0.178 1232.022 0.01345
0.00255 0.00064 0.06020 0.06025 0.02973 1.000 0.186 1232.052 0.01348
0.00256 0.00064 0.06031 0.06036 0.03084 1.168 0.198 1232.082 0.01350
0.00256 0.00064 0.06042 0.06047 0.03194 1.168 0.198 1232.112 0.01352
0.00257 0.00065 0.06053 0.06059 0.03304 1.062 0.191 1232.142 0.01355
0.00257 0.00065 0.06064 0.06070 0.03414 0.999 0.186 1232.171 0.01357
0.00258 0.00065 0.06075 0.06081 0.03524 1.020 0.188 1232.201 0.01360
0.00258 0.00065 0.06086 0.06092 0.03635 0.745 0.167 1232.231 0.01362
0.00258 0.00065 0.06097 0.06103 0.03745 0.830 0.174 1232.261 0.01365
0.00259 0.00065 0.06108 0.06114 0.03855 1.147 0.197 1232.291 0.01367
0.00259 0.00065 0.06119 0.06125 0.03965 0.916 0.180 1232.321 0.01370
