x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.03718 0.00974 0.04240 0.05723 0.00000 0.954 0.074 1231.237 0.01281
-0.03725 0.00976 0.04248 0.05734 0.00110 1.142 0.081 1231.267 0.01283
-0.03732 0.00978 0.04256 0.05745 0.00220 0.948 0.074 1231.297 0.01285
-0.03739 0.00980 0.04265 0.05756 0.00330 0.964 0.074 1231.326 0.01288
-0.03746 0.00982 0.04273 0.05767 0.00440 1.009 0.076 1231.356 0.01290
-0.03754 0.00984 0.04281 0.05778 0.00550 1.218 0.083 1231.386 0.01293
-0.03761 0.00986 0.04289 0.05789 0.00661 1.054 0.077 1231.416 0.01295
-0.03768 0.00988 0.04298 0.05800 0.00771 1.098 0.079 1231.446 0.01298
-0.03775 0.00989 0.04306 0.05811 0.00881 0.950 0.074 1231.476 0.01300
-0.03783 0.00991 0.04314 0.05822 0.00991 1.113 0.080 1231.506 0.01303
-0.03790 0.00993 0.04322 0.05834 0.01101 1.107 0.079 1231.536 0.01305
-0.03797 0.00995 0.04330 0.05845 0.01211 1.111 0.079 1231.566 0.01308
-0.03804 0.00997 0.04339 0.05856 0.01321 1.100 0.079 1231.595 0.01310
-0.03811 0.00999 0.04347 0.05867 0.01431 0.986 0.075 1231.625 0.01312
-0.03819 0.01001 0.04355 0.05878 0.01541 1.018 0.076 1231.655 0.01315
-0.03826 0.01003 0.04363 0.05889 0.01652 0.950 0.073 1231.685 0.01317
-0.03833 0.01005 0.04372 0.05900 0.01762 1.034 0.076 1231.715 0.01320
-0.03840 0.01007 0.04380 0.05911 0.01872 0.999 0.075 1231.745 0.01322
-0.03847 0.01008 0.04388 0.05922 0.01982 1.078 0.078 1231.775 0.01325
-0.03855 0.01010 0.04396 0.05933 0.02092 1.037 0.076 1231.805 0.01327
-0.03862 0.01012 0.04404 0.05945 0.02202 0.940 0.073 1231.835 0.01330
-0.03869 0.01014 0.04413 0.05956 0.02312 1.058 0.077 1231.864 0.01332
-0.03876 0.01016 0.04421 0.05967 0.02423 1.091 0.078 1231.894 0.01335
-0.03883 0.01018 0.04429 0.05978 0.02533 0.989 0.075 1231.924 0.01337
-0.03891 0.01020 0.04437 0.05989 0.02643 0.904 0.071 1231.954 0.01340
-0.03898 0.01022 0.04446 0.06000 0.02753 1.179 0.081 1231.984 0.01342
-0.03905 0.01024 0.04454 0.06011 0.02863 0.984 0.074 1232.014 0.01344
-0.03912 0.01025 0.04462 0.06022 0.02973 0.976 0.074 1232.044 0.01347
-0.03920 0.01027 0.04470 0.06033 0.03084 0.986 0.074 1232.074 0.01349
-0.03927 0.01029 0.04478 0.06044 0.03194 1.010 0.075 1232.104 0.01352
-0.03934 0.01031 0.04487 0.06056 0.03304 0.962 0.073 1232.134 0.01354
-0.03941 0.01033 0.04495 0.06067 0.03414 0.933 0.072 1232.163 0.01357
-0.03948 0.01035 0.04503 0.06078 0.03524 0.847 0.069 1232.193 0.01359
-0.03956 0.01037 0.04511 0.06089 0.03635 0.966 0.073 1232.223 0.01362
-0.03963 0.01039 0.04520 0.06100 0.03745 1.037 0.076 1232.253 0.01364
-0.03970 0.01041 0.04528 0.06111 0.03855 1.097 0.078 1232.283 0.01367
-0.03977 0.01042 0.04536 0.06122 0.03965 0.969 0.073 1232.313 0.01369
-0.03985 0.01044 0.04544 0.06133 0.04075 1.066 0.077 1232.343 0.01371
-0.03992 0.01046 0.04553 0.06144 0.04186 0.971 0.074 1232.373 0.01374
-0.03999 0.01048 0.04561 0.06156 0.04296 1.032 0.076 1232.403 0.01376
-0.04006 0.01050 0.04569 0.06167 0.04406 0.838 0.068 1232.432 0.01379
-0.04013 0.01052 0.04577 0.06178 0.04516 0.723 0.063 1232.462 0.01381
-0.04021 0.01054 0.04585 0.06189 0.04627 0.674 0.061 1232.492 0.01384
-0.04028 0.01056 0.04594 0.06200 0.04737 0.754 0.065 1232.522 0.01386
-0.04035 0.01058 0.04602 0.06211 0.04847 0.693 0.062 1232.552 0.01389
-0.04042 0.01059 0.04610 0.06222 0.04957 0.725 0.063 1232.582 0.01391
-0.04049 0.01061 0.04618 0.06233 0.05068 0.758 0.065 1232.612 0.01394
-0.04057 0.01063 0.04627 0.06244 0.05178 0.626 0.062 1232.642 0.01396
-0.04064 0.01065 0.04635 0.06256 0.05288 0.730 0.064 1232.672 0.01399
-0.04071 0.01067 0.04643 0.06267 0.05398 0.768 0.065 1232.701 0.01401
-0.04078 0.01069 0.04651 0.06278 0.05509 0.741 0.067 1232.731 0.01403
-0.04086 0.01071 0.04660 0.06289 0.05619 0.690 0.062 1232.761 0.01406
-0.04093 0.01073 0.04668 0.06300 0.05729 0.833 0.068 1232.791 0.01408
-0.04100 0.01075 0.04676 0.06311 0.05840 0.926 0.071 1232.821 0.01411
-0.04107 0.01076 0.04684 0.06322 0.05950 0.837 0.068 1232.851 0.01413
-0.04114 0.01078 0.04693 0.06333 0.06060 0.792 0.066 1232.881 0.01416
-0.04122 0.01080 0.04701 0.06344 0.06170 0.945 0.072 1232.911 0.01418
-0.04129 0.01082 0.04709 0.06356 0.06281 0.863 0.069 1232.941 0.01421
-0.04136 0.01084 0.04717 0.06367 0.06391 0.901 0.070 1232.970 0.01423
-0.04143 0.01086 0.04725 0.06378 0.06501 1.027 0.075 1233.000 0.01426
-0.04151 0.01088 0.04734 0.06389 0.06612 1.076 0.077 1233.030 0.01428
-0.04158 0.01090 0.04742 0.06400 0.06722 0.872 0.069 1233.060 0.01431
-0.04165 0.01092 0.04750 0.06411 0.06832 1.025 0.075 1233.090 0.01433
-0.04172 0.01094 0.04758 0.06422 0.06943 1.073 0.077 1233.120 0.01435
-0.04179 0.01095 0.04767 0.06433 0.07053 0.984 0.073 1233.150 0.01438
-0.04187 0.01097 0.04775 0.06445 0.07163 0.990 0.074 1233.180 0.01440
-0.04194 0.01099 0.04783 0.06456 0.07274 0.940 0.072 1233.210 0.01443
-0.04201 0.01101 0.04791 0.06467 0.07384 1.065 0.076 1233.240 0.01445
-0.04208 0.01103 0.04800 0.06478 0.07494 0.968 0.073 1233.269 0.01448
-0.04216 0.01105 0.04808 0.06489 0.07605 1.059 0.076 1233.299 0.01450
-0.04223 0.01107 0.04816 0.06500 0.07715 1.043 0.075 1233.329 0.01453
-0.04230 0.01109 0.04824 0.06511 0.07825 1.081 0.077 1233.359 0.01455
-0.04237 0.01111 0.04833 0.06522 0.07936 1.149 0.079 1233.389 0.01458
-0.04245 0.01112 0.04841 0.06534 0.08046 0.913 0.070 1233.419 0.01460
-0.04252 0.01114 0.04849 0.06545 0.08156 0.994 0.074 1233.449 0.01462
-0.04259 0.01116 0.04857 0.06556 0.08267 0.992 0.073 1233.479 0.01465
-0.04266 0.01118 0.04866 0.06567 0.08377 1.028 0.075 1233.509 0.01467
-0.04273 0.01120 0.04874 0.06578 0.08488 0.993 0.073 1233.538 0.01470
-0.04281 0.01122 0.04882 0.06589 0.08598 1.021 0.074 1233.568 0.01472
-0.04288 0.01124 0.04890 0.06600 0.08708 0.956 0.072 1233.598 0.01475
-0.04295 0.01126 0.04899 0.06611 0.08819 1.039 0.075 1233.628 0.01477
-0.04302 0.01128 0.04907 0.06623 0.08929 0.943 0.071 1233.658 0.01480
-0.04310 0.01130 0.04915 0.06634 0.09040 1.063 0.076 1233.688 0.01482
-0.04317 0.01131 0.04923 0.06645 0.09150 0.950 0.072 1233.718 0.01485
-0.04324 0.01133 0.04932 0.06656 0.09260 1.050 0.075 1233.748 0.01487
-0.04331 0.01135 0.04940 0.06667 0.09371 1.055 0.075 1233.778 0.01490
-0.04338 0.01137 0.04948 0.06678 0.09481 1.037 0.075 1233.807 0.01492
-0.04346 0.01139 0.04956 0.06689 0.09592 0.896 0.070 1233.837 0.01494
-0.04353 0.01141 0.04965 0.06700 0.09702 1.111 0.077 1233.867 0.01497
-0.04360 0.01143 0.04973 0.06712 0.09812 1.041 0.075 1233.897 0.01499
-0.04367 0.01145 0.04981 0.06723 0.09923 0.965 0.072 1233.927 0.01502
-0.04375 0.01147 0.04989 0.06734 0.10033 0.888 0.069 1233.957 0.01504
-0.04382 0.01148 0.04998 0.06745 0.10144 0.964 0.072 1233.987 0.01507
-0.04389 0.01150 0.05006 0.06756 0.10254 1.108 0.077 1234.017 0.01509
-0.04396 0.01152 0.05014 0.06767 0.10365 0.859 0.068 1234.047 0.01512
-0.04404 0.01154 0.05022 0.06778 0.10475 0.950 0.071 1234.077 0.01514
-0.04411 0.01156 0.05031 0.06790 0.10586 0.982 0.073 1234.106 0.01517
-0.04418 0.01158 0.05039 0.06801 0.10696 0.998 0.073 1234.136 0.01519
-0.04425 0.01160 0.05047 0.06812 0.10806 0.966 0.072 1234.166 0.01521
-0.04432 0.01162 0.05055 0.06823 0.10917 0.858 0.068 1234.196 0.01524
-0.04440 0.01164 0.05064 0.06834 0.11027 1.023 0.074 1234.226 0.01526
-0.04447 0.01166 0.05072 0.06845 0.11138 0.927 0.070 1234.256 0.01529
