x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.01469 0.03369 0.04386 0.05723 0.00000 1.031 0.156 1231.237 0.01281
0.01472 0.03375 0.04395 0.05734 0.00110 1.173 0.154 1231.267 0.01283
0.01475 0.03382 0.04403 0.05745 0.00220 1.220 0.157 1231.297 0.01285
0.01477 0.03388 0.04412 0.05756 0.00330 1.186 0.165 1231.326 0.01288
0.01480 0.03395 0.04420 0.05767 0.00440 0.969 0.152 1231.356 0.01290
0.01483 0.03401 0.04429 0.05778 0.00550 1.170 0.164 1231.386 0.01293
0.01486 0.03408 0.04438 0.05789 0.00661 0.874 0.146 1231.416 0.01295
0.01489 0.03415 0.04446 0.05800 0.00771 1.059 0.147 1231.446 0.01298
0.01492 0.03421 0.04455 0.05811 0.00881 0.982 0.153 1231.476 0.01300
0.01494 0.03428 0.04463 0.05822 0.00991 0.889 0.147 1231.506 0.01303
0.01497 0.03434 0.04472 0.05834 0.01101 0.949 0.150 1231.536 0.01305
0.01500 0.03441 0.04480 0.05845 0.01211 0.980 0.152 1231.566 0.01308
0.01503 0.03447 0.04489 0.05856 0.01321 1.087 0.158 1231.595 0.01310
0.01506 0.03454 0.04497 0.05867 0.01431 0.931 0.149 1231.625 0.01312
0.01509 0.03460 0.04506 0.05878 0.01541 0.853 0.144 1231.655 0.01315
0.01512 0.03467 0.04514 0.05889 0.01652 1.129 0.161 1231.685 0.01317
0.01514 0.03473 0.04523 0.05900 0.01762 1.207 0.155 1231.715 0.01320
0.01517 0.03480 0.04531 0.05911 0.01872 1.008 0.153 1231.745 0.01322
0.01520 0.03486 0.04540 0.05922 0.01982 0.885 0.145 1231.775 0.01325
0.01523 0.03493 0.04548 0.05933 0.02092 0.943 0.149 1231.805 0.01327
0.01526 0.03499 0.04557 0.05945 0.02202 1.018 0.154 1231.835 0.01330
0.01529 0.03506 0.04565 0.05956 0.02312 0.957 0.150 1231.864 0.01332
0.01532 0.03513 0.04574 0.05967 0.02423 1.168 0.152 1231.894 0.01335
0.01534 0.03519 0.04582 0.05978 0.02533 0.729 0.135 1231.924 0.01337
0.01537 0.03526 0.04591 0.05989 0.02643 1.186 0.163 1231.954 0.01340
0.01540 0.03532 0.04599 0.06000 0.02753 1.063 0.156 1231.984 0.01342
0.01543 0.03539 0.04608 0.06011 0.02863 1.259 0.147 1232.014 0.01344
0.01546 0.03545 0.04616 0.06022 0.02973 1.076 0.156 1232.044 0.01347
0.01549 0.03552 0.04625 0.06033 0.03084 1.061 0.155 1232.074 0.01349
0.01551 0.03558 0.04633 0.06044 0.03194 1.138 0.160 1232.104 0.01352
0.01554 0.03565 0.04642 0.06056 0.03304 0.985 0.151 1232.134 0.01354
0.01557 0.03571 0.04650 0.06067 0.03414 0.758 0.136 1232.163 0.01357
0.01560 0.03578 0.04659 0.06078 0.03524 0.833 0.141 1232.193 0.01359
0.01563 0.03584 0.04667 0.06089 0.03635 1.045 0.154 1232.223 0.01362
0.01566 0.03591 0.04676 0.06100 0.03745 0.894 0.145 1232.253 0.01364
0.01569 0.03598 0.04684 0.06111 0.03855 0.801 0.139 1232.283 0.01367
0.01571 0.03604 0.04693 0.06122 0.03965 1.118 0.148 1232.313 0.01369
0.01574 0.03611 0.04701 0.06133 0.04075 0.953 0.148 1232.343 0.01371
0.01577 0.03617 0.04710 0.06144 0.04186 1.040 0.154 1232.373 0.01374
0.01580 0.03624 0.04718 0.06156 0.04296 1.071 0.155 1232.403 0.01376
0.01583 0.03630 0.04727 0.06167 0.04406 0.860 0.142 1232.432 0.01379
0.01586 0.03637 0.04735 0.06178 0.04516 0.889 0.144 1232.462 0.01381
0.01589 0.03643 0.04744 0.06189 0.04627 1.007 0.151 1232.492 0.01384
0.01591 0.03650 0.04752 0.06200 0.04737 0.975 0.149 1232.522 0.01386
0.01594 0.03656 0.04761 0.06211 0.04847 1.169 0.160 1232.552 0.01389
0.01597 0.03663 0.04769 0.06222 0.04957 0.899 0.144 1232.582 0.01391
0.01600 0.03670 0.04778 0.06233 0.05068 0.944 0.147 1232.612 0.01394
0.01603 0.03676 0.04787 0.06244 0.05178 0.914 0.145 1232.642 0.01396
0.01606 0.03683 0.04795 0.06256 0.05288 1.062 0.154 1232.672 0.01399
0.01608 0.03689 0.04804 0.06267 0.05398 0.943 0.147 1232.701 0.01401
0.01611 0.03696 0.04812 0.06278 0.05509 0.954 0.148 1232.731 0.01403
0.01614 0.03702 0.04821 0.06289 0.05619 1.027 0.152 1232.761 0.01406
0.01617 0.03709 0.04829 0.06300 0.05729 1.176 0.160 1232.791 0.01408
0.01620 0.03715 0.04838 0.06311 0.05840 1.042 0.153 1232.821 0.01411
0.01623 0.03722 0.04846 0.06322 0.05950 1.159 0.159 1232.851 0.01413
0.01626 0.03728 0.04855 0.06333 0.06060 1.088 0.154 1232.881 0.01416
0.01628 0.03735 0.04863 0.06344 0.06170 1.183 0.140 1232.911 0.01418
0.01631 0.03742 0.04872 0.06356 0.06281 1.101 0.155 1232.941 0.01421
0.01634 0.03748 0.04880 0.06367 0.06391 1.018 0.141 1232.970 0.01423
0.01637 0.03755 0.04889 0.06378 0.06501 0.911 0.144 1233.000 0.01426
0.01640 0.03761 0.04897 0.06389 0.06612 0.783 0.135 1233.030 0.01428
0.01643 0.03768 0.04906 0.06400 0.06722 1.029 0.151 1233.060 0.01431
0.01646 0.03774 0.04914 0.06411 0.06832 1.015 0.139 1233.090 0.01433
0.01648 0.03781 0.04923 0.06422 0.06943 1.144 0.147 1233.120 0.01435
0.01651 0.03787 0.04931 0.06433 0.07053 1.023 0.150 1233.150 0.01438
0.01654 0.03794 0.04940 0.06445 0.07163 0.932 0.145 1233.180 0.01440
0.01657 0.03800 0.04948 0.06456 0.07274 1.077 0.143 1233.210 0.01443
0.01660 0.03807 0.04957 0.06467 0.07384 1.040 0.151 1233.240 0.01445
0.01663 0.03814 0.04965 0.06478 0.07494 0.783 0.135 1233.269 0.01448
0.01666 0.03820 0.04974 0.06489 0.07605 1.005 0.149 1233.299 0.01450
0.01668 0.03827 0.04983 0.06500 0.07715 0.808 0.136 1233.329 0.01453
0.01671 0.03833 0.04991 0.06511 0.07825 0.964 0.147 1233.359 0.01455
0.01674 0.03840 0.05000 0.06522 0.07936 0.989 0.148 1233.389 0.01458
0.01677 0.03846 0.05008 0.06534 0.08046 0.748 0.133 1233.419 0.01460
0.01680 0.03853 0.05017 0.06545 0.08156 0.869 0.141 1233.449 0.01462
0.01683 0.03859 0.05025 0.06556 0.08267 0.985 0.148 1233.479 0.01465
0.01686 0.03866 0.05034 0.06567 0.08377 1.058 0.152 1233.509 0.01467
0.01688 0.03872 0.05042 0.06578 0.08488 0.912 0.143 1233.538 0.01470
0.01691 0.03879 0.05051 0.06589 0.08598 0.897 0.142 1233.568 0.01472
0.01694 0.03886 0.05059 0.06600 0.08708 1.000 0.149 1233.598 0.01475
0.01697 0.03892 0.05068 0.06611 0.08819 1.028 0.150 1233.628 0.01477
0.01700 0.03899 0.05076 0.06623 0.08929 0.997 0.149 1233.658 0.01480
0.01703 0.03905 0.05085 0.06634 0.09040 1.172 0.147 1233.688 0.01482
0.01706 0.03912 0.05093 0.06645 0.09150 0.863 0.140 1233.718 0.01485
0.01708 0.03918 0.05102 0.06656 0.09260 1.127 0.156 1233.748 0.01487
0.01711 0.03925 0.05110 0.06667 0.09371 0.964 0.146 1233.778 0.01490
0.01714 0.03931 0.05119 0.06678 0.09481 0.979 0.147 1233.807 0.01492
0.01717 0.03938 0.05128 0.06689 0.09592 1.081 0.153 1233.837 0.01494
0.01720 0.03945 0.05136 0.06700 0.09702 0.947 0.145 1233.867 0.01497
0.01723 0.03951 0.05145 0.06712 0.09812 0.990 0.148 1233.897 0.01499
0.01726 0.03958 0.05153 0.06723 0.09923 0.886 0.141 1233.927 0.01502
0.01728 0.03964 0.05162 0.06734 0.10033 1.021 0.149 1233.957 0.01504
0.01731 0.03971 0.05170 0.06745 0.10144 0.888 0.142 1233.987 0.01507
0.01734 0.03977 0.05179 0.06756 0.10254 1.136 0.156 1234.017 0.01509
0.01737 0.03984 0.05187 0.06767 0.10365 1.032 0.150 1234.047 0.01512
0.01740 0.03990 0.05196 0.06778 0.10475 0.799 0.136 1234.077 0.01514
0.01743 0.03997 0.05204 0.06790 0.10586 0.885 0.141 1234.106 0.01517
0.01746 0.04003 0.05213 0.06801 0.10696 0.753 0.132 1234.136 0.01519
0.01748 0.04010 0.05221 0.06812 0.10806 0.871 0.140 1234.166 0.01521
0.01751 0.04017 0.05230 0.06823 0.10917 0.856 0.139 1234.196 0.01524
0.01754 0.04023 0.05238 0.06834 0.11027 1.134 0.155 1234.226 0.01526
0.01757 0.04030 0.05247 0.06845 0.11138 0.827 0.137 1234.256 0.01529
0.01760 0.04036 0.05256 0.06856 0.11248 0.783 0.134 1234.286 0.01531
0.01763 0.04043 0.05264 0.06867 0.11359 0.826 0.137 1234.316 0.01534
0.01766 0.04049 0.05273 0.06879 0.11469 0.929 0.143 1234.346 0.01536
0.01768 0.04056 0.05281 0.06890 0.11580 1.088 0.153 1234.375 0.01539
0.01771 0.04062 0.05290 0.06901 0.11690 0.856 0.139 1234.405 0.01541
0.01774 0.04069 0.05298 0.06912 0.11801 1.028 0.139 1234.435 0.01544
0.01777 0.04076 0.05307 0.06923 0.11911 1.057 0.151 1234.465 0.01546
0.01780 0.04082 0.05315 0.06934 0.12022 1.043 0.150 1234.495 0.01549
0.01783 0.04089 0.05324 0.06945 0.12132 1.201 0.159 1234.525 0.01551
0.01786 0.04095 0.05332 0.06957 0.12243 0.839 0.138 1234.555 0.01553
0.01788 0.04102 0.05341 0.06968 0.12353 0.926 0.143 1234.585 0.01556
0.01791 0.04108 0.05349 0.06979 0.12464 0.855 0.138 1234.615 0.01558
0.01794 0.04115 0.05358 0.06990 0.12574 0.997 0.147 1234.644 0.01561
0.01797 0.04122 0.05367 0.07001 0.12685 1.084 0.152 1234.674 0.01563
0.01800 0.04128 0.05375 0.07012 0.12796 1.199 0.149 1234.704 0.01566
0.01803 0.04135 0.05384 0.07023 0.12906 0.982 0.146 1234.734 0.01568
0.01806 0.04141 0.05392 0.07035 0.13017 0.781 0.133 1234.764 0.01571
0.01808 0.04148 0.05401 0.07046 0.13127 0.824 0.136 1234.794 0.01573
0.01811 0.04154 0.05409 0.07057 0.13238 1.100 0.143 1234.824 0.01576
0.01814 0.04161 0.05418 0.07068 0.13348 0.942 0.143 1234.854 0.01578
0.01817 0.04167 0.05426 0.07079 0.13459 1.040 0.140 1234.884 0.01580
0.01820 0.04174 0.05435 0.07090 0.13569 0.953 0.144 1234.913 0.01583
0.01823 0.04181 0.05443 0.07101 0.13680 0.894 0.140 1234.943 0.01585
0.01826 0.04187 0.05452 0.07113 0.13791 1.027 0.148 1234.973 0.01588
0.01828 0.04194 0.05461 0.07124 0.13901 0.967 0.144 1235.003 0.01590
0.01831 0.04200 0.05469 0.07135 0.14012 1.126 0.144 1235.033 0.01593
0.01834 0.04207 0.05478 0.07146 0.14122 1.096 0.143 1235.063 0.01595
0.01837 0.04213 0.05486 0.07157 0.14233 0.821 0.136 1235.093 0.01598
0.01840 0.04220 0.05495 0.07168 0.14343 1.066 0.150 1235.123 0.01600
0.01843 0.04226 0.05503 0.07179 0.14454 1.005 0.147 1235.153 0.01603
0.01846 0.04233 0.05512 0.07191 0.14565 0.903 0.141 1235.183 0.01605
0.01848 0.04240 0.05520 0.07202 0.14675 1.019 0.148 1235.212 0.01608
0.01851 0.04246 0.05529 0.07213 0.14786 0.915 0.141 1235.242 0.01610
0.01854 0.04253 0.05537 0.07224 0.14897 0.902 0.141 1235.272 0.01612
0.01857 0.04259 0.05546 0.07235 0.15007 1.247 0.151 1235.302 0.01615
0.01860 0.04266 0.05554 0.07246 0.15118 1.261 0.152 1235.332 0.01617
0.01863 0.04272 0.05563 0.07257 0.15228 0.999 0.147 1235.362 0.01620
0.01866 0.04279 0.05572 0.07269 0.15339 0.830 0.136 1235.392 0.01622
0.01869 0.04286 0.05580 0.07280 0.15450 0.873 0.139 1235.422 0.01625
0.01871 0.04292 0.05589 0.07291 0.15560 1.114 0.153 1235.452 0.01627
0.01874 0.04299 0.05597 0.07302 0.15671 1.372 0.148 1235.481 0.01630
0.01877 0.04305 0.05606 0.07313 0.15782 0.914 0.141 1235.511 0.01632
0.01880 0.04312 0.05614 0.07324 0.15892 0.956 0.144 1235.541 0.01635
0.01883 0.04318 0.05623 0.07336 0.16003 0.927 0.142 1235.571 0.01637
0.01886 0.04325 0.05631 0.07347 0.16114 1.044 0.149 1235.601 0.01640
0.01889 0.04332 0.05640 0.07358 0.16224 0.862 0.138 1235.631 0.01642
0.01891 0.04338 0.05649 0.07369 0.16335 1.086 0.151 1235.661 0.01644
0.01894 0.04345 0.05657 0.07380 0.16446 0.932 0.142 1235.691 0.01647
0.01897 0.04351 0.05666 0.07391 0.16556 1.174 0.147 1235.721 0.01649
0.01900 0.04358 0.05674 0.07402 0.16667 0.867 0.136 1235.750 0.01652
0.01903 0.04364 0.05683 0.07414 0.16778 1.035 0.138 1235.780 0.01654
0.01906 0.04371 0.05691 0.07425 0.16888 0.953 0.142 1235.810 0.01657
0.01909 0.04377 0.05700 0.07436 0.16999 1.010 0.137 1235.840 0.01659
0.01911 0.04384 0.05708 0.07447 0.17110 1.147 0.143 1235.870 0.01662
0.01914 0.04391 0.05717 0.07458 0.17220 0.832 0.135 1235.900 0.01664
0.01917 0.04397 0.05726 0.07469 0.17331 0.891 0.139 1235.930 0.01667
0.01920 0.04404 0.05734 0.07481 0.17442 1.136 0.153 1235.960 0.01669
