x y z dist_scaled dist_frac flux_norm
-0.12711 0.02974 0.48533 0.50258 0.00000 1.059
-0.12730 0.02979 0.48605 0.50333 0.00188 1.054
-0.12749 0.02983 0.48677 0.50407 0.00375 1.006
-0.12767 0.02988 0.48749 0.50481 0.00563 0.981
-0.12786 0.02992 0.48821 0.50556 0.00751 0.718
-0.12805 0.02996 0.48892 0.50630 0.00938 0.896
-0.12824 0.03001 0.48964 0.50705 0.01126 1.330
-0.12843 0.03005 0.49036 0.50779 0.01313 0.702
-0.12861 0.03010 0.49108 0.50853 0.01501 1.057
-0.12880 0.03014 0.49180 0.50928 0.01689 0.758
-0.12899 0.03018 0.49252 0.51002 0.01876 0.790
-0.12918 0.03023 0.49323 0.51077 0.02064 0.627
-0.12937 0.03027 0.49395 0.51151 0.02252 0.539
-0.12956 0.03032 0.49467 0.51225 0.02440 0.405
-0.12974 0.03036 0.49539 0.51300 0.02627 1.006
-0.12993 0.03040 0.49611 0.51374 0.02815 0.938
-0.13012 0.03045 0.49683 0.51449 0.03003 0.872
-0.13031 0.03049 0.49755 0.51523 0.03190 0.805
-0.13050 0.03054 0.49826 0.51597 0.03378 0.535
-0.13068 0.03058 0.49898 0.51672 0.03566 1.070
-0.13087 0.03062 0.49970 0.51746 0.03754 1.072
-0.13106 0.03067 0.50042 0.51821 0.03941 0.734
-0.13125 0.03071 0.50114 0.51895 0.04129 1.608
-0.13144 0.03076 0.50186 0.51970 0.04317 0.604
-0.13163 0.03080 0.50258 0.52044 0.04505 1.010
-0.13181 0.03084 0.50330 0.52118 0.04692 0.875
-0.13200 0.03089 0.50401 0.52193 0.04880 0.942
-0.13219 0.03093 0.50473 0.52267 0.05068 0.942
-0.13238 0.03098 0.50545 0.52342 0.05256 1.076
-0.13257 0.03102 0.50617 0.52416 0.05444 1.075
-0.13276 0.03106 0.50689 0.52491 0.05631 1.410
-0.13294 0.03111 0.50761 0.52565 0.05819 1.411
-0.13313 0.03115 0.50833 0.52640 0.06007 1.138
-0.13332 0.03120 0.50905 0.52714 0.06195 1.337
-0.13351 0.03124 0.50977 0.52788 0.06383 0.797
-0.13370 0.03128 0.51049 0.52863 0.06571 1.203
-0.13389 0.03133 0.51120 0.52937 0.06758 1.274
-0.13407 0.03137 0.51192 0.53012 0.06946 0.747
-0.13426 0.03142 0.51264 0.53086 0.07134 1.074
-0.13445 0.03146 0.51336 0.53161 0.07322 0.824
-0.13464 0.03150 0.51408 0.53235 0.07510 0.624
-0.13483 0.03155 0.51480 0.53310 0.07698 0.876
-0.13502 0.03159 0.51552 0.53384 0.07886 0.925
-0.13520 0.03164 0.51624 0.53459 0.08074 0.725
-0.13539 0.03168 0.51696 0.53533 0.08261 1.532
-0.13558 0.03173 0.51768 0.53608 0.08449 1.132
-0.13577 0.03177 0.51840 0.53682 0.08637 0.881
-0.13596 0.03181 0.51912 0.53757 0.08825 1.034
-0.13615 0.03186 0.51984 0.53831 0.09013 1.147
-0.13633 0.03190 0.52056 0.53906 0.09201 0.640
-0.13652 0.03195 0.52127 0.53980 0.09389 1.150
-0.13671 0.03199 0.52199 0.54055 0.09577 0.990
-0.13690 0.03203 0.52271 0.54129 0.09765 1.025
-0.13709 0.03208 0.52343 0.54204 0.09953 1.262
-0.13728 0.03212 0.52415 0.54278 0.10141 0.865
-0.13746 0.03217 0.52487 0.54353 0.10329 1.575
-0.13765 0.03221 0.52559 0.54427 0.10517 0.753
-0.13784 0.03225 0.52631 0.54502 0.10705 0.793
-0.13803 0.03230 0.52703 0.54576 0.10893 1.024
-0.13822 0.03234 0.52775 0.54651 0.11081 1.009
-0.13841 0.03239 0.52847 0.54725 0.11269 1.211
-0.13860 0.03243 0.52919 0.54800 0.11457 1.019
-0.13878 0.03248 0.52991 0.54874 0.11645 1.233
-0.13897 0.03252 0.53063 0.54949 0.11833 1.293
-0.13916 0.03256 0.53135 0.55024 0.12021 1.073
-0.13935 0.03261 0.53207 0.55098 0.12209 0.956
-0.13954 0.03265 0.53279 0.55173 0.12397 0.840
-0.13973 0.03270 0.53351 0.55247 0.12585 1.097
-0.13992 0.03274 0.53423 0.55322 0.12773 0.841
-0.14010 0.03278 0.53495 0.55396 0.12961 0.996
-0.14029 0.03283 0.53567 0.55471 0.13149 0.946
-0.14048 0.03287 0.53639 0.55545 0.13338 0.845
-0.14067 0.03292 0.53711 0.55620 0.13526 1.152
-0.14086 0.03296 0.53783 0.55695 0.13714 1.051
-0.14105 0.03300 0.53855 0.55769 0.13902 1.154
-0.14124 0.03305 0.53927 0.55844 0.14090 1.154
-0.14142 0.03309 0.53999 0.55918 0.14278 0.901
-0.14161 0.03314 0.54071 0.55993 0.14466 0.851
-0.14180 0.03318 0.54143 0.56067 0.14654 1.156
-0.14199 0.03323 0.54215 0.56142 0.14843 0.852
-0.14218 0.03327 0.54287 0.56217 0.15031 0.901
-0.14237 0.03331 0.54359 0.56291 0.15219 0.850
-0.14256 0.03336 0.54431 0.56366 0.15407 0.593
-0.14274 0.03340 0.54503 0.56440 0.15595 0.390
-0.14293 0.03345 0.54575 0.56515 0.15783 0.749
