x y z dist_scaled dist_frac flux_norm
-0.06386 0.04089 0.49683 0.50258 0.00000 17.564
-0.06396 0.04095 0.49756 0.50333 0.00188 17.981
-0.06405 0.04102 0.49830 0.50407 0.00375 19.172
-0.06415 0.04108 0.49903 0.50481 0.00563 -11.696
-0.06424 0.04114 0.49977 0.50556 0.00751 61.355
-0.06434 0.04120 0.50050 0.50630 0.00938 -16.704
-0.06443 0.04126 0.50124 0.50705 0.01126 -19.706
-0.06453 0.04132 0.50198 0.50779 0.01313 129.051
-0.06462 0.04138 0.50271 0.50853 0.01501 -40.933
-0.06471 0.04144 0.50345 0.50928 0.01689 -74.772
-0.06481 0.04150 0.50418 0.51002 0.01876 -9976.479
-0.06490 0.04156 0.50492 0.51077 0.02064 69.028
-0.06500 0.04162 0.50565 0.51151 0.02252 36.625
-0.06509 0.04168 0.50639 0.51225 0.02440 -59.143
-0.06519 0.04174 0.50712 0.51300 0.02627 20.646
-0.06528 0.04180 0.50786 0.51374 0.02815 -31.456
-0.06538 0.04186 0.50859 0.51449 0.03003 15.499
-0.06547 0.04192 0.50933 0.51523 0.03190 11.988
-0.06557 0.04198 0.51007 0.51597 0.03378 42.101
-0.06566 0.04204 0.51080 0.51672 0.03566 37.210
-0.06575 0.04211 0.51154 0.51746 0.03754 -43.774
-0.06585 0.04217 0.51227 0.51821 0.03941 -18.425
-0.06594 0.04223 0.51301 0.51895 0.04129 4.113
-0.06604 0.04229 0.51374 0.51970 0.04317 -16.862
-0.06613 0.04235 0.51448 0.52044 0.04505 2.468
-0.06623 0.04241 0.51522 0.52118 0.04692 -15.416
-0.06632 0.04247 0.51595 0.52193 0.04880 17.870
-0.06642 0.04253 0.51669 0.52267 0.05068 1.079
-0.06651 0.04259 0.51742 0.52342 0.05256 16.289
-0.06661 0.04265 0.51816 0.52416 0.05444 15.801
-0.06670 0.04271 0.51890 0.52491 0.05631 -11.292
-0.06680 0.04277 0.51963 0.52565 0.05819 1.877
-0.06689 0.04283 0.52037 0.52640 0.06007 -47.558
-0.06698 0.04289 0.52110 0.52714 0.06195 -10.161
-0.06708 0.04295 0.52184 0.52788 0.06383 13.043
-0.06717 0.04301 0.52258 0.52863 0.06571 1.415
-0.06727 0.04307 0.52331 0.52937 0.06758 -9.291
-0.06736 0.04313 0.52405 0.53012 0.06946 -8.535
-0.06746 0.04320 0.52479 0.53086 0.07134 2.372
-0.06755 0.04326 0.52552 0.53161 0.07322 2.361
-0.06765 0.04332 0.52626 0.53235 0.07510 2.474
-0.06774 0.04338 0.52699 0.53310 0.07698 11.531
-0.06784 0.04344 0.52773 0.53384 0.07886 -6.876
-0.06793 0.04350 0.52847 0.53459 0.08074 1.477
-0.06803 0.04356 0.52920 0.53533 0.08261 -7.027
-0.06812 0.04362 0.52994 0.53608 0.08449 9.675
-0.06822 0.04368 0.53068 0.53682 0.08637 1.586
-0.06831 0.04374 0.53141 0.53757 0.08825 1.255
-0.06840 0.04380 0.53215 0.53831 0.09013 1.039
-0.06850 0.04386 0.53289 0.53906 0.09201 8.590
-0.06859 0.04392 0.53362 0.53980 0.09389 -6.463
-0.06869 0.04398 0.53436 0.54055 0.09577 8.718
-0.06878 0.04404 0.53509 0.54129 0.09765 1.615
-0.06888 0.04410 0.53583 0.54204 0.09953 -12.803
-0.06897 0.04417 0.53657 0.54278 0.10141 1.704
-0.06907 0.04423 0.53730 0.54353 0.10329 1.677
-0.06916 0.04429 0.53804 0.54427 0.10517 8.621
-0.06926 0.04435 0.53878 0.54502 0.10705 1.785
-0.06935 0.04441 0.53951 0.54576 0.10893 8.302
-0.06945 0.04447 0.54025 0.54651 0.11081 8.185
-0.06954 0.04453 0.54099 0.54725 0.11269 1.900
-0.06964 0.04459 0.54173 0.54800 0.11457 1.650
-0.06973 0.04465 0.54246 0.54874 0.11645 -4.867
-0.06982 0.04471 0.54320 0.54949 0.11833 1.361
-0.06992 0.04477 0.54394 0.55024 0.12021 -5.093
-0.07001 0.04483 0.54467 0.55098 0.12209 -29.113
-0.07011 0.04489 0.54541 0.55173 0.12397 -4.703
-0.07020 0.04495 0.54615 0.55247 0.12585 7.416
-0.07030 0.04501 0.54688 0.55322 0.12773 -4.108
-0.07039 0.04508 0.54762 0.55396 0.12961 1.681
-0.07049 0.04514 0.54836 0.55471 0.13149 7.259
-0.07058 0.04520 0.54909 0.55545 0.13338 -15.741
-0.07068 0.04526 0.54983 0.55620 0.13526 -4.464
-0.07077 0.04532 0.55057 0.55695 0.13714 0.964
-0.07087 0.04538 0.55131 0.55769 0.13902 6.526
-0.07096 0.04544 0.55204 0.55844 0.14090 6.324
-0.07106 0.04550 0.55278 0.55918 0.14278 0.973
-0.07115 0.04556 0.55352 0.55993 0.14466 0.993
-0.07125 0.04562 0.55426 0.56067 0.14654 1.106
-0.07134 0.04568 0.55499 0.56142 0.14843 -4.119
-0.07144 0.04574 0.55573 0.56217 0.15031 -4.037
-0.07153 0.04580 0.55647 0.56291 0.15219 0.979
-0.07163 0.04586 0.55720 0.56366 0.15407 -9.325
-0.07172 0.04592 0.55794 0.56440 0.15595 -4.389
-0.07181 0.04599 0.55868 0.56515 0.15783 5.879
-0.07191 0.04605 0.55942 0.56590 0.15972 0.366
-0.07200 0.04611 0.56015 0.56664 0.16160 5.478
-0.07210 0.04617 0.56089 0.56739 0.16348 0.473
-0.07219 0.04623 0.56163 0.56813 0.16536 0.435
-0.07229 0.04629 0.56237 0.56888 0.16724 0.356
-0.07238 0.04635 0.56310 0.56963 0.16913 -0.566
-0.07248 0.04641 0.56384 0.57037 0.17101 0.548
-0.07257 0.04647 0.56458 0.57112 0.17289 -5.316
-0.07267 0.04653 0.56532 0.57186 0.17477 5.591
-0.07276 0.04659 0.56605 0.57261 0.17665 5.420
-0.07286 0.04665 0.56679 0.57336 0.17854 5.444
-0.07295 0.04671 0.56753 0.57410 0.18042 5.588
-0.07305 0.04677 0.56827 0.57485 0.18230 0.250
-0.07314 0.04684 0.56901 0.57560 0.18419 -3.513
-0.07324 0.04690 0.56974 0.57634 0.18607 5.687
-0.07333 0.04696 0.57048 0.57709 0.18795 -3.980
-0.07343 0.04702 0.57122 0.57784 0.18983 -4.972
-0.07352 0.04708 0.57196 0.57858 0.19172 -0.157
-0.07362 0.04714 0.57270 0.57933 0.19360 -0.053
-0.07371 0.04720 0.57343 0.58007 0.19548 0.774
-0.07381 0.04726 0.57417 0.58082 0.19737 0.917
-0.07390 0.04732 0.57491 0.58157 0.19925 -3.535
-0.07400 0.04738 0.57565 0.58231 0.20113 1.117
-0.07409 0.04744 0.57639 0.58306 0.20302 5.740
-0.07419 0.04750 0.57712 0.58381 0.20490 1.132
-0.07428 0.04756 0.57786 0.58455 0.20678 1.246
-0.07438 0.04763 0.57860 0.58530 0.20867 5.816
-0.07447 0.04769 0.57934 0.58605 0.21055 0.889
-0.07457 0.04775 0.58008 0.58679 0.21243 -8.371
-0.07466 0.04781 0.58081 0.58754 0.21432 5.488
-0.07475 0.04787 0.58155 0.58829 0.21620 0.946
-0.07485 0.04793 0.58229 0.58904 0.21809 -3.433
-0.07494 0.04799 0.58303 0.58978 0.21997 -7.679
-0.07504 0.04805 0.58377 0.59053 0.22185 1.428
