x y z dist_scaled dist_frac flux_norm
-0.08072 0.03421 0.49447 0.50218 0.00000 0.946
-0.08084 0.03426 0.49520 0.50292 0.00188 1.202
-0.08096 0.03431 0.49593 0.50367 0.00375 1.090
-0.08108 0.03436 0.49666 0.50441 0.00563 1.098
-0.08120 0.03441 0.49740 0.50515 0.00750 0.978
-0.08132 0.03446 0.49813 0.50590 0.00938 0.954
-0.08144 0.03451 0.49886 0.50664 0.01126 1.058
-0.08156 0.03456 0.49960 0.50739 0.01313 1.082
-0.08168 0.03461 0.50033 0.50813 0.01501 0.921
-0.08180 0.03466 0.50106 0.50888 0.01689 1.098
-0.08191 0.03471 0.50179 0.50962 0.01876 0.865
-0.08203 0.03476 0.50253 0.51036 0.02064 1.034
-0.08215 0.03482 0.50326 0.51111 0.02252 1.042
-0.08227 0.03487 0.50399 0.51185 0.02440 0.978
-0.08239 0.03492 0.50473 0.51260 0.02627 1.058
-0.08251 0.03497 0.50546 0.51334 0.02815 0.857
-0.08263 0.03502 0.50619 0.51409 0.03003 1.003
-0.08275 0.03507 0.50692 0.51483 0.03190 1.027
-0.08287 0.03512 0.50766 0.51558 0.03378 1.075
-0.08299 0.03517 0.50839 0.51632 0.03566 1.004
-0.08311 0.03522 0.50912 0.51706 0.03754 1.117
-0.08323 0.03527 0.50986 0.51781 0.03941 1.084
-0.08335 0.03532 0.51059 0.51855 0.04129 1.149
-0.08347 0.03537 0.51132 0.51930 0.04317 0.868
-0.08359 0.03542 0.51206 0.52004 0.04505 1.009
-0.08371 0.03547 0.51279 0.52079 0.04692 0.947
-0.08383 0.03553 0.51352 0.52153 0.04880 0.981
-0.08395 0.03558 0.51426 0.52228 0.05068 0.980
-0.08407 0.03563 0.51499 0.52302 0.05256 1.114
-0.08419 0.03568 0.51572 0.52377 0.05444 0.964
-0.08431 0.03573 0.51646 0.52451 0.05631 0.854
-0.08443 0.03578 0.51719 0.52526 0.05819 0.974
-0.08455 0.03583 0.51792 0.52600 0.06007 0.993
-0.08467 0.03588 0.51866 0.52675 0.06195 0.856
-0.08479 0.03593 0.51939 0.52749 0.06383 1.021
-0.08491 0.03598 0.52012 0.52824 0.06571 0.881
-0.08503 0.03603 0.52086 0.52898 0.06758 0.919
-0.08515 0.03608 0.52159 0.52973 0.06946 1.063
-0.08527 0.03613 0.52233 0.53047 0.07134 0.927
-0.08539 0.03619 0.52306 0.53122 0.07322 0.746
-0.08551 0.03624 0.52379 0.53196 0.07510 0.963
-0.08563 0.03629 0.52453 0.53271 0.07698 1.027
-0.08575 0.03634 0.52526 0.53345 0.07886 1.017
-0.08587 0.03639 0.52599 0.53420 0.08074 0.993
-0.08599 0.03644 0.52673 0.53494 0.08261 1.024
-0.08610 0.03649 0.52746 0.53569 0.08449 0.960
-0.08622 0.03654 0.52819 0.53643 0.08637 0.960
-0.08634 0.03659 0.52893 0.53718 0.08825 0.765
-0.08646 0.03664 0.52966 0.53792 0.09013 0.945
-0.08658 0.03669 0.53040 0.53867 0.09201 0.999
-0.08670 0.03674 0.53113 0.53941 0.09389 0.989
-0.08682 0.03679 0.53186 0.54016 0.09577 0.907
-0.08694 0.03685 0.53260 0.54090 0.09765 0.829
-0.08706 0.03690 0.53333 0.54165 0.09953 0.793
-0.08718 0.03695 0.53407 0.54240 0.10141 0.942
-0.08730 0.03700 0.53480 0.54314 0.10329 1.040
-0.08742 0.03705 0.53553 0.54389 0.10517 0.842
-0.08754 0.03710 0.53627 0.54463 0.10705 0.819
-0.08766 0.03715 0.53700 0.54538 0.10893 1.081
-0.08778 0.03720 0.53774 0.54612 0.11081 0.988
-0.08790 0.03725 0.53847 0.54687 0.11269 0.895
-0.08802 0.03730 0.53921 0.54761 0.11457 1.037
-0.08814 0.03735 0.53994 0.54836 0.11645 0.873
-0.08826 0.03740 0.54067 0.54911 0.11833 0.810
-0.08838 0.03745 0.54141 0.54985 0.12021 1.010
-0.08850 0.03751 0.54214 0.55060 0.12209 0.956
-0.08862 0.03756 0.54288 0.55134 0.12397 0.883
-0.08874 0.03761 0.54361 0.55209 0.12585 0.977
-0.08886 0.03766 0.54435 0.55284 0.12773 0.741
-0.08898 0.03771 0.54508 0.55358 0.12961 0.863
-0.08910 0.03776 0.54581 0.55433 0.13149 0.928
-0.08922 0.03781 0.54655 0.55507 0.13337 1.018
-0.08934 0.03786 0.54728 0.55582 0.13526 0.970
-0.08946 0.03791 0.54802 0.55656 0.13714 1.060
-0.08958 0.03796 0.54875 0.55731 0.13902 0.955
-0.08970 0.03801 0.54949 0.55806 0.14090 0.906
-0.08982 0.03806 0.55022 0.55880 0.14278 0.940
-0.08994 0.03812 0.55096 0.55955 0.14466 1.124
-0.09006 0.03817 0.55169 0.56030 0.14654 0.848
-0.09018 0.03822 0.55243 0.56104 0.14842 0.887
-0.09030 0.03827 0.55316 0.56179 0.15031 0.937
-0.09042 0.03832 0.55390 0.56253 0.15219 1.011
-0.09054 0.03837 0.55463 0.56328 0.15407 0.570
-0.09066 0.03842 0.55537 0.56403 0.15595 0.765
-0.09078 0.03847 0.55610 0.56477 0.15783 0.673
-0.09090 0.03852 0.55683 0.56552 0.15971 0.699
-0.09102 0.03857 0.55757 0.56627 0.16160 0.726
-0.09114 0.03862 0.55830 0.56701 0.16348 0.856
-0.09126 0.03867 0.55904 0.56776 0.16536 0.720
-0.09138 0.03873 0.55977 0.56850 0.16724 0.727
-0.09150 0.03878 0.56051 0.56925 0.16912 0.747
-0.09162 0.03883 0.56124 0.57000 0.17101 0.831
-0.09174 0.03888 0.56198 0.57074 0.17289 0.651
-0.09186 0.03893 0.56271 0.57149 0.17477 1.033
-0.09198 0.03898 0.56345 0.57224 0.17665 0.982
-0.09210 0.03903 0.56418 0.57298 0.17854 0.941
-0.09222 0.03908 0.56492 0.57373 0.18042 1.054
-0.09234 0.03913 0.56566 0.57448 0.18230 0.956
-0.09246 0.03918 0.56639 0.57522 0.18418 1.079
-0.09258 0.03923 0.56713 0.57597 0.18607 0.917
-0.09270 0.03928 0.56786 0.57672 0.18795 0.949
-0.09282 0.03934 0.56860 0.57746 0.18983 0.941
-0.09294 0.03939 0.56933 0.57821 0.19172 1.039
-0.09306 0.03944 0.57007 0.57896 0.19360 1.068
-0.09318 0.03949 0.57080 0.57970 0.19548 0.985
-0.09330 0.03954 0.57154 0.58045 0.19737 0.942
-0.09342 0.03959 0.57227 0.58120 0.19925 1.084
-0.09354 0.03964 0.57301 0.58194 0.20113 0.840
-0.09366 0.03969 0.57374 0.58269 0.20302 0.951
-0.09378 0.03974 0.57448 0.58344 0.20490 0.966
-0.09390 0.03979 0.57521 0.58419 0.20678 1.011
-0.09402 0.03984 0.57595 0.58493 0.20867 0.993
-0.09414 0.03990 0.57669 0.58568 0.21055 1.099
-0.09426 0.03995 0.57742 0.58643 0.21243 1.002
-0.09438 0.04000 0.57816 0.58717 0.21432 0.868
-0.09450 0.04005 0.57889 0.58792 0.21620 0.978
-0.09462 0.04010 0.57963 0.58867 0.21809 0.955
-0.09474 0.04015 0.58036 0.58942 0.21997 0.953
-0.09486 0.04020 0.58110 0.59016 0.22185 0.920
-0.09498 0.04025 0.58184 0.59091 0.22374 0.979
-0.09510 0.04030 0.58257 0.59166 0.22562 0.890
-0.09522 0.04035 0.58331 0.59240 0.22751 0.859
-0.09534 0.04040 0.58404 0.59315 0.22939 0.869
-0.09546 0.04045 0.58478 0.59390 0.23127 0.975
-0.09558 0.04051 0.58551 0.59465 0.23316 0.917
-0.09570 0.04056 0.58625 0.59539 0.23504 1.022
-0.09582 0.04061 0.58699 0.59614 0.23693 1.185
-0.09594 0.04066 0.58772 0.59689 0.23881 1.014
-0.09606 0.04071 0.58846 0.59764 0.24070 0.900
-0.09618 0.04076 0.58919 0.59838 0.24258 0.965
-0.09630 0.04081 0.58993 0.59913 0.24447 1.080
-0.09642 0.04086 0.59067 0.59988 0.24635 0.787
-0.09654 0.04091 0.59140 0.60063 0.24824 1.006
-0.09666 0.04096 0.59214 0.60137 0.25012 1.029
-0.09678 0.04102 0.59288 0.60212 0.25201 1.184
-0.09690 0.04107 0.59361 0.60287 0.25389 0.981
-0.09702 0.04112 0.59435 0.60362 0.25578 1.144
-0.09714 0.04117 0.59508 0.60436 0.25766 0.908
-0.09726 0.04122 0.59582 0.60511 0.25955 0.973
-0.09738 0.04127 0.59656 0.60586 0.26143 1.048
-0.09750 0.04132 0.59729 0.60661 0.26332 1.055
-0.09762 0.04137 0.59803 0.60736 0.26521 1.079
-0.09774 0.04142 0.59877 0.60810 0.26709 0.950
-0.09787 0.04147 0.59950 0.60885 0.26898 0.959
