x y z dist_scaled dist_frac flux_norm
-0.01221 -0.02973 0.50140 0.50243 0.00000 1.079
-0.01222 -0.02977 0.50214 0.50317 0.00188 1.001
-0.01224 -0.02982 0.50288 0.50391 0.00375 0.923
-0.01226 -0.02986 0.50362 0.50466 0.00563 1.125
-0.01228 -0.02991 0.50437 0.50540 0.00750 1.047
-0.01230 -0.02995 0.50511 0.50615 0.00938 1.017
-0.01231 -0.02999 0.50585 0.50689 0.01126 1.084
-0.01233 -0.03004 0.50660 0.50763 0.01313 1.063
-0.01235 -0.03008 0.50734 0.50838 0.01501 1.020
-0.01237 -0.03013 0.50808 0.50912 0.01689 0.879
-0.01239 -0.03017 0.50882 0.50987 0.01876 1.032
-0.01240 -0.03021 0.50957 0.51061 0.02064 0.906
-0.01242 -0.03026 0.51031 0.51136 0.02252 1.014
-0.01244 -0.03030 0.51105 0.51210 0.02440 1.097
-0.01246 -0.03035 0.51180 0.51285 0.02627 0.936
-0.01248 -0.03039 0.51254 0.51359 0.02815 0.816
-0.01249 -0.03043 0.51328 0.51433 0.03003 1.092
-0.01251 -0.03048 0.51402 0.51508 0.03190 1.076
-0.01253 -0.03052 0.51477 0.51582 0.03378 1.029
-0.01255 -0.03057 0.51551 0.51657 0.03566 1.081
-0.01257 -0.03061 0.51625 0.51731 0.03754 1.075
-0.01259 -0.03065 0.51700 0.51806 0.03941 1.006
-0.01260 -0.03070 0.51774 0.51880 0.04129 0.949
-0.01262 -0.03074 0.51848 0.51955 0.04317 0.918
-0.01264 -0.03079 0.51923 0.52029 0.04505 1.125
-0.01266 -0.03083 0.51997 0.52104 0.04692 1.047
-0.01268 -0.03087 0.52071 0.52178 0.04880 0.953
-0.01269 -0.03092 0.52146 0.52253 0.05068 0.922
-0.01271 -0.03096 0.52220 0.52327 0.05256 1.036
-0.01273 -0.03101 0.52294 0.52401 0.05444 0.942
-0.01275 -0.03105 0.52369 0.52476 0.05631 0.947
-0.01277 -0.03109 0.52443 0.52550 0.05819 0.952
-0.01278 -0.03114 0.52517 0.52625 0.06007 0.962
-0.01280 -0.03118 0.52592 0.52699 0.06195 0.967
-0.01282 -0.03123 0.52666 0.52774 0.06383 0.899
-0.01284 -0.03127 0.52740 0.52848 0.06571 0.998
-0.01286 -0.03131 0.52815 0.52923 0.06758 0.946
-0.01287 -0.03136 0.52889 0.52997 0.06946 0.920
-0.01289 -0.03140 0.52963 0.53072 0.07134 0.971
-0.01291 -0.03145 0.53038 0.53146 0.07322 1.001
-0.01293 -0.03149 0.53112 0.53221 0.07510 1.042
-0.01295 -0.03154 0.53186 0.53295 0.07698 0.955
-0.01297 -0.03158 0.53261 0.53370 0.07886 1.027
-0.01298 -0.03162 0.53335 0.53445 0.08074 0.913
-0.01300 -0.03167 0.53409 0.53519 0.08261 1.135
-0.01302 -0.03171 0.53484 0.53594 0.08449 1.186
-0.01304 -0.03176 0.53558 0.53668 0.08637 1.046
-0.01306 -0.03180 0.53633 0.53743 0.08825 0.979
-0.01307 -0.03184 0.53707 0.53817 0.09013 0.958
-0.01309 -0.03189 0.53781 0.53892 0.09201 0.865
-0.01311 -0.03193 0.53856 0.53966 0.09389 1.000
-0.01313 -0.03198 0.53930 0.54041 0.09577 0.984
-0.01315 -0.03202 0.54004 0.54115 0.09765 0.921
-0.01316 -0.03206 0.54079 0.54190 0.09953 0.962
-0.01318 -0.03211 0.54153 0.54264 0.10141 0.828
-0.01320 -0.03215 0.54228 0.54339 0.10329 0.931
-0.01322 -0.03220 0.54302 0.54414 0.10517 0.997
-0.01324 -0.03224 0.54376 0.54488 0.10705 0.899
-0.01326 -0.03229 0.54451 0.54563 0.10893 0.941
-0.01327 -0.03233 0.54525 0.54637 0.11081 0.945
-0.01329 -0.03237 0.54600 0.54712 0.11269 0.976
-0.01331 -0.03242 0.54674 0.54786 0.11457 0.991
-0.01333 -0.03246 0.54749 0.54861 0.11645 0.893
-0.01335 -0.03251 0.54823 0.54935 0.11833 1.032
-0.01336 -0.03255 0.54897 0.55010 0.12021 1.154
-0.01338 -0.03259 0.54972 0.55085 0.12209 0.913
-0.01340 -0.03264 0.55046 0.55159 0.12397 1.041
-0.01342 -0.03268 0.55121 0.55234 0.12585 0.928
-0.01344 -0.03273 0.55195 0.55308 0.12773 0.974
-0.01345 -0.03277 0.55270 0.55383 0.12961 1.005
-0.01347 -0.03281 0.55344 0.55458 0.13149 1.030
-0.01349 -0.03286 0.55418 0.55532 0.13337 0.912
-0.01351 -0.03290 0.55493 0.55607 0.13526 0.754
-0.01353 -0.03295 0.55567 0.55681 0.13714 0.983
-0.01354 -0.03299 0.55642 0.55756 0.13902 0.983
-0.01356 -0.03304 0.55716 0.55831 0.14090 0.931
-0.01358 -0.03308 0.55791 0.55905 0.14278 0.941
-0.01360 -0.03312 0.55865 0.55980 0.14466 0.945
-0.01362 -0.03317 0.55940 0.56054 0.14654 1.108
-0.01364 -0.03321 0.56014 0.56129 0.14842 0.991
-0.01365 -0.03326 0.56089 0.56204 0.15031 1.016
-0.01367 -0.03330 0.56163 0.56278 0.15219 0.904
