x y z dist_scaled dist_frac flux_norm
0.09952 0.02341 0.49207 0.50258 0.00000 1.130
0.09966 0.02344 0.49280 0.50333 0.00188 0.978
0.09981 0.02348 0.49353 0.50407 0.00375 1.196
0.09996 0.02351 0.49426 0.50481 0.00563 1.047
0.10011 0.02355 0.49499 0.50556 0.00751 0.831
0.10025 0.02358 0.49572 0.50630 0.00938 0.960
0.10040 0.02362 0.49644 0.50705 0.01126 0.785
0.10055 0.02365 0.49717 0.50779 0.01313 0.892
0.10070 0.02369 0.49790 0.50853 0.01501 1.129
0.10084 0.02372 0.49863 0.50928 0.01689 1.214
0.10099 0.02376 0.49936 0.51002 0.01876 1.132
0.10114 0.02379 0.50009 0.51077 0.02064 1.045
0.10129 0.02383 0.50081 0.51151 0.02252 1.002
0.10143 0.02386 0.50154 0.51225 0.02440 1.152
0.10158 0.02390 0.50227 0.51300 0.02627 1.023
0.10173 0.02393 0.50300 0.51374 0.02815 0.959
0.10187 0.02396 0.50373 0.51449 0.03003 0.914
0.10202 0.02400 0.50446 0.51523 0.03190 0.755
0.10217 0.02403 0.50519 0.51597 0.03378 0.797
0.10232 0.02407 0.50591 0.51672 0.03566 1.199
0.10246 0.02410 0.50664 0.51746 0.03754 1.030
0.10261 0.02414 0.50737 0.51821 0.03941 0.963
0.10276 0.02417 0.50810 0.51895 0.04129 1.038
0.10291 0.02421 0.50883 0.51970 0.04317 1.035
0.10305 0.02424 0.50956 0.52044 0.04505 0.963
0.10320 0.02428 0.51029 0.52118 0.04692 0.823
0.10335 0.02431 0.51102 0.52193 0.04880 0.820
0.10350 0.02435 0.51174 0.52267 0.05068 1.065
0.10364 0.02438 0.51247 0.52342 0.05256 1.078
0.10379 0.02442 0.51320 0.52416 0.05444 0.955
0.10394 0.02445 0.51393 0.52491 0.05631 0.960
0.10409 0.02448 0.51466 0.52565 0.05819 0.988
0.10423 0.02452 0.51539 0.52640 0.06007 0.942
0.10438 0.02455 0.51612 0.52714 0.06195 1.152
0.10453 0.02459 0.51685 0.52788 0.06383 0.960
0.10468 0.02462 0.51758 0.52863 0.06571 1.024
0.10482 0.02466 0.51831 0.52937 0.06758 0.960
0.10497 0.02469 0.51904 0.53012 0.06946 0.958
0.10512 0.02473 0.51976 0.53086 0.07134 0.851
0.10526 0.02476 0.52049 0.53161 0.07322 1.279
0.10541 0.02480 0.52122 0.53235 0.07510 0.808
0.10556 0.02483 0.52195 0.53310 0.07698 0.869
0.10571 0.02487 0.52268 0.53384 0.07886 0.936
0.10585 0.02490 0.52341 0.53459 0.08074 0.785
0.10600 0.02494 0.52414 0.53533 0.08261 1.067
0.10615 0.02497 0.52487 0.53608 0.08449 0.979
0.10630 0.02500 0.52560 0.53682 0.08637 0.829
0.10644 0.02504 0.52633 0.53757 0.08825 1.086
0.10659 0.02507 0.52706 0.53831 0.09013 0.850
0.10674 0.02511 0.52779 0.53906 0.09201 1.062
0.10689 0.02514 0.52852 0.53980 0.09389 1.063
0.10704 0.02518 0.52925 0.54055 0.09577 0.935
0.10718 0.02521 0.52998 0.54129 0.09765 0.893
0.10733 0.02525 0.53070 0.54204 0.09953 0.914
0.10748 0.02528 0.53143 0.54278 0.10141 0.868
0.10763 0.02532 0.53216 0.54353 0.10329 0.828
0.10777 0.02535 0.53289 0.54427 0.10517 0.981
0.10792 0.02539 0.53362 0.54502 0.10705 1.085
0.10807 0.02542 0.53435 0.54576 0.10893 1.238
0.10822 0.02546 0.53508 0.54651 0.11081 0.936
0.10836 0.02549 0.53581 0.54725 0.11269 1.236
0.10851 0.02553 0.53654 0.54800 0.11457 0.978
