x y z dist_scaled dist_frac flux_norm
0.04904 0.00623 0.50015 0.50258 0.00000 0.992
0.04911 0.00624 0.50089 0.50333 0.00188 1.108
0.04918 0.00625 0.50163 0.50407 0.00375 1.030
0.04926 0.00626 0.50237 0.50481 0.00563 0.837
0.04933 0.00627 0.50311 0.50556 0.00751 0.991
0.04940 0.00627 0.50385 0.50630 0.00938 1.143
0.04947 0.00628 0.50459 0.50705 0.01126 0.950
0.04955 0.00629 0.50533 0.50779 0.01313 0.893
0.04962 0.00630 0.50607 0.50853 0.01501 0.949
0.04969 0.00631 0.50681 0.50928 0.01689 0.911
0.04976 0.00632 0.50755 0.51002 0.01876 0.929
0.04984 0.00633 0.50829 0.51077 0.02064 1.160
0.04991 0.00634 0.50903 0.51151 0.02252 1.273
0.04998 0.00635 0.50977 0.51225 0.02440 0.792
0.05005 0.00636 0.51051 0.51300 0.02627 1.001
0.05013 0.00637 0.51125 0.51374 0.02815 1.174
0.05020 0.00638 0.51199 0.51449 0.03003 0.773
0.05027 0.00639 0.51273 0.51523 0.03190 1.097
0.05034 0.00639 0.51347 0.51597 0.03378 1.008
0.05042 0.00640 0.51421 0.51672 0.03566 1.336
0.05049 0.00641 0.51495 0.51746 0.03754 1.197
0.05056 0.00642 0.51569 0.51821 0.03941 1.012
0.05064 0.00643 0.51643 0.51895 0.04129 0.842
0.05071 0.00644 0.51718 0.51970 0.04317 1.016
0.05078 0.00645 0.51792 0.52044 0.04505 1.100
0.05085 0.00646 0.51866 0.52118 0.04692 0.969
0.05093 0.00647 0.51940 0.52193 0.04880 1.052
0.05100 0.00648 0.52014 0.52267 0.05068 1.014
0.05107 0.00649 0.52088 0.52342 0.05256 1.024
0.05114 0.00650 0.52162 0.52416 0.05444 0.892
0.05122 0.00651 0.52236 0.52491 0.05631 0.745
0.05129 0.00651 0.52310 0.52565 0.05819 1.041
0.05136 0.00652 0.52384 0.52640 0.06007 0.815
0.05143 0.00653 0.52458 0.52714 0.06195 1.191
0.05151 0.00654 0.52533 0.52788 0.06383 1.034
0.05158 0.00655 0.52607 0.52863 0.06571 0.897
0.05165 0.00656 0.52681 0.52937 0.06758 0.839
0.05172 0.00657 0.52755 0.53012 0.06946 0.829
0.05180 0.00658 0.52829 0.53086 0.07134 0.775
0.05187 0.00659 0.52903 0.53161 0.07322 0.934
0.05194 0.00660 0.52977 0.53235 0.07510 0.937
0.05202 0.00661 0.53051 0.53310 0.07698 0.923
0.05209 0.00662 0.53125 0.53384 0.07886 1.020
0.05216 0.00663 0.53200 0.53459 0.08074 0.890
0.05223 0.00663 0.53274 0.53533 0.08261 1.128
0.05231 0.00664 0.53348 0.53608 0.08449 1.082
0.05238 0.00665 0.53422 0.53682 0.08637 0.961
0.05245 0.00666 0.53496 0.53757 0.08825 1.176
0.05252 0.00667 0.53570 0.53831 0.09013 0.839
0.05260 0.00668 0.53644 0.53906 0.09201 1.152
0.05267 0.00669 0.53718 0.53980 0.09389 1.037
0.05274 0.00670 0.53793 0.54055 0.09577 0.827
0.05281 0.00671 0.53867 0.54129 0.09765 1.176
0.05289 0.00672 0.53941 0.54204 0.09953 0.866
0.05296 0.00673 0.54015 0.54278 0.10141 1.278
0.05303 0.00674 0.54089 0.54353 0.10329 0.906
0.05311 0.00675 0.54163 0.54427 0.10517 0.900
0.05318 0.00675 0.54238 0.54502 0.10705 0.964
0.05325 0.00676 0.54312 0.54576 0.10893 1.074
0.05332 0.00677 0.54386 0.54651 0.11081 1.055
0.05340 0.00678 0.54460 0.54725 0.11269 1.149
0.05347 0.00679 0.54534 0.54800 0.11457 1.055
0.05354 0.00680 0.54608 0.54874 0.11645 0.812
0.05361 0.00681 0.54683 0.54949 0.11833 1.036
0.05369 0.00682 0.54757 0.55024 0.12021 1.035
0.05376 0.00683 0.54831 0.55098 0.12209 0.995
0.05383 0.00684 0.54905 0.55173 0.12397 0.811
0.05391 0.00685 0.54979 0.55247 0.12585 0.958
0.05398 0.00686 0.55054 0.55322 0.12773 1.012
0.05405 0.00687 0.55128 0.55396 0.12961 1.159
0.05412 0.00687 0.55202 0.55471 0.13149 0.825
0.05420 0.00688 0.55276 0.55545 0.13338 1.028
0.05427 0.00689 0.55350 0.55620 0.13526 1.213
0.05434 0.00690 0.55425 0.55695 0.13714 1.121
0.05442 0.00691 0.55499 0.55769 0.13902 0.990
0.05449 0.00692 0.55573 0.55844 0.14090 0.731
0.05456 0.00693 0.55647 0.55918 0.14278 1.006
0.05463 0.00694 0.55721 0.55993 0.14466 1.062
0.05471 0.00695 0.55796 0.56067 0.14654 1.026
0.05478 0.00696 0.55870 0.56142 0.14843 0.804
0.05485 0.00697 0.55944 0.56217 0.15031 1.263
0.05492 0.00698 0.56018 0.56291 0.15219 0.930
0.05500 0.00699 0.56093 0.56366 0.15407 1.041
0.05507 0.00699 0.56167 0.56440 0.15595 0.893
0.05514 0.00700 0.56241 0.56515 0.15783 1.021
0.05522 0.00701 0.56315 0.56590 0.15972 1.278
0.05529 0.00702 0.56389 0.56664 0.16160 0.818
0.05536 0.00703 0.56464 0.56739 0.16348 0.930
0.05543 0.00704 0.56538 0.56813 0.16536 0.947
0.05551 0.00705 0.56612 0.56888 0.16724 1.017
0.05558 0.00706 0.56686 0.56963 0.16913 1.111
0.05565 0.00707 0.56761 0.57037 0.17101 0.871
0.05573 0.00708 0.56835 0.57112 0.17289 1.181
