x y z dist_scaled dist_frac flux_norm
0.04397 0.04122 0.49896 0.50258 0.00000 0.944
0.04403 0.04128 0.49969 0.50333 0.00188 1.000
0.04410 0.04134 0.50043 0.50407 0.00375 0.723
0.04416 0.04140 0.50117 0.50481 0.00563 0.695
0.04423 0.04146 0.50191 0.50556 0.00751 1.523
0.04429 0.04152 0.50265 0.50630 0.00938 1.274
0.04436 0.04158 0.50339 0.50705 0.01126 0.776
0.04442 0.04164 0.50413 0.50779 0.01313 0.886
0.04449 0.04170 0.50486 0.50853 0.01501 0.968
0.04455 0.04177 0.50560 0.50928 0.01689 0.940
0.04462 0.04183 0.50634 0.51002 0.01876 0.803
0.04468 0.04189 0.50708 0.51077 0.02064 0.748
0.04475 0.04195 0.50782 0.51151 0.02252 0.861
0.04481 0.04201 0.50856 0.51225 0.02440 0.916
0.04488 0.04207 0.50930 0.51300 0.02627 1.162
0.04494 0.04213 0.51003 0.51374 0.02815 0.998
0.04501 0.04219 0.51077 0.51449 0.03003 1.026
0.04508 0.04225 0.51151 0.51523 0.03190 0.973
0.04514 0.04231 0.51225 0.51597 0.03378 1.138
0.04521 0.04238 0.51299 0.51672 0.03566 0.944
0.04527 0.04244 0.51373 0.51746 0.03754 0.724
0.04534 0.04250 0.51447 0.51821 0.03941 1.085
0.04540 0.04256 0.51521 0.51895 0.04129 0.892
0.04547 0.04262 0.51595 0.51970 0.04317 1.112
0.04553 0.04268 0.51668 0.52044 0.04505 1.030
0.04560 0.04274 0.51742 0.52118 0.04692 0.977
0.04566 0.04280 0.51816 0.52193 0.04880 0.898
0.04573 0.04286 0.51890 0.52267 0.05068 1.198
0.04579 0.04292 0.51964 0.52342 0.05256 0.868
0.04586 0.04299 0.52038 0.52416 0.05444 1.088
0.04592 0.04305 0.52112 0.52491 0.05631 1.101
0.04599 0.04311 0.52186 0.52565 0.05819 1.031
0.04605 0.04317 0.52260 0.52640 0.06007 1.059
0.04612 0.04323 0.52334 0.52714 0.06195 1.012
0.04618 0.04329 0.52408 0.52788 0.06383 1.099
0.04625 0.04335 0.52481 0.52863 0.06571 1.064
0.04631 0.04341 0.52555 0.52937 0.06758 1.181
0.04638 0.04347 0.52629 0.53012 0.06946 0.905
0.04644 0.04354 0.52703 0.53086 0.07134 0.832
0.04651 0.04360 0.52777 0.53161 0.07322 0.968
0.04657 0.04366 0.52851 0.53235 0.07510 0.853
0.04664 0.04372 0.52925 0.53310 0.07698 1.011
0.04670 0.04378 0.52999 0.53384 0.07886 1.125
0.04677 0.04384 0.53073 0.53459 0.08074 0.774
0.04683 0.04390 0.53147 0.53533 0.08261 1.245
0.04690 0.04396 0.53221 0.53608 0.08449 1.068
0.04696 0.04402 0.53295 0.53682 0.08637 0.915
0.04703 0.04409 0.53369 0.53757 0.08825 0.750
0.04709 0.04415 0.53443 0.53831 0.09013 1.062
0.04716 0.04421 0.53517 0.53906 0.09201 0.884
0.04722 0.04427 0.53591 0.53980 0.09389 0.949
0.04729 0.04433 0.53665 0.54055 0.09577 1.020
0.04736 0.04439 0.53739 0.54129 0.09765 1.310
0.04742 0.04445 0.53813 0.54204 0.09953 0.954
0.04749 0.04451 0.53887 0.54278 0.10141 1.167
0.04755 0.04457 0.53961 0.54353 0.10329 1.040
0.04762 0.04464 0.54035 0.54427 0.10517 1.073
0.04768 0.04470 0.54109 0.54502 0.10705 0.930
0.04775 0.04476 0.54183 0.54576 0.10893 0.985
0.04781 0.04482 0.54257 0.54651 0.11081 1.084
0.04788 0.04488 0.54331 0.54725 0.11269 0.982
0.04794 0.04494 0.54405 0.54800 0.11457 1.022
0.04801 0.04500 0.54479 0.54874 0.11645 0.983
0.04807 0.04506 0.54553 0.54949 0.11833 0.983
0.04814 0.04512 0.54627 0.55024 0.12021 0.762
0.04820 0.04519 0.54701 0.55098 0.12209 0.963
0.04827 0.04525 0.54775 0.55173 0.12397 1.184
0.04833 0.04531 0.54849 0.55247 0.12585 0.879
0.04840 0.04537 0.54923 0.55322 0.12773 0.979
0.04846 0.04543 0.54997 0.55396 0.12961 0.876
0.04853 0.04549 0.55071 0.55471 0.13149 1.219
0.04859 0.04555 0.55145 0.55545 0.13338 0.916
0.04866 0.04561 0.55219 0.55620 0.13526 1.262
0.04872 0.04567 0.55293 0.55695 0.13714 0.918
0.04879 0.04574 0.55367 0.55769 0.13902 0.980
0.04886 0.04580 0.55441 0.55844 0.14090 0.960
0.04892 0.04586 0.55515 0.55918 0.14278 0.799
0.04899 0.04592 0.55589 0.55993 0.14466 1.143
0.04905 0.04598 0.55663 0.56067 0.14654 0.982
0.04912 0.04604 0.55737 0.56142 0.14843 1.165
0.04918 0.04610 0.55811 0.56217 0.15031 0.983
0.04925 0.04616 0.55885 0.56291 0.15219 0.700
0.04931 0.04622 0.55959 0.56366 0.15407 1.144
0.04938 0.04629 0.56033 0.56440 0.15595 0.720
0.04944 0.04635 0.56107 0.56515 0.15783 0.722
0.04951 0.04641 0.56181 0.56590 0.15972 0.844
0.04957 0.04647 0.56255 0.56664 0.16160 0.885
0.04964 0.04653 0.56329 0.56739 0.16348 1.088
0.04970 0.04659 0.56403 0.56813 0.16536 0.745
0.04977 0.04665 0.56478 0.56888 0.16724 1.029
0.04983 0.04671 0.56552 0.56963 0.16913 0.951
0.04990 0.04678 0.56626 0.57037 0.17101 0.952
0.04996 0.04684 0.56700 0.57112 0.17289 0.688
0.05003 0.04690 0.56774 0.57186 0.17477 0.870
0.05010 0.04696 0.56848 0.57261 0.17665 0.707
0.05016 0.04702 0.56922 0.57336 0.17854 0.971
0.05023 0.04708 0.56996 0.57410 0.18042 1.037
0.05029 0.04714 0.57070 0.57485 0.18230 0.786
0.05036 0.04720 0.57144 0.57560 0.18419 0.869
0.05042 0.04727 0.57218 0.57634 0.18607 1.006
0.05049 0.04733 0.57293 0.57709 0.18795 0.952
0.05055 0.04739 0.57367 0.57784 0.18983 1.006
0.05062 0.04745 0.57441 0.57858 0.19172 0.789
0.05068 0.04751 0.57515 0.57933 0.19360 1.148
0.05075 0.04757 0.57589 0.58007 0.19548 1.341
0.05081 0.04763 0.57663 0.58082 0.19737 0.899
0.05088 0.04769 0.57737 0.58157 0.19925 1.451
0.05094 0.04775 0.57811 0.58231 0.20113 1.313
0.05101 0.04782 0.57885 0.58306 0.20302 1.093
0.05107 0.04788 0.57960 0.58381 0.20490 0.706
0.05114 0.04794 0.58034 0.58455 0.20678 1.065
0.05121 0.04800 0.58108 0.58530 0.20867 1.011
0.05127 0.04806 0.58182 0.58605 0.21055 0.732
0.05134 0.04812 0.58256 0.58679 0.21243 1.258
0.05140 0.04818 0.58330 0.58754 0.21432 1.121
0.05147 0.04824 0.58404 0.58829 0.21620 1.426
0.05153 0.04831 0.58478 0.58904 0.21809 1.092
0.05160 0.04837 0.58553 0.58978 0.21997 1.120
0.05166 0.04843 0.58627 0.59053 0.22185 1.173
0.05173 0.04849 0.58701 0.59128 0.22374 0.647
0.05179 0.04855 0.58775 0.59202 0.22562 1.117
0.05186 0.04861 0.58849 0.59277 0.22751 1.007
0.05192 0.04867 0.58923 0.59352 0.22939 1.171
0.05199 0.04873 0.58998 0.59426 0.23128 0.976
0.05205 0.04880 0.59072 0.59501 0.23316 0.920
0.05212 0.04886 0.59146 0.59576 0.23504 0.949
0.05219 0.04892 0.59220 0.59650 0.23693 0.949
0.05225 0.04898 0.59294 0.59725 0.23881 1.061
0.05232 0.04904 0.59368 0.59800 0.24070 1.003
0.05238 0.04910 0.59443 0.59875 0.24258 1.169
0.05245 0.04916 0.59517 0.59949 0.24447 1.058
0.05251 0.04923 0.59591 0.60024 0.24635 0.975
0.05258 0.04929 0.59665 0.60099 0.24824 1.000
0.05264 0.04935 0.59739 0.60174 0.25012 1.220
0.05271 0.04941 0.59814 0.60248 0.25201 0.987
0.05277 0.04947 0.59888 0.60323 0.25389 1.129
0.05284 0.04953 0.59962 0.60398 0.25578 0.864
0.05290 0.04959 0.60036 0.60472 0.25766 1.110
0.05297 0.04965 0.60110 0.60547 0.25955 0.746
0.05304 0.04972 0.60185 0.60622 0.26144 1.008
0.05310 0.04978 0.60259 0.60697 0.26332 1.156
0.05317 0.04984 0.60333 0.60771 0.26521 0.983
0.05323 0.04990 0.60407 0.60846 0.26709 1.087
0.05330 0.04996 0.60481 0.60921 0.26898 0.946
0.05336 0.05002 0.60556 0.60996 0.27086 0.800
0.05343 0.05008 0.60630 0.61070 0.27275 0.870
0.05349 0.05014 0.60704 0.61145 0.27464 1.147
0.05356 0.05021 0.60778 0.61220 0.27652 0.921
0.05362 0.05027 0.60852 0.61295 0.27841 1.133
0.05369 0.05033 0.60927 0.61370 0.28029 0.934
0.05375 0.05039 0.61001 0.61444 0.28218 0.993
0.05382 0.05045 0.61075 0.61519 0.28407 0.806
0.05389 0.05051 0.61149 0.61594 0.28595 1.067
0.05395 0.05057 0.61224 0.61669 0.28784 0.959
0.05402 0.05064 0.61298 0.61743 0.28973 1.245
0.05408 0.05070 0.61372 0.61818 0.29161 1.140
0.05415 0.05076 0.61446 0.61893 0.29350 1.065
0.05421 0.05082 0.61521 0.61968 0.29539 0.709
0.05428 0.05088 0.61595 0.62043 0.29727 0.728
0.05434 0.05094 0.61669 0.62117 0.29916 1.014
0.05441 0.05100 0.61743 0.62192 0.30105 1.261
0.05447 0.05106 0.61818 0.62267 0.30293 1.016
0.05454 0.05113 0.61892 0.62342 0.30482 0.974
0.05461 0.05119 0.61966 0.62417 0.30671 1.119
0.05467 0.05125 0.62040 0.62491 0.30859 0.934
0.05474 0.05131 0.62115 0.62566 0.31048 0.934
0.05480 0.05137 0.62189 0.62641 0.31237 0.853
0.05487 0.05143 0.62263 0.62716 0.31426 0.834
0.05493 0.05149 0.62338 0.62791 0.31614 1.205
0.05500 0.05156 0.62412 0.62866 0.31803 0.610
0.05506 0.05162 0.62486 0.62940 0.31992 0.978
0.05513 0.05168 0.62560 0.63015 0.32181 0.937
0.05519 0.05174 0.62635 0.63090 0.32369 1.206
0.05526 0.05180 0.62709 0.63165 0.32558 1.020
0.05533 0.05186 0.62783 0.63240 0.32747 1.042
0.05539 0.05192 0.62858 0.63315 0.32936 1.084
0.05546 0.05198 0.62932 0.63389 0.33125 1.023
0.05552 0.05205 0.63006 0.63464 0.33313 0.961
0.05559 0.05211 0.63081 0.63539 0.33502 1.228
0.05565 0.05217 0.63155 0.63614 0.33691 1.063
0.05572 0.05223 0.63229 0.63689 0.33880 0.981
0.05578 0.05229 0.63304 0.63764 0.34069 0.631
0.05585 0.05235 0.63378 0.63838 0.34258 0.960
0.05591 0.05241 0.63452 0.63913 0.34446 1.267
0.05598 0.05248 0.63526 0.63988 0.34635 1.102
0.05605 0.05254 0.63601 0.64063 0.34824 1.121
0.05611 0.05260 0.63675 0.64138 0.35013 1.286
0.05618 0.05266 0.63749 0.64213 0.35202 1.121
0.05624 0.05272 0.63824 0.64288 0.35391 1.327
0.05631 0.05278 0.63898 0.64363 0.35580 0.793
0.05637 0.05284 0.63972 0.64437 0.35769 1.019
0.05644 0.05291 0.64047 0.64512 0.35957 1.083
0.05650 0.05297 0.64121 0.64587 0.36146 1.042
0.05657 0.05303 0.64196 0.64662 0.36335 1.001
0.05664 0.05309 0.64270 0.64737 0.36524 0.651
0.05670 0.05315 0.64344 0.64812 0.36713 0.858
0.05677 0.05321 0.64419 0.64887 0.36902 0.879
0.05683 0.05327 0.64493 0.64962 0.37091 1.189
0.05690 0.05334 0.64567 0.65037 0.37280 0.921
