x y z dist_scaled dist_frac flux_norm
-0.07914 0.00010 0.49631 0.50258 0.00000 0.887
-0.07926 0.00010 0.49705 0.50333 0.00188 1.142
-0.07938 0.00010 0.49778 0.50407 0.00375 1.343
-0.07950 0.00010 0.49852 0.50481 0.00563 0.850
-0.07961 0.00010 0.49925 0.50556 0.00751 1.286
-0.07973 0.00010 0.49998 0.50630 0.00938 0.957
-0.07985 0.00010 0.50072 0.50705 0.01126 0.767
-0.07996 0.00010 0.50145 0.50779 0.01313 1.090
-0.08008 0.00010 0.50219 0.50853 0.01501 0.817
-0.08020 0.00010 0.50292 0.50928 0.01689 1.199
-0.08032 0.00010 0.50366 0.51002 0.01876 1.061
-0.08043 0.00010 0.50439 0.51077 0.02064 1.034
-0.08055 0.00010 0.50513 0.51151 0.02252 1.060
-0.08067 0.00010 0.50586 0.51225 0.02440 1.060
-0.08078 0.00010 0.50660 0.51300 0.02627 0.899
-0.08090 0.00010 0.50733 0.51374 0.02815 1.059
-0.08102 0.00010 0.50807 0.51449 0.03003 1.031
-0.08114 0.00010 0.50880 0.51523 0.03190 1.164
-0.08125 0.00010 0.50954 0.51597 0.03378 0.975
-0.08137 0.00010 0.51027 0.51672 0.03566 1.163
-0.08149 0.00010 0.51101 0.51746 0.03754 1.217
-0.08160 0.00010 0.51174 0.51821 0.03941 0.839
-0.08172 0.00010 0.51248 0.51895 0.04129 1.081
-0.08184 0.00010 0.51321 0.51970 0.04317 1.107
-0.08196 0.00010 0.51395 0.52044 0.04505 1.242
-0.08207 0.00010 0.51468 0.52118 0.04692 1.051
-0.08219 0.00010 0.51542 0.52193 0.04880 0.998
-0.08231 0.00010 0.51615 0.52267 0.05068 0.725
-0.08243 0.00010 0.51689 0.52342 0.05256 0.859
-0.08254 0.00010 0.51762 0.52416 0.05444 0.938
-0.08266 0.00010 0.51836 0.52491 0.05631 0.939
-0.08278 0.00010 0.51909 0.52565 0.05819 0.884
-0.08289 0.00010 0.51983 0.52640 0.06007 1.150
-0.08301 0.00010 0.52056 0.52714 0.06195 1.071
