x y z dist_scaled dist_frac flux_norm
-0.18758 0.02117 0.46578 0.50258 0.00000 1.045
-0.18786 0.02120 0.46647 0.50333 0.00188 1.220
-0.18814 0.02123 0.46716 0.50407 0.00375 0.917
-0.18842 0.02126 0.46785 0.50481 0.00563 0.933
-0.18869 0.02129 0.46854 0.50556 0.00751 0.902
-0.18897 0.02132 0.46923 0.50630 0.00938 0.919
-0.18925 0.02135 0.46992 0.50705 0.01126 0.808
-0.18953 0.02139 0.47061 0.50779 0.01313 0.778
-0.18981 0.02142 0.47130 0.50853 0.01501 0.923
-0.19008 0.02145 0.47199 0.50928 0.01689 0.715
-0.19036 0.02148 0.47268 0.51002 0.01876 1.022
-0.19064 0.02151 0.47337 0.51077 0.02064 0.926
-0.19092 0.02154 0.47406 0.51151 0.02252 0.926
-0.19119 0.02157 0.47474 0.51225 0.02440 0.894
-0.19147 0.02160 0.47543 0.51300 0.02627 1.137
-0.19175 0.02164 0.47612 0.51374 0.02815 0.961
-0.19203 0.02167 0.47681 0.51449 0.03003 0.929
-0.19230 0.02170 0.47750 0.51523 0.03190 0.930
-0.19258 0.02173 0.47819 0.51597 0.03378 0.752
-0.19286 0.02176 0.47888 0.51672 0.03566 1.158
-0.19314 0.02179 0.47957 0.51746 0.03754 0.931
-0.19342 0.02182 0.48026 0.51821 0.03941 0.915
-0.19369 0.02186 0.48095 0.51895 0.04129 1.239
-0.19397 0.02189 0.48164 0.51970 0.04317 1.111
-0.19425 0.02192 0.48233 0.52044 0.04505 1.015
-0.19453 0.02195 0.48302 0.52118 0.04692 0.918
-0.19481 0.02198 0.48371 0.52193 0.04880 0.787
-0.19508 0.02201 0.48440 0.52267 0.05068 0.773
-0.19536 0.02204 0.48509 0.52342 0.05256 0.952
-0.19564 0.02207 0.48578 0.52416 0.05444 0.742
-0.19592 0.02211 0.48647 0.52491 0.05631 1.003
-0.19619 0.02214 0.48716 0.52565 0.05819 0.711
-0.19647 0.02217 0.48785 0.52640 0.06007 0.613
-0.19675 0.02220 0.48854 0.52714 0.06195 0.564
-0.19703 0.02223 0.48923 0.52788 0.06383 0.759
