x y z dist_scaled dist_frac flux_norm
-0.12707 0.02973 0.48518 0.50243 0.00000 0.838
-0.12726 0.02978 0.48590 0.50317 0.00188 1.138
-0.12745 0.02982 0.48662 0.50391 0.00375 1.234
-0.12763 0.02987 0.48734 0.50466 0.00563 0.910
-0.12782 0.02991 0.48806 0.50540 0.00750 0.734
-0.12801 0.02995 0.48877 0.50615 0.00938 0.867
-0.12820 0.03000 0.48949 0.50689 0.01126 1.073
-0.12839 0.03004 0.49021 0.50763 0.01313 1.031
-0.12858 0.03009 0.49093 0.50838 0.01501 0.823
-0.12876 0.03013 0.49165 0.50912 0.01689 1.209
-0.12895 0.03017 0.49237 0.50987 0.01876 0.859
-0.12914 0.03022 0.49309 0.51061 0.02064 0.541
-0.12933 0.03026 0.49381 0.51136 0.02252 0.541
-0.12952 0.03031 0.49452 0.51210 0.02440 0.887
-0.12970 0.03035 0.49524 0.51285 0.02627 0.754
-0.12989 0.03039 0.49596 0.51359 0.02815 0.888
-0.13008 0.03044 0.49668 0.51433 0.03003 0.953
-0.13027 0.03048 0.49740 0.51508 0.03190 0.887
-0.13046 0.03053 0.49812 0.51582 0.03378 0.817
-0.13065 0.03057 0.49884 0.51657 0.03566 0.815
-0.13083 0.03061 0.49956 0.51731 0.03754 0.951
-0.13102 0.03066 0.50028 0.51806 0.03941 0.543
-0.13121 0.03070 0.50100 0.51880 0.04129 1.357
-0.13140 0.03075 0.50171 0.51955 0.04317 1.087
-0.13159 0.03079 0.50243 0.52029 0.04505 1.087
-0.13178 0.03084 0.50315 0.52104 0.04692 1.018
-0.13196 0.03088 0.50387 0.52178 0.04880 0.883
-0.13215 0.03092 0.50459 0.52253 0.05068 0.815
-0.13234 0.03097 0.50531 0.52327 0.05256 1.018
-0.13253 0.03101 0.50603 0.52401 0.05444 0.882
-0.13272 0.03106 0.50675 0.52476 0.05631 1.489
-0.13291 0.03110 0.50747 0.52550 0.05819 1.351
-0.13309 0.03114 0.50819 0.52625 0.06007 1.281
-0.13328 0.03119 0.50891 0.52699 0.06195 1.140
-0.13347 0.03123 0.50963 0.52774 0.06383 1.138
-0.13366 0.03128 0.51035 0.52848 0.06571 1.205
-0.13385 0.03132 0.51106 0.52923 0.06758 1.072
-0.13404 0.03136 0.51178 0.52997 0.06946 0.597
-0.13423 0.03141 0.51250 0.53072 0.07134 1.272
-0.13441 0.03145 0.51322 0.53146 0.07322 0.974
-0.13460 0.03150 0.51394 0.53221 0.07510 0.573
-0.13479 0.03154 0.51466 0.53295 0.07698 1.075
-0.13498 0.03158 0.51538 0.53370 0.07886 0.823
-0.13517 0.03163 0.51610 0.53445 0.08074 0.672
-0.13536 0.03167 0.51682 0.53519 0.08261 0.972
-0.13554 0.03172 0.51754 0.53594 0.08449 1.323
-0.13573 0.03176 0.51826 0.53668 0.08637 1.074
-0.13592 0.03181 0.51898 0.53743 0.08825 0.923
-0.13611 0.03185 0.51970 0.53817 0.09013 1.173
-0.13630 0.03189 0.52042 0.53892 0.09201 0.985
-0.13649 0.03194 0.52114 0.53966 0.09389 0.693
-0.13668 0.03198 0.52186 0.54041 0.09577 0.980
-0.13686 0.03203 0.52258 0.54115 0.09765 1.101
-0.13705 0.03207 0.52330 0.54190 0.09953 0.974
-0.13724 0.03211 0.52402 0.54264 0.10141 1.098
-0.13743 0.03216 0.52474 0.54339 0.10329 1.182
-0.13762 0.03220 0.52546 0.54414 0.10517 1.188
-0.13781 0.03225 0.52618 0.54488 0.10705 1.203
-0.13800 0.03229 0.52690 0.54563 0.10893 0.739
-0.13818 0.03233 0.52762 0.54637 0.11081 0.903
-0.13837 0.03238 0.52834 0.54712 0.11269 1.047
-0.13856 0.03242 0.52906 0.54786 0.11457 0.978
-0.13875 0.03247 0.52978 0.54861 0.11645 1.275
-0.13894 0.03251 0.53050 0.54935 0.11833 1.015
-0.13913 0.03256 0.53122 0.55010 0.12021 1.158
-0.13932 0.03260 0.53194 0.55085 0.12209 0.732
-0.13950 0.03264 0.53266 0.55159 0.12397 1.134
-0.13969 0.03269 0.53338 0.55234 0.12585 1.178
-0.13988 0.03273 0.53410 0.55308 0.12773 0.776
-0.14007 0.03278 0.53482 0.55383 0.12961 1.026
-0.14026 0.03282 0.53554 0.55458 0.13149 0.927
-0.14045 0.03286 0.53626 0.55532 0.13337 0.830
-0.14064 0.03291 0.53698 0.55607 0.13526 0.831
-0.14082 0.03295 0.53770 0.55681 0.13714 0.979
-0.14101 0.03300 0.53842 0.55756 0.13902 1.281
-0.14120 0.03304 0.53914 0.55831 0.14090 1.030
-0.14139 0.03308 0.53986 0.55905 0.14278 1.132
-0.14158 0.03313 0.54058 0.55980 0.14466 0.983
-0.14177 0.03317 0.54130 0.56054 0.14654 0.984
-0.14196 0.03322 0.54203 0.56129 0.14842 0.982
-0.14215 0.03326 0.54275 0.56204 0.15031 0.684
-0.14233 0.03331 0.54347 0.56278 0.15219 1.083
-0.14252 0.03335 0.54419 0.56353 0.15407 0.832
-0.14271 0.03339 0.54491 0.56428 0.15595 0.529
-0.14290 0.03344 0.54563 0.56502 0.15783 0.483
-0.14309 0.03348 0.54635 0.56577 0.15971 0.782
-0.14328 0.03353 0.54707 0.56651 0.16160 0.934
-0.14347 0.03357 0.54779 0.56726 0.16348 0.587
-0.14366 0.03361 0.54851 0.56801 0.16536 0.991
-0.14384 0.03366 0.54923 0.56875 0.16724 0.990
-0.14403 0.03370 0.54995 0.56950 0.16912 1.134
-0.14422 0.03375 0.55067 0.57025 0.17101 1.088
-0.14441 0.03379 0.55139 0.57099 0.17289 0.835
-0.14460 0.03384 0.55212 0.57174 0.17477 0.836
-0.14479 0.03388 0.55284 0.57249 0.17665 0.884
-0.14498 0.03392 0.55356 0.57323 0.17854 0.934
-0.14517 0.03397 0.55428 0.57398 0.18042 0.936
-0.14536 0.03401 0.55500 0.57473 0.18230 1.035
-0.14554 0.03406 0.55572 0.57547 0.18418 1.036
-0.14573 0.03410 0.55644 0.57622 0.18607 1.136
-0.14592 0.03415 0.55716 0.57697 0.18795 1.037
-0.14611 0.03419 0.55788 0.57771 0.18983 0.784
-0.14630 0.03423 0.55861 0.57846 0.19172 1.034
-0.14649 0.03428 0.55933 0.57921 0.19360 0.983
-0.14668 0.03432 0.56005 0.57995 0.19548 0.982
