x y z dist_scaled dist_frac flux_norm wavelength redshift
0.01895 0.01324 0.50205 0.50258 0.00000 1.051 1236.115 0.01682
0.01898 0.01326 0.50279 0.50333 0.00188 0.945 1236.145 0.01684
0.01900 0.01328 0.50354 0.50407 0.00375 0.933 1236.175 0.01687
0.01903 0.01330 0.50428 0.50481 0.00563 0.953 1236.205 0.01689
0.01906 0.01332 0.50502 0.50556 0.00751 1.102 1236.235 0.01692
0.01909 0.01334 0.50577 0.50630 0.00938 1.040 1236.265 0.01694
0.01912 0.01336 0.50651 0.50705 0.01126 0.979 1236.295 0.01697
0.01914 0.01338 0.50725 0.50779 0.01313 1.010 1236.325 0.01699
0.01917 0.01340 0.50799 0.50853 0.01501 1.036 1236.355 0.01701
0.01920 0.01342 0.50874 0.50928 0.01689 0.790 1236.384 0.01704
0.01923 0.01344 0.50948 0.51002 0.01876 0.761 1236.414 0.01706
0.01926 0.01346 0.51022 0.51077 0.02064 0.695 1236.444 0.01709
0.01928 0.01348 0.51097 0.51151 0.02252 0.572 1236.474 0.01711
0.01931 0.01350 0.51171 0.51225 0.02440 0.584 1236.504 0.01714
0.01934 0.01352 0.51245 0.51300 0.02627 0.666 1236.534 0.01716
0.01937 0.01354 0.51320 0.51374 0.02815 0.463 1236.564 0.01719
0.01940 0.01356 0.51394 0.51449 0.03003 0.757 1236.594 0.01721
0.01942 0.01358 0.51468 0.51523 0.03190 0.849 1236.623 0.01724
0.01945 0.01360 0.51543 0.51597 0.03378 0.716 1236.653 0.01726
0.01948 0.01362 0.51617 0.51672 0.03566 1.044 1236.683 0.01729
0.01951 0.01364 0.51691 0.51746 0.03754 0.989 1236.713 0.01731
0.01954 0.01366 0.51766 0.51821 0.03941 1.041 1236.743 0.01733
0.01957 0.01367 0.51840 0.51895 0.04129 0.894 1236.773 0.01736
0.01959 0.01369 0.51915 0.51970 0.04317 0.959 1236.803 0.01738
0.01962 0.01371 0.51989 0.52044 0.04505 1.052 1236.833 0.01741
0.01965 0.01373 0.52063 0.52118 0.04692 0.986 1236.862 0.01743
0.01968 0.01375 0.52138 0.52193 0.04880 0.799 1236.892 0.01746
0.01971 0.01377 0.52212 0.52267 0.05068 0.957 1236.922 0.01748
0.01973 0.01379 0.52286 0.52342 0.05256 1.010 1236.952 0.01751
0.01976 0.01381 0.52361 0.52416 0.05444 1.048 1236.982 0.01753
0.01979 0.01383 0.52435 0.52491 0.05631 1.020 1237.012 0.01756
0.01982 0.01385 0.52509 0.52565 0.05819 1.072 1237.042 0.01758
0.01985 0.01387 0.52584 0.52640 0.06007 0.967 1237.072 0.01760
0.01987 0.01389 0.52658 0.52714 0.06195 1.240 1237.101 0.01763
0.01990 0.01391 0.52733 0.52788 0.06383 1.174 1237.131 0.01765
0.01993 0.01393 0.52807 0.52863 0.06571 0.975 1237.161 0.01768
0.01996 0.01395 0.52881 0.52937 0.06758 1.303 1237.191 0.01770
0.01999 0.01397 0.52956 0.53012 0.06946 1.054 1237.221 0.01773
0.02001 0.01399 0.53030 0.53086 0.07134 0.987 1237.251 0.01775
0.02004 0.01401 0.53105 0.53161 0.07322 0.870 1237.281 0.01778
0.02007 0.01403 0.53179 0.53235 0.07510 0.999 1237.311 0.01780
0.02010 0.01405 0.53253 0.53310 0.07698 0.855 1237.341 0.01783
0.02013 0.01407 0.53328 0.53384 0.07886 1.140 1237.370 0.01785
