x y z dist_scaled dist_frac flux_norm wavelength redshift
0.02755 0.02775 0.50106 0.50258 0.00000 1.161 1236.115 0.01682
0.02759 0.02779 0.50180 0.50333 0.00188 1.261 1236.145 0.01684
0.02763 0.02783 0.50254 0.50407 0.00375 0.792 1236.175 0.01687
0.02767 0.02787 0.50328 0.50481 0.00563 0.967 1236.205 0.01689
0.02771 0.02791 0.50403 0.50556 0.00751 1.119 1236.235 0.01692
0.02775 0.02795 0.50477 0.50630 0.00938 0.873 1236.265 0.01694
0.02779 0.02799 0.50551 0.50705 0.01126 0.899 1236.295 0.01697
0.02783 0.02803 0.50625 0.50779 0.01313 1.200 1236.325 0.01699
0.02787 0.02808 0.50699 0.50853 0.01501 0.902 1236.355 0.01701
0.02791 0.02812 0.50773 0.50928 0.01689 0.930 1236.384 0.01704
0.02796 0.02816 0.50848 0.51002 0.01876 1.208 1236.414 0.01706
0.02800 0.02820 0.50922 0.51077 0.02064 0.884 1236.444 0.01709
0.02804 0.02824 0.50996 0.51151 0.02252 1.036 1236.474 0.01711
0.02808 0.02828 0.51070 0.51225 0.02440 0.684 1236.504 0.01714
0.02812 0.02832 0.51144 0.51300 0.02627 0.914 1236.534 0.01716
0.02816 0.02836 0.51218 0.51374 0.02815 0.965 1236.564 0.01719
0.02820 0.02840 0.51293 0.51449 0.03003 1.018 1236.594 0.01721
0.02824 0.02845 0.51367 0.51523 0.03190 0.919 1236.623 0.01724
0.02828 0.02849 0.51441 0.51597 0.03378 1.176 1236.653 0.01726
0.02832 0.02853 0.51515 0.51672 0.03566 0.848 1236.683 0.01729
0.02836 0.02857 0.51589 0.51746 0.03754 0.926 1236.713 0.01731
0.02840 0.02861 0.51664 0.51821 0.03941 0.850 1236.743 0.01733
0.02844 0.02865 0.51738 0.51895 0.04129 1.057 1236.773 0.01736
0.02849 0.02869 0.51812 0.51970 0.04317 1.085 1236.803 0.01738
0.02853 0.02873 0.51886 0.52044 0.04505 1.163 1236.833 0.01741
0.02857 0.02877 0.51960 0.52118 0.04692 1.063 1236.862 0.01743
0.02861 0.02882 0.52035 0.52193 0.04880 1.143 1236.892 0.01746
0.02865 0.02886 0.52109 0.52267 0.05068 0.731 1236.922 0.01748
0.02869 0.02890 0.52183 0.52342 0.05256 0.757 1236.952 0.01751
0.02873 0.02894 0.52257 0.52416 0.05444 0.759 1236.982 0.01753
0.02877 0.02898 0.52332 0.52491 0.05631 1.150 1237.012 0.01756
0.02881 0.02902 0.52406 0.52565 0.05819 1.074 1237.042 0.01758
0.02885 0.02906 0.52480 0.52640 0.06007 0.996 1237.072 0.01760
0.02889 0.02910 0.52554 0.52714 0.06195 0.737 1237.101 0.01763
0.02893 0.02914 0.52628 0.52788 0.06383 0.713 1237.131 0.01765
0.02898 0.02918 0.52703 0.52863 0.06571 1.055 1237.161 0.01768
0.02902 0.02923 0.52777 0.52937 0.06758 1.214 1237.191 0.01770
0.02906 0.02927 0.52851 0.53012 0.06946 0.743 1237.221 0.01773
0.02910 0.02931 0.52925 0.53086 0.07134 0.823 1237.251 0.01775
0.02914 0.02935 0.53000 0.53161 0.07322 0.587 1237.281 0.01778
0.02918 0.02939 0.53074 0.53235 0.07510 0.694 1237.311 0.01780
0.02922 0.02943 0.53148 0.53310 0.07698 0.907 1237.341 0.01783
0.02926 0.02947 0.53222 0.53384 0.07886 0.962 1237.370 0.01785
0.02930 0.02951 0.53297 0.53459 0.08074 1.122 1237.400 0.01788
0.02934 0.02956 0.53371 0.53533 0.08261 0.806 1237.430 0.01790
0.02938 0.02960 0.53445 0.53608 0.08449 0.942 1237.460 0.01792
0.02942 0.02964 0.53520 0.53682 0.08637 0.783 1237.490 0.01795
0.02947 0.02968 0.53594 0.53757 0.08825 0.971 1237.520 0.01797
0.02951 0.02972 0.53668 0.53831 0.09013 0.812 1237.550 0.01800
0.02955 0.02976 0.53742 0.53906 0.09201 0.813 1237.580 0.01802
0.02959 0.02980 0.53817 0.53980 0.09389 1.003 1237.609 0.01805
0.02963 0.02984 0.53891 0.54055 0.09577 1.030 1237.639 0.01807
0.02967 0.02988 0.53965 0.54129 0.09765 1.381 1237.669 0.01810
0.02971 0.02993 0.54039 0.54204 0.09953 0.790 1237.699 0.01812
0.02975 0.02997 0.54114 0.54278 0.10141 0.874 1237.729 0.01815
0.02979 0.03001 0.54188 0.54353 0.10329 1.010 1237.759 0.01817
0.02983 0.03005 0.54262 0.54427 0.10517 0.958 1237.789 0.01819
