x y z dist_scaled dist_frac flux_norm wavelength redshift
0.01589 0.02333 0.50179 0.50258 0.00000 0.999 1236.115 0.01682
0.01592 0.02337 0.50253 0.50333 0.00188 0.989 1236.145 0.01684
0.01594 0.02340 0.50327 0.50407 0.00375 1.017 1236.175 0.01687
0.01596 0.02344 0.50402 0.50481 0.00563 1.120 1236.205 0.01689
0.01599 0.02347 0.50476 0.50556 0.00751 1.017 1236.235 0.01692
0.01601 0.02351 0.50550 0.50630 0.00938 0.895 1236.265 0.01694
0.01603 0.02354 0.50624 0.50705 0.01126 0.820 1236.295 0.01697
0.01606 0.02357 0.50699 0.50779 0.01313 0.886 1236.325 0.01699
0.01608 0.02361 0.50773 0.50853 0.01501 0.867 1236.355 0.01701
0.01611 0.02364 0.50847 0.50928 0.01689 0.980 1236.384 0.01704
0.01613 0.02368 0.50922 0.51002 0.01876 0.877 1236.414 0.01706
0.01615 0.02371 0.50996 0.51077 0.02064 1.074 1236.444 0.01709
0.01618 0.02375 0.51070 0.51151 0.02252 1.016 1236.474 0.01711
0.01620 0.02378 0.51144 0.51225 0.02440 1.193 1236.504 0.01714
0.01622 0.02382 0.51219 0.51300 0.02627 0.977 1236.534 0.01716
0.01625 0.02385 0.51293 0.51374 0.02815 1.127 1236.564 0.01719
0.01627 0.02389 0.51367 0.51449 0.03003 0.884 1236.594 0.01721
0.01629 0.02392 0.51442 0.51523 0.03190 0.718 1236.623 0.01724
0.01632 0.02395 0.51516 0.51597 0.03378 1.073 1236.653 0.01726
0.01634 0.02399 0.51590 0.51672 0.03566 0.981 1236.683 0.01729
0.01636 0.02402 0.51665 0.51746 0.03754 0.992 1236.713 0.01731
0.01639 0.02406 0.51739 0.51821 0.03941 0.827 1236.743 0.01733
0.01641 0.02409 0.51813 0.51895 0.04129 1.104 1236.773 0.01736
0.01643 0.02413 0.51887 0.51970 0.04317 0.947 1236.803 0.01738
0.01646 0.02416 0.51962 0.52044 0.04505 0.852 1236.833 0.01741
0.01648 0.02420 0.52036 0.52118 0.04692 0.985 1236.862 0.01743
0.01651 0.02423 0.52110 0.52193 0.04880 0.906 1236.892 0.01746
0.01653 0.02427 0.52185 0.52267 0.05068 0.905 1236.922 0.01748
0.01655 0.02430 0.52259 0.52342 0.05256 0.945 1236.952 0.01751
0.01658 0.02433 0.52333 0.52416 0.05444 0.993 1236.982 0.01753
0.01660 0.02437 0.52408 0.52491 0.05631 0.837 1237.012 0.01756
0.01662 0.02440 0.52482 0.52565 0.05819 0.756 1237.042 0.01758
0.01665 0.02444 0.52556 0.52640 0.06007 0.920 1237.072 0.01760
0.01667 0.02447 0.52631 0.52714 0.06195 0.979 1237.101 0.01763
0.01669 0.02451 0.52705 0.52788 0.06383 1.158 1237.131 0.01765
0.01672 0.02454 0.52779 0.52863 0.06571 1.116 1237.161 0.01768
0.01674 0.02458 0.52854 0.52937 0.06758 0.833 1237.191 0.01770
0.01676 0.02461 0.52928 0.53012 0.06946 0.924 1237.221 0.01773
0.01679 0.02465 0.53003 0.53086 0.07134 1.141 1237.251 0.01775
0.01681 0.02468 0.53077 0.53161 0.07322 0.782 1237.281 0.01778
0.01683 0.02472 0.53151 0.53235 0.07510 0.791 1237.311 0.01780
0.01686 0.02475 0.53226 0.53310 0.07698 0.960 1237.341 0.01783
0.01688 0.02478 0.53300 0.53384 0.07886 1.047 1237.370 0.01785
