x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.04327 0.03674 0.49937 0.50258 0.00000 1.033 1236.115 0.01682
-0.04333 0.03680 0.50011 0.50333 0.00188 0.820 1236.145 0.01684
-0.04339 0.03685 0.50084 0.50407 0.00375 1.017 1236.175 0.01687
-0.04346 0.03691 0.50158 0.50481 0.00563 0.901 1236.205 0.01689
-0.04352 0.03696 0.50232 0.50556 0.00751 1.111 1236.235 0.01692
-0.04359 0.03702 0.50306 0.50630 0.00938 0.864 1236.265 0.01694
-0.04365 0.03707 0.50380 0.50705 0.01126 0.956 1236.295 0.01697
-0.04371 0.03713 0.50454 0.50779 0.01313 0.968 1236.325 0.01699
-0.04378 0.03718 0.50528 0.50853 0.01501 0.916 1236.355 0.01701
-0.04384 0.03723 0.50602 0.50928 0.01689 1.128 1236.384 0.01704
-0.04391 0.03729 0.50676 0.51002 0.01876 0.747 1236.414 0.01706
-0.04397 0.03734 0.50750 0.51077 0.02064 1.142 1236.444 0.01709
-0.04403 0.03740 0.50824 0.51151 0.02252 0.946 1236.474 0.01711
-0.04410 0.03745 0.50898 0.51225 0.02440 0.914 1236.504 0.01714
-0.04416 0.03751 0.50971 0.51300 0.02627 0.846 1236.534 0.01716
-0.04423 0.03756 0.51045 0.51374 0.02815 0.882 1236.564 0.01719
-0.04429 0.03762 0.51119 0.51449 0.03003 1.239 1236.594 0.01721
-0.04435 0.03767 0.51193 0.51523 0.03190 0.948 1236.623 0.01724
-0.04442 0.03772 0.51267 0.51597 0.03378 0.859 1236.653 0.01726
-0.04448 0.03778 0.51341 0.51672 0.03566 1.106 1236.683 0.01729
-0.04455 0.03783 0.51415 0.51746 0.03754 0.859 1236.713 0.01731
-0.04461 0.03789 0.51489 0.51821 0.03941 1.141 1236.743 0.01733
-0.04468 0.03794 0.51563 0.51895 0.04129 1.170 1236.773 0.01736
-0.04474 0.03800 0.51637 0.51970 0.04317 0.910 1236.803 0.01738
-0.04480 0.03805 0.51711 0.52044 0.04505 1.000 1236.833 0.01741
-0.04487 0.03810 0.51785 0.52118 0.04692 1.043 1236.862 0.01743
-0.04493 0.03816 0.51859 0.52193 0.04880 1.174 1236.892 0.01746
-0.04500 0.03821 0.51933 0.52267 0.05068 0.936 1236.922 0.01748
-0.04506 0.03827 0.52007 0.52342 0.05256 0.925 1236.952 0.01751
-0.04512 0.03832 0.52081 0.52416 0.05444 1.147 1236.982 0.01753
-0.04519 0.03838 0.52155 0.52491 0.05631 1.027 1237.012 0.01756
