x y z dist_scaled dist_frac flux_norm
-0.18502 0.01396 0.46691 0.50243 0.00000 1.062
-0.18529 0.01398 0.46760 0.50317 0.00188 1.110
-0.18557 0.01400 0.46829 0.50391 0.00375 1.032
-0.18584 0.01402 0.46898 0.50466 0.00563 1.365
-0.18611 0.01404 0.46968 0.50540 0.00750 0.956
-0.18639 0.01406 0.47037 0.50615 0.00938 0.909
-0.18666 0.01408 0.47106 0.50689 0.01126 1.061
-0.18694 0.01410 0.47175 0.50763 0.01313 0.805
-0.18721 0.01412 0.47244 0.50838 0.01501 0.857
-0.18748 0.01414 0.47313 0.50912 0.01689 0.628
-0.18776 0.01416 0.47383 0.50987 0.01876 0.807
-0.18803 0.01419 0.47452 0.51061 0.02064 1.276
-0.18831 0.01421 0.47521 0.51136 0.02252 0.922
-0.18858 0.01423 0.47590 0.51210 0.02440 0.945
-0.18885 0.01425 0.47659 0.51285 0.02627 1.110
-0.18913 0.01427 0.47729 0.51359 0.02815 1.127
-0.18940 0.01429 0.47798 0.51433 0.03003 1.140
-0.18968 0.01431 0.47867 0.51508 0.03190 0.606
-0.18995 0.01433 0.47936 0.51582 0.03378 0.801
-0.19023 0.01435 0.48005 0.51657 0.03566 1.100
-0.19050 0.01437 0.48074 0.51731 0.03754 0.941
-0.19077 0.01439 0.48144 0.51806 0.03941 1.096
-0.19105 0.01441 0.48213 0.51880 0.04129 1.081
-0.19132 0.01443 0.48282 0.51955 0.04317 1.002
-0.19160 0.01445 0.48351 0.52029 0.04505 0.767
-0.19187 0.01447 0.48420 0.52104 0.04692 0.989
-0.19215 0.01450 0.48490 0.52178 0.04880 1.014
-0.19242 0.01452 0.48559 0.52253 0.05068 0.864
-0.19269 0.01454 0.48628 0.52327 0.05256 1.014
-0.19297 0.01456 0.48697 0.52401 0.05444 1.146
-0.19324 0.01458 0.48767 0.52476 0.05631 1.067
-0.19352 0.01460 0.48836 0.52550 0.05819 0.786
-0.19379 0.01462 0.48905 0.52625 0.06007 0.710
-0.19407 0.01464 0.48974 0.52699 0.06195 1.119
-0.19434 0.01466 0.49043 0.52774 0.06383 0.608
-0.19461 0.01468 0.49113 0.52848 0.06571 0.862
-0.19489 0.01470 0.49182 0.52923 0.06758 0.787
-0.19516 0.01472 0.49251 0.52997 0.06946 1.298
-0.19544 0.01474 0.49320 0.53072 0.07134 0.941
-0.19571 0.01476 0.49390 0.53146 0.07322 1.122
-0.19599 0.01479 0.49459 0.53221 0.07510 1.045
-0.19626 0.01481 0.49528 0.53295 0.07698 0.815
-0.19653 0.01483 0.49597 0.53370 0.07886 1.121
-0.19681 0.01485 0.49667 0.53445 0.08074 1.148
-0.19708 0.01487 0.49736 0.53519 0.08261 0.535
-0.19736 0.01489 0.49805 0.53594 0.08449 1.121
-0.19763 0.01491 0.49874 0.53668 0.08637 0.892
-0.19791 0.01493 0.49944 0.53743 0.08825 1.352
-0.19818 0.01495 0.50013 0.53817 0.09013 0.891
-0.19846 0.01497 0.50082 0.53892 0.09201 0.789
-0.19873 0.01499 0.50151 0.53966 0.09389 1.045
-0.19900 0.01501 0.50221 0.54041 0.09577 1.043
-0.19928 0.01503 0.50290 0.54115 0.09765 0.684
-0.19955 0.01505 0.50359 0.54190 0.09953 0.812
-0.19983 0.01507 0.50429 0.54264 0.10141 1.016
-0.20010 0.01510 0.50498 0.54339 0.10329 0.936
-0.20038 0.01512 0.50567 0.54414 0.10517 0.860
-0.20065 0.01514 0.50636 0.54488 0.10705 1.013
-0.20093 0.01516 0.50706 0.54563 0.10893 1.039
-0.20120 0.01518 0.50775 0.54637 0.11081 1.067
-0.20148 0.01520 0.50844 0.54712 0.11269 0.759
-0.20175 0.01522 0.50914 0.54786 0.11457 1.118
-0.20202 0.01524 0.50983 0.54861 0.11645 0.988
-0.20230 0.01526 0.51052 0.54935 0.11833 1.143
-0.20257 0.01528 0.51122 0.55010 0.12021 1.092
-0.20285 0.01530 0.51191 0.55085 0.12209 1.142
-0.20312 0.01532 0.51260 0.55159 0.12397 1.064
-0.20340 0.01534 0.51329 0.55234 0.12585 1.217
-0.20367 0.01537 0.51399 0.55308 0.12773 0.864
-0.20395 0.01539 0.51468 0.55383 0.12961 1.321
-0.20422 0.01541 0.51537 0.55458 0.13149 1.066
-0.20450 0.01543 0.51607 0.55532 0.13337 1.143
-0.20477 0.01545 0.51676 0.55607 0.13526 1.064
-0.20505 0.01547 0.51745 0.55681 0.13714 0.835
-0.20532 0.01549 0.51815 0.55756 0.13902 0.807
-0.20560 0.01551 0.51884 0.55831 0.14090 0.958
-0.20587 0.01553 0.51953 0.55905 0.14278 0.882
-0.20614 0.01555 0.52023 0.55980 0.14466 1.187
-0.20642 0.01557 0.52092 0.56054 0.14654 0.882
-0.20669 0.01559 0.52161 0.56129 0.14842 0.931
-0.20697 0.01561 0.52231 0.56204 0.15031 0.908
-0.20724 0.01563 0.52300 0.56278 0.15219 0.881
-0.20752 0.01566 0.52369 0.56353 0.15407 0.779
-0.20779 0.01568 0.52439 0.56428 0.15595 0.831
-0.20807 0.01570 0.52508 0.56502 0.15783 1.012
-0.20834 0.01572 0.52577 0.56577 0.15971 1.037
-0.20862 0.01574 0.52647 0.56651 0.16160 0.858
-0.20889 0.01576 0.52716 0.56726 0.16348 0.960
-0.20917 0.01578 0.52786 0.56801 0.16536 0.782
-0.20944 0.01580 0.52855 0.56875 0.16724 0.806
-0.20972 0.01582 0.52924 0.56950 0.16912 1.241
-0.20999 0.01584 0.52994 0.57025 0.17101 0.957
-0.21027 0.01586 0.53063 0.57099 0.17289 0.705
-0.21054 0.01588 0.53132 0.57174 0.17477 0.958
-0.21082 0.01590 0.53202 0.57249 0.17665 0.805
-0.21109 0.01592 0.53271 0.57323 0.17854 0.653
-0.21137 0.01595 0.53341 0.57398 0.18042 0.984
-0.21164 0.01597 0.53410 0.57473 0.18230 1.110
-0.21192 0.01599 0.53479 0.57547 0.18418 0.652
-0.21219 0.01601 0.53549 0.57622 0.18607 0.470
-0.21247 0.01603 0.53618 0.57697 0.18795 0.626
-0.21274 0.01605 0.53688 0.57771 0.18983 0.319
-0.21302 0.01607 0.53757 0.57846 0.19172 0.246
-0.21329 0.01609 0.53826 0.57921 0.19360 0.172
-0.21357 0.01611 0.53896 0.57995 0.19548 0.198
-0.21384 0.01613 0.53965 0.58070 0.19737 0.128
-0.21412 0.01615 0.54035 0.58145 0.19925 0.138
-0.21439 0.01617 0.54104 0.58219 0.20113 0.173
-0.21467 0.01619 0.54173 0.58294 0.20302 0.209
-0.21494 0.01622 0.54243 0.58369 0.20490 0.293
-0.21522 0.01624 0.54312 0.58443 0.20678 0.485
-0.21549 0.01626 0.54382 0.58518 0.20867 0.559
-0.21577 0.01628 0.54451 0.58593 0.21055 0.793
-0.21604 0.01630 0.54520 0.58668 0.21243 0.783
-0.21632 0.01632 0.54590 0.58742 0.21432 0.760
-0.21659 0.01634 0.54659 0.58817 0.21620 0.724
-0.21687 0.01636 0.54729 0.58892 0.21809 0.851
-0.21714 0.01638 0.54798 0.58966 0.21997 0.850
-0.21742 0.01640 0.54868 0.59041 0.22185 0.951
-0.21769 0.01642 0.54937 0.59116 0.22374 0.800
-0.21797 0.01644 0.55007 0.59191 0.22562 0.800
-0.21824 0.01646 0.55076 0.59265 0.22751 0.671
