x y z dist_scaled dist_frac absorption
-0.07912 0.00010 0.49616 0.50243 0.00000 0.152
-0.07924 0.00010 0.49689 0.50317 0.00188 -0.216
-0.07935 0.00010 0.49763 0.50391 0.00375 0.107
-0.07947 0.00010 0.49836 0.50466 0.00563 -0.241
-0.07959 0.00010 0.49910 0.50540 0.00750 -0.053
-0.07971 0.00010 0.49983 0.50615 0.00938 -0.077
-0.07982 0.00010 0.50057 0.50689 0.01126 0.057
-0.07994 0.00010 0.50130 0.50763 0.01313 0.219
-0.08006 0.00010 0.50204 0.50838 0.01501 0.006
-0.08017 0.00010 0.50277 0.50912 0.01689 0.060
-0.08029 0.00010 0.50351 0.50987 0.01876 -0.155
-0.08041 0.00010 0.50424 0.51061 0.02064 -0.020
-0.08053 0.00010 0.50498 0.51136 0.02252 0.168
-0.08064 0.00010 0.50571 0.51210 0.02440 -0.180
-0.08076 0.00010 0.50645 0.51285 0.02627 -0.314
-0.08088 0.00010 0.50718 0.51359 0.02815 0.328
-0.08099 0.00010 0.50792 0.51433 0.03003 -0.046
-0.08111 0.00010 0.50865 0.51508 0.03190 0.009
-0.08123 0.00010 0.50939 0.51582 0.03378 -0.096
-0.08135 0.00010 0.51012 0.51657 0.03566 0.011
-0.08146 0.00010 0.51086 0.51731 0.03754 -0.176
-0.08158 0.00010 0.51159 0.51806 0.03941 -0.389
-0.08170 0.00010 0.51233 0.51880 0.04129 0.225
-0.08182 0.00010 0.51306 0.51955 0.04317 0.012
-0.08193 0.00010 0.51380 0.52029 0.04505 -0.120
-0.08205 0.00010 0.51453 0.52104 0.04692 -0.200
-0.08217 0.00010 0.51527 0.52178 0.04880 0.094
-0.08228 0.00010 0.51601 0.52253 0.05068 0.175
-0.08240 0.00010 0.51674 0.52327 0.05256 0.175
-0.08252 0.00010 0.51748 0.52401 0.05444 -0.061
-0.08264 0.00010 0.51821 0.52476 0.05631 0.099
-0.08275 0.00010 0.51895 0.52550 0.05819 -0.035
-0.08287 0.00010 0.51968 0.52625 0.06007 0.365
-0.08299 0.00010 0.52042 0.52699 0.06195 -0.086
-0.08311 0.00010 0.52115 0.52774 0.06383 -0.220
-0.08322 0.00010 0.52189 0.52848 0.06571 -0.059
-0.08334 0.00010 0.52263 0.52923 0.06758 -0.218
-0.08346 0.00010 0.52336 0.52997 0.06946 -0.483
