x y z dist_scaled dist_frac absorption
0.15341 0.01563 0.47818 0.50243 0.00000 0.046
0.15364 0.01565 0.47888 0.50317 0.00188 0.127
0.15386 0.01567 0.47959 0.50391 0.00375 0.095
0.15409 0.01570 0.48030 0.50466 0.00563 -0.003
0.15432 0.01572 0.48101 0.50540 0.00750 0.063
0.15455 0.01574 0.48172 0.50615 0.00938 0.030
0.15477 0.01576 0.48243 0.50689 0.01126 0.096
0.15500 0.01579 0.48313 0.50763 0.01313 -0.134
0.15523 0.01581 0.48384 0.50838 0.01501 -0.034
0.15546 0.01583 0.48455 0.50912 0.01689 -0.084
0.15568 0.01586 0.48526 0.50987 0.01876 -0.018
0.15591 0.01588 0.48597 0.51061 0.02064 -0.396
0.15614 0.01590 0.48668 0.51136 0.02252 0.015
0.15636 0.01593 0.48738 0.51210 0.02440 -0.033
0.15659 0.01595 0.48809 0.51285 0.02627 -0.001
0.15682 0.01597 0.48880 0.51359 0.02815 0.113
0.15705 0.01600 0.48951 0.51433 0.03003 -0.082
0.15727 0.01602 0.49022 0.51508 0.03190 -0.115
0.15750 0.01604 0.49093 0.51582 0.03378 0.212
0.15773 0.01607 0.49164 0.51657 0.03566 0.263
0.15796 0.01609 0.49234 0.51731 0.03754 0.163
0.15818 0.01611 0.49305 0.51806 0.03941 -0.112
0.15841 0.01614 0.49376 0.51880 0.04129 0.213
0.15864 0.01616 0.49447 0.51955 0.04317 0.097
0.15887 0.01618 0.49518 0.52029 0.04505 0.146
0.15909 0.01620 0.49589 0.52104 0.04692 -0.132
0.15932 0.01623 0.49660 0.52178 0.04880 -0.100
0.15955 0.01625 0.49731 0.52253 0.05068 0.097
0.15977 0.01627 0.49801 0.52327 0.05256 -0.016
0.16000 0.01630 0.49872 0.52401 0.05444 -0.067
0.16023 0.01632 0.49943 0.52476 0.05631 0.098
0.16046 0.01634 0.50014 0.52550 0.05819 0.115
0.16068 0.01637 0.50085 0.52625 0.06007 0.162
0.16091 0.01639 0.50156 0.52699 0.06195 -0.131
0.16114 0.01641 0.50227 0.52774 0.06383 0.245
0.16137 0.01644 0.50298 0.52848 0.06571 -0.014
0.16159 0.01646 0.50369 0.52923 0.06758 0.083
0.16182 0.01648 0.50440 0.52997 0.06946 -0.111
0.16205 0.01651 0.50510 0.53072 0.07134 -0.210
0.16228 0.01653 0.50581 0.53146 0.07322 -0.096
0.16250 0.01655 0.50652 0.53221 0.07510 0.036
0.16273 0.01658 0.50723 0.53295 0.07698 0.117
0.16296 0.01660 0.50794 0.53370 0.07886 -0.239
0.16319 0.01662 0.50865 0.53445 0.08074 -0.158
0.16341 0.01664 0.50936 0.53519 0.08261 -0.387
0.16364 0.01667 0.51007 0.53594 0.08449 0.100
0.16387 0.01669 0.51078 0.53668 0.08637 -0.160
0.16410 0.01671 0.51149 0.53743 0.08825 0.002
0.16432 0.01674 0.51220 0.53817 0.09013 0.118
0.16455 0.01676 0.51291 0.53892 0.09201 -0.207
0.16478 0.01678 0.51362 0.53966 0.09389 0.166
0.16501 0.01681 0.51433 0.54041 0.09577 0.055
0.16524 0.01683 0.51503 0.54115 0.09765 -0.239
0.16546 0.01685 0.51574 0.54190 0.09953 0.021
0.16569 0.01688 0.51645 0.54264 0.10141 0.039
0.16592 0.01690 0.51716 0.54339 0.10329 -0.140
0.16615 0.01692 0.51787 0.54414 0.10517 0.218
0.16637 0.01695 0.51858 0.54488 0.10705 0.136
0.16660 0.01697 0.51929 0.54563 0.10893 0.041
0.16683 0.01699 0.52000 0.54637 0.11081 0.089
0.16706 0.01702 0.52071 0.54712 0.11269 -0.090
0.16728 0.01704 0.52142 0.54786 0.11457 0.089
0.16751 0.01706 0.52213 0.54861 0.11645 -0.186
0.16774 0.01709 0.52284 0.54935 0.11833 0.026
0.16797 0.01711 0.52355 0.55010 0.12021 0.186
0.16819 0.01713 0.52426 0.55085 0.12209 0.089
0.16842 0.01715 0.52497 0.55159 0.12397 0.025
0.16865 0.01718 0.52568 0.55234 0.12585 0.026
0.16888 0.01720 0.52639 0.55308 0.12773 0.220
0.16911 0.01722 0.52710 0.55383 0.12961 0.107
0.16933 0.01725 0.52781 0.55458 0.13149 0.154
0.16956 0.01727 0.52852 0.55532 0.13337 0.253
0.16979 0.01729 0.52923 0.55607 0.13526 0.204
0.17002 0.01732 0.52994 0.55681 0.13714 0.253
0.17024 0.01734 0.53065 0.55756 0.13902 -0.038
0.17047 0.01736 0.53136 0.55831 0.14090 0.075
0.17070 0.01739 0.53207 0.55905 0.14278 0.157
0.17093 0.01741 0.53278 0.55980 0.14466 -0.102
0.17116 0.01743 0.53349 0.56054 0.14654 0.060
0.17138 0.01746 0.53420 0.56129 0.14842 0.433
0.17161 0.01748 0.53491 0.56204 0.15031 0.320
0.17184 0.01750 0.53562 0.56278 0.15219 0.270
0.17207 0.01753 0.53633 0.56353 0.15407 0.029
0.17230 0.01755 0.53704 0.56428 0.15595 -0.146
0.17252 0.01757 0.53775 0.56502 0.15783 0.141
0.17275 0.01760 0.53846 0.56577 0.15971 0.079
0.17298 0.01762 0.53917 0.56651 0.16160 -0.051
0.17321 0.01764 0.53988 0.56726 0.16348 0.111
0.17343 0.01767 0.54059 0.56801 0.16536 0.078
0.17366 0.01769 0.54130 0.56875 0.16724 0.046
0.17389 0.01771 0.54201 0.56950 0.16912 0.192
0.17412 0.01774 0.54272 0.57025 0.17101 0.031
0.17435 0.01776 0.54343 0.57099 0.17289 0.142
0.17457 0.01778 0.54414 0.57174 0.17477 0.176
0.17480 0.01780 0.54486 0.57249 0.17665 0.272
0.17503 0.01783 0.54557 0.57323 0.17854 0.271
0.17526 0.01785 0.54628 0.57398 0.18042 0.079
0.17549 0.01787 0.54699 0.57473 0.18230 0.224
0.17571 0.01790 0.54770 0.57547 0.18418 0.288
0.17594 0.01792 0.54841 0.57622 0.18607 0.080
0.17617 0.01794 0.54912 0.57697 0.18795 -0.065
0.17640 0.01797 0.54983 0.57771 0.18983 0.025
