x y z dist_scaled dist_frac flux_norm wavelength redshift
0.02273 0.01453 0.50186 0.50258 0.00000 0.970 1236.115 0.01682
0.02276 0.01455 0.50260 0.50333 0.00188 1.221 1236.145 0.01684
0.02280 0.01457 0.50334 0.50407 0.00375 1.083 1236.175 0.01687
0.02283 0.01459 0.50409 0.50481 0.00563 0.991 1236.205 0.01689
0.02286 0.01461 0.50483 0.50556 0.00751 1.310 1236.235 0.01692
0.02290 0.01463 0.50557 0.50630 0.00938 1.081 1236.265 0.01694
0.02293 0.01465 0.50631 0.50705 0.01126 1.103 1236.295 0.01697
0.02297 0.01468 0.50706 0.50779 0.01313 0.899 1236.325 0.01699
0.02300 0.01470 0.50780 0.50853 0.01501 1.103 1236.355 0.01701
0.02303 0.01472 0.50854 0.50928 0.01689 1.033 1236.384 0.01704
0.02307 0.01474 0.50929 0.51002 0.01876 0.920 1236.414 0.01706
0.02310 0.01476 0.51003 0.51077 0.02064 1.033 1236.444 0.01709
0.02313 0.01478 0.51077 0.51151 0.02252 0.987 1236.474 0.01711
0.02317 0.01480 0.51151 0.51225 0.02440 1.462 1236.504 0.01714
0.02320 0.01483 0.51226 0.51300 0.02627 1.279 1236.534 0.01716
0.02323 0.01485 0.51300 0.51374 0.02815 1.256 1236.564 0.01719
0.02327 0.01487 0.51374 0.51449 0.03003 1.413 1236.594 0.01721
0.02330 0.01489 0.51449 0.51523 0.03190 0.984 1236.623 0.01724
0.02334 0.01491 0.51523 0.51597 0.03378 1.255 1236.653 0.01726
0.02337 0.01493 0.51597 0.51672 0.03566 1.073 1236.683 0.01729
0.02340 0.01496 0.51672 0.51746 0.03754 1.162 1236.713 0.01731
0.02344 0.01498 0.51746 0.51821 0.03941 0.913 1236.743 0.01733
0.02347 0.01500 0.51820 0.51895 0.04129 1.002 1236.773 0.01736
0.02350 0.01502 0.51895 0.51970 0.04317 1.091 1236.803 0.01738
0.02354 0.01504 0.51969 0.52044 0.04505 1.136 1236.833 0.01741
0.02357 0.01506 0.52043 0.52118 0.04692 0.799 1236.862 0.01743
0.02361 0.01508 0.52118 0.52193 0.04880 0.932 1236.892 0.01746
0.02364 0.01511 0.52192 0.52267 0.05068 1.111 1236.922 0.01748
0.02367 0.01513 0.52266 0.52342 0.05256 0.819 1236.952 0.01751
