x y z dist_scaled dist_frac flux_norm
-0.13648 0.03921 0.48194 0.50243 0.00000 0.896
-0.13668 0.03927 0.48266 0.50317 0.00188 1.169
-0.13688 0.03933 0.48337 0.50391 0.00375 0.955
-0.13709 0.03939 0.48408 0.50466 0.00563 0.584
-0.13729 0.03945 0.48480 0.50540 0.00750 0.876
-0.13749 0.03950 0.48551 0.50615 0.00938 0.935
-0.13769 0.03956 0.48622 0.50689 0.01126 1.068
-0.13789 0.03962 0.48694 0.50763 0.01313 0.951
-0.13810 0.03968 0.48765 0.50838 0.01501 1.087
-0.13830 0.03974 0.48837 0.50912 0.01689 0.932
-0.13850 0.03979 0.48908 0.50987 0.01876 0.933
-0.13870 0.03985 0.48979 0.51061 0.02064 0.968
-0.13890 0.03991 0.49051 0.51136 0.02252 0.699
-0.13911 0.03997 0.49122 0.51210 0.02440 1.007
-0.13931 0.04003 0.49194 0.51285 0.02627 0.894
-0.13951 0.04008 0.49265 0.51359 0.02815 0.891
-0.13971 0.04014 0.49336 0.51433 0.03003 0.969
-0.13992 0.04020 0.49408 0.51508 0.03190 1.123
-0.14012 0.04026 0.49479 0.51582 0.03378 0.969
-0.14032 0.04032 0.49551 0.51657 0.03566 0.697
-0.14052 0.04038 0.49622 0.51731 0.03754 1.009
-0.14072 0.04043 0.49694 0.51806 0.03941 1.221
-0.14093 0.04049 0.49765 0.51880 0.04129 0.986
-0.14113 0.04055 0.49836 0.51955 0.04317 1.201
-0.14133 0.04061 0.49908 0.52029 0.04505 0.870
-0.14153 0.04067 0.49979 0.52104 0.04692 0.946
-0.14174 0.04072 0.50051 0.52178 0.04880 0.987
-0.14194 0.04078 0.50122 0.52253 0.05068 1.121
-0.14214 0.04084 0.50194 0.52327 0.05256 1.179
-0.14234 0.04090 0.50265 0.52401 0.05444 1.080
-0.14255 0.04096 0.50336 0.52476 0.05631 1.024
-0.14275 0.04101 0.50408 0.52550 0.05819 0.733
-0.14295 0.04107 0.50479 0.52625 0.06007 0.849
-0.14315 0.04113 0.50551 0.52699 0.06195 0.926
-0.14335 0.04119 0.50622 0.52774 0.06383 1.119
-0.14356 0.04125 0.50694 0.52848 0.06571 0.810
-0.14376 0.04131 0.50765 0.52923 0.06758 0.694
-0.14396 0.04136 0.50837 0.52997 0.06946 0.791
-0.14416 0.04142 0.50908 0.53072 0.07134 0.773
-0.14437 0.04148 0.50980 0.53146 0.07322 0.793
-0.14457 0.04154 0.51051 0.53221 0.07510 0.889
-0.14477 0.04160 0.51123 0.53295 0.07698 0.969
-0.14497 0.04165 0.51194 0.53370 0.07886 0.677
-0.14518 0.04171 0.51266 0.53445 0.08074 0.582
-0.14538 0.04177 0.51337 0.53519 0.08261 0.696
-0.14558 0.04183 0.51409 0.53594 0.08449 0.812
-0.14578 0.04189 0.51480 0.53668 0.08637 0.926
-0.14599 0.04194 0.51551 0.53743 0.08825 0.811
-0.14619 0.04200 0.51623 0.53817 0.09013 0.698
-0.14639 0.04206 0.51694 0.53892 0.09201 0.678
-0.14659 0.04212 0.51766 0.53966 0.09389 1.176
-0.14680 0.04218 0.51837 0.54041 0.09577 0.755
-0.14700 0.04224 0.51909 0.54115 0.09765 1.023
-0.14720 0.04229 0.51980 0.54190 0.09953 0.984
-0.14740 0.04235 0.52052 0.54264 0.10141 0.850
-0.14761 0.04241 0.52124 0.54339 0.10329 0.794
-0.14781 0.04247 0.52195 0.54414 0.10517 0.986
-0.14801 0.04253 0.52267 0.54488 0.10705 1.063
-0.14821 0.04258 0.52338 0.54563 0.10893 0.831
-0.14842 0.04264 0.52410 0.54637 0.11081 0.908
-0.14862 0.04270 0.52481 0.54712 0.11269 0.869
-0.14882 0.04276 0.52553 0.54786 0.11457 1.172
-0.14902 0.04282 0.52624 0.54861 0.11645 1.080
-0.14923 0.04288 0.52696 0.54935 0.11833 1.098
-0.14943 0.04293 0.52767 0.55010 0.12021 1.098
-0.14963 0.04299 0.52839 0.55085 0.12209 0.868
-0.14983 0.04305 0.52910 0.55159 0.12397 1.037
-0.15004 0.04311 0.52982 0.55234 0.12585 1.038
-0.15024 0.04317 0.53053 0.55308 0.12773 0.983
-0.15044 0.04323 0.53125 0.55383 0.12961 1.097
-0.15064 0.04328 0.53197 0.55458 0.13149 1.059
-0.15085 0.04334 0.53268 0.55532 0.13337 1.076
-0.15105 0.04340 0.53340 0.55607 0.13526 1.092
-0.15125 0.04346 0.53411 0.55681 0.13714 1.113
-0.15146 0.04352 0.53483 0.55756 0.13902 1.054
-0.15166 0.04357 0.53554 0.55831 0.14090 0.823
-0.15186 0.04363 0.53626 0.55905 0.14278 1.073
-0.15206 0.04369 0.53697 0.55980 0.14466 1.071
-0.15227 0.04375 0.53769 0.56054 0.14654 1.073
-0.15247 0.04381 0.53841 0.56129 0.14842 1.016
-0.15267 0.04387 0.53912 0.56204 0.15031 0.974
-0.15287 0.04392 0.53984 0.56278 0.15219 1.031
-0.15308 0.04398 0.54055 0.56353 0.15407 0.746
-0.15328 0.04404 0.54127 0.56428 0.15595 0.935
-0.15348 0.04410 0.54198 0.56502 0.15783 0.858
-0.15368 0.04416 0.54270 0.56577 0.15971 0.899
-0.15389 0.04422 0.54342 0.56651 0.16160 1.010
-0.15409 0.04427 0.54413 0.56726 0.16348 1.048
-0.15429 0.04433 0.54485 0.56801 0.16536 0.707
-0.15450 0.04439 0.54556 0.56875 0.16724 0.972
-0.15470 0.04445 0.54628 0.56950 0.16912 0.764
-0.15490 0.04451 0.54700 0.57025 0.17101 1.144
-0.15510 0.04456 0.54771 0.57099 0.17289 0.745
-0.15531 0.04462 0.54843 0.57174 0.17477 1.009
-0.15551 0.04468 0.54915 0.57249 0.17665 1.141
-0.15571 0.04474 0.54986 0.57323 0.17854 1.005
-0.15592 0.04480 0.55058 0.57398 0.18042 1.010
-0.15612 0.04486 0.55129 0.57473 0.18230 1.118
-0.15632 0.04491 0.55201 0.57547 0.18418 1.098
-0.15652 0.04497 0.55273 0.57622 0.18607 0.977
-0.15673 0.04503 0.55344 0.57697 0.18795 1.175
-0.15693 0.04509 0.55416 0.57771 0.18983 1.076
-0.15713 0.04515 0.55488 0.57846 0.19172 1.096
-0.15734 0.04521 0.55559 0.57921 0.19360 1.288
-0.15754 0.04526 0.55631 0.57995 0.19548 1.622
-0.15774 0.04532 0.55702 0.58070 0.19737 0.881
-0.15794 0.04538 0.55774 0.58145 0.19925 1.264
-0.15815 0.04544 0.55846 0.58219 0.20113 1.242
-0.15835 0.04550 0.55917 0.58294 0.20302 0.980
-0.15855 0.04556 0.55989 0.58369 0.20490 0.997
-0.15876 0.04561 0.56061 0.58443 0.20678 1.339
-0.15896 0.04567 0.56132 0.58518 0.20867 1.107
-0.15916 0.04573 0.56204 0.58593 0.21055 1.329
-0.15936 0.04579 0.56276 0.58668 0.21243 0.812
-0.15957 0.04585 0.56347 0.58742 0.21432 1.002
-0.15977 0.04591 0.56419 0.58817 0.21620 0.941
-0.15997 0.04596 0.56491 0.58892 0.21809 1.036
-0.16018 0.04602 0.56562 0.58966 0.21997 0.941
-0.16038 0.04608 0.56634 0.59041 0.22185 0.772
-0.16058 0.04614 0.56706 0.59116 0.22374 0.808
-0.16078 0.04620 0.56777 0.59191 0.22562 1.072
-0.16099 0.04626 0.56849 0.59265 0.22751 0.882
-0.16119 0.04631 0.56921 0.59340 0.22939 0.769
-0.16139 0.04637 0.56992 0.59415 0.23127 0.749
-0.16160 0.04643 0.57064 0.59490 0.23316 0.882
-0.16180 0.04649 0.57136 0.59564 0.23504 1.197
-0.16200 0.04655 0.57207 0.59639 0.23693 0.729
-0.16221 0.04661 0.57279 0.59714 0.23881 0.955
-0.16241 0.04666 0.57351 0.59789 0.24070 1.104
-0.16261 0.04672 0.57423 0.59863 0.24258 1.141
-0.16282 0.04678 0.57494 0.59938 0.24447 0.953
-0.16302 0.04684 0.57566 0.60013 0.24635 1.045
-0.16322 0.04690 0.57638 0.60088 0.24824 0.989
-0.16342 0.04696 0.57709 0.60162 0.25012 1.099
-0.16363 0.04701 0.57781 0.60237 0.25201 0.896
-0.16383 0.04707 0.57853 0.60312 0.25389 1.102
-0.16403 0.04713 0.57925 0.60387 0.25578 1.007
-0.16424 0.04719 0.57996 0.60461 0.25766 0.912
-0.16444 0.04725 0.58068 0.60536 0.25955 1.025
-0.16464 0.04731 0.58140 0.60611 0.26143 0.799
-0.16485 0.04736 0.58211 0.60686 0.26332 0.745
-0.16505 0.04742 0.58283 0.60760 0.26521 0.873
-0.16525 0.04748 0.58355 0.60835 0.26709 0.481
-0.16546 0.04754 0.58427 0.60910 0.26898 0.537
